Name,Surface Face,,,Point,,,Delta,,,
,X1,Y1,Z1,X2,Y2,Z2,dX,dY,dZ,Mag
,(in),(in),(in),(in),(in),(in),(in),(in),(in),(in)
A::Surface Points::1,14.0382,3.0783,-2.8196,14.0382,3.0784,-2.8195,0,0,0.0001,0.0001
A::Surface Points::2,13.557,2.8532,-2.5942,13.5572,2.8532,-2.5939,0.0002,0,0.0004,0.0004
A::Surface Points::3,13.2707,2.7397,-2.4639,13.2708,2.7397,-2.4637,0.0001,0,0.0002,0.0003
A::Surface Points::4,12.9634,2.5905,-2.3234,12.9635,2.5905,-2.3231,0.0001,0,0.0003,0.0003
A::Surface Points::5,12.6192,2.4726,-2.1721,12.6193,2.4726,-2.1718,0.0001,0,0.0003,0.0003
A::Surface Points::6,12.2464,2.3387,-2.0102,12.2464,2.3387,-2.0101,0,0,0.0001,0.0001
A::Surface Points::7,11.7281,2.1334,-1.7883,11.7281,2.1334,-1.7882,0,0,0,0
A::Surface Points::8,11.3639,1.9648,-1.6341,11.3638,1.9648,-1.6343,-0.0001,0,-0.0002,-0.0002
A::Surface Points::9,10.8815,1.7108,-1.4329,10.8814,1.7108,-1.4331,-0.0001,0,-0.0002,-0.0002
A::Surface Points::10,10.4535,1.4789,-1.2594,10.4534,1.4788,-1.2596,-0.0001,0,-0.0002,-0.0002
A::Surface Points::11,10.1627,1.3932,-1.1481,10.1626,1.3932,-1.1487,-0.0002,0,-0.0005,-0.0006
A::Surface Points::12,9.7947,1.2392,-1.008,9.7946,1.2392,-1.0082,0,0,-0.0001,-0.0001
A::Surface Points::13,9.3203,1.0566,-0.8336,9.3203,1.0566,-0.8337,0,0,0,0
A::Surface Points::14,8.961,0.9966,-0.7087,8.9611,0.9967,-0.7085,0.0001,0,0.0002,0.0002
A::Surface Points::15,8.5328,0.8074,-0.5601,8.5328,0.8074,-0.56,0,0,0.0001,0.0001
A::Surface Points::16,8.143,0.7264,-0.4326,8.143,0.7264,-0.4327,0,0,-0.0001,-0.0001
A::Surface Points::17,7.7261,0.6493,-0.3012,7.7261,0.6493,-0.3014,0,0,-0.0002,-0.0002
A::Surface Points::18,7.3168,0.4781,-0.1753,7.3168,0.4781,-0.1756,-0.0001,0,-0.0003,-0.0003
A::Surface Points::19,6.841,0.3641,-0.0377,6.841,0.3641,-0.0378,0,0,0,0
A::Surface Points::20,6.6161,0.1943,0.0259,6.6161,0.1943,0.0261,0.0001,0,0.0002,0.0002
A::Surface Points::21,-1.9462,-6.3263,0.0259,-1.9462,-6.3264,0.0261,0,0,0.0001,0.0001
A::Surface Points::22,-2.0102,-6.5959,-0.0502,-2.0102,-6.5959,-0.0502,0,0,0,0
A::Surface Points::23,-2.0469,-7.1676,-0.2112,-2.0469,-7.1676,-0.2114,0,0,-0.0002,-0.0002
A::Surface Points::24,-2.0263,-7.5859,-0.3315,-2.0262,-7.5859,-0.3317,0,0.0001,-0.0002,-0.0002
A::Surface Points::25,-2.1198,-8.0528,-0.4812,-2.1198,-8.0527,-0.4813,0,0,-0.0001,-0.0001
A::Surface Points::26,-2.1904,-8.4635,-0.617,-2.1904,-8.4635,-0.6168,0,-0.0001,0.0002,0.0002
A::Surface Points::27,-2.2626,-8.9002,-0.7661,-2.2626,-8.9002,-0.7661,0,0,0,0
A::Surface Points::28,-2.3563,-9.3127,-0.9136,-2.3563,-9.3126,-0.9139,0,0.0001,-0.0004,-0.0004
A::Surface Points::29,-2.4451,-9.8252,-1.1001,-2.445,-9.825,-1.1004,0,0.0001,-0.0003,-0.0003
A::Surface Points::30,-2.5674,-10.2527,-1.2648,-2.5674,-10.2525,-1.2651,0,0.0001,-0.0004,-0.0004
A::Surface Points::31,-2.6161,-10.6839,-1.4281,-2.6161,-10.6838,-1.4282,0,0,-0.0001,-0.0001
A::Surface Points::32,-2.7249,-10.9887,-1.5528,-2.7249,-10.9887,-1.5528,0,0,0,0
A::Surface Points::33,-2.7891,-11.294,-1.6754,-2.7891,-11.2939,-1.6756,0,0.0001,-0.0002,-0.0002
A::Surface Points::34,-2.9049,-11.6633,-1.8298,-2.9049,-11.6633,-1.8298,0,0,0,0
A::Surface Points::35,-3.0649,-12.0048,-1.9803,-3.0649,-12.0049,-1.9802,0,0,0.0001,0.0001
A::Surface Points::36,-3.2235,-12.3267,-2.1252,-3.2235,-12.3269,-2.1249,0,-0.0001,0.0003,0.0003
A::Surface Points::37,-3.3229,-12.6938,-2.2844,-3.3229,-12.6939,-2.2842,0,-0.0001,0.0002,0.0002
