Name,Surface Face,,,Point,,,Delta,,,
A::Surface Points::38,-3.424,-13.0564,-2.4441,-3.424,-13.0565,-2.4439,0,-0.0001,0.0002,0.0002
A::Surface Points::39,-3.6131,-13.3319,-2.5793,-3.6131,-13.3321,-2.579,0,-0.0002,0.0004,0.0004
A::Surface Points::40,-3.8246,-13.644,-2.7343,-3.8246,-13.6442,-2.7341,0,-0.0001,0.0003,0.0003
A::Surface Points::41,-4.1331,-13.8459,-2.8569,-4.1331,-13.8458,-2.857,0,0.0001,-0.0001,-0.0001
A::Surface Points::42,-4.9756,4.3663,0.0257,-4.9756,4.3663,0.0259,0,0,0.0001,0.0001
A::Surface Points::43,-5.4033,4.7945,-0.1428,-5.4033,4.7944,-0.143,0,0,-0.0002,-0.0002
A::Surface Points::44,-5.5433,5.1685,-0.2471,-5.5433,5.1685,-0.2471,0,0,0,0
A::Surface Points::45,-5.6477,5.4864,-0.3364,-5.6477,5.4864,-0.3364,0,0,0,0
A::Surface Points::46,-5.7918,5.7089,-0.4167,-5.7918,5.7088,-0.4168,0,0,-0.0001,-0.0001
A::Surface Points::47,-6.0012,5.8807,-0.5025,-6.0012,5.8807,-0.5024,0,0,0.0001,0.0001
A::Surface Points::48,-6.2166,6.0618,-0.5937,-6.2166,6.0619,-0.5935,-0.0001,0.0001,0.0003,0.0003
A::Surface Points::49,-6.399,6.4441,-0.7268,-6.3991,6.4442,-0.7267,0,0,0.0001,0.0001
A::Surface Points::50,-6.564,6.6601,-0.819,-6.5639,6.6601,-0.8193,0.0001,-0.0001,-0.0002,-0.0003
A::Surface Points::51,-6.7451,6.8491,-0.9102,-6.745,6.8491,-0.9103,0,0,-0.0001,-0.0001
A::Surface Points::52,-6.8448,7.0772,-0.9927,-6.8448,7.0771,-0.993,0.0001,-0.0001,-0.0003,-0.0003
A::Surface Points::53,-7.0515,7.3425,-1.1132,-7.0514,7.3424,-1.1136,0.0001,-0.0001,-0.0003,-0.0004
A::Surface Points::54,-7.2079,7.6718,-1.2407,-7.2078,7.6717,-1.241,0.0001,-0.0001,-0.0004,-0.0004
A::Surface Points::55,-7.4317,7.8701,-1.3522,-7.4317,7.87,-1.3525,0.0001,-0.0001,-0.0003,-0.0003
A::Surface Points::56,-7.6518,8.0164,-1.4501,-7.6518,8.0164,-1.4502,0,0,0,0
A::Surface Points::57,-7.9084,8.2358,-1.5798,-7.9084,8.2358,-1.5799,0,0,-0.0001,-0.0001
A::Surface Points::58,-8.1616,8.3628,-1.6844,-8.1616,8.3628,-1.6845,0,0,-0.0001,-0.0001
A::Surface Points::59,-8.386,8.488,-1.7821,-8.386,8.488,-1.7821,0,0,0,0
A::Surface Points::60,-8.6796,8.6411,-1.9088,-8.6797,8.6411,-1.9087,0,0,0.0001,0.0001
A::Surface Points::61,-8.8863,8.7588,-2.002,-8.8864,8.7588,-2.0018,-0.0001,0.0001,0.0002,0.0002
A::Surface Points::62,-9.1765,8.9839,-2.1518,-9.1766,8.984,-2.1515,-0.0001,0.0001,0.0003,0.0003
A::Surface Points::63,-9.3786,9.2392,-2.2862,-9.3787,9.2393,-2.2859,-0.0001,0.0001,0.0003,0.0003
A::Surface Points::64,-9.5877,9.5053,-2.4276,-9.5878,9.5054,-2.4274,-0.0001,0.0001,0.0002,0.0003
A::Surface Points::65,-9.9627,9.793,-2.6278,-9.9628,9.7931,-2.6274,-0.0001,0.0001,0.0004,0.0005
A::Surface Points::66,-10.1788,9.9315,-2.7364,-10.1789,9.9316,-2.7363,0,0,0.0001,0.0001
A::Surface Points::67,-10.3683,9.8925,-2.7839,-10.3682,9.8925,-2.784,0,0,-0.0001,-0.0001
