Wavelength (nm),Non protected Aluminum: NiCr + Al,Protected Aluminum: NiCr + Al + SiN4 (2nm),M2 protected Silver (average of 6 witness samples)
884,89.67,88.74,99.17
883,89.63,88.68,99.16
882,89.58,88.63,99.17
881,89.53,88.59,99.17
880,89.49,88.55,99.16
879,89.45,88.50,99.16
878,89.39,88.45,99.16
877,89.34,88.40,99.16
876,89.30,88.35,99.16
875,89.25,88.31,99.15
874,89.20,88.26,99.16
873,89.15,88.20,99.15
872,89.11,88.17,99.15
871,89.05,88.11,99.16
870,89.01,88.06,99.15
869,88.99,88.02,99.15
868,88.91,87.97,99.15
867,88.87,87.94,99.15
866,88.84,87.90,99.15
865,88.79,87.85,99.14
864,88.74,87.83,99.14
863,88.71,87.79,99.14
862,88.68,87.73,99.14
861,88.63,87.71,99.14
860,88.59,87.64,99.14
859,88.55,87.59,99.14
858,88.50,87.56,99.14
857,88.46,87.50,99.13
856,88.41,87.47,99.13
855,88.37,87.43,99.13
854,88.32,87.40,99.13
853,88.29,87.35,99.13
852,88.25,87.32,99.12
851,88.22,87.30,99.13
850,88.16,87.25,99.12
849,88.13,87.22,99.12
848,88.10,87.18,99.12
847,88.06,87.15,99.12
846,88.04,87.11,99.12
845,87.99,87.09,99.12
844,87.97,87.05,99.11
843,87.94,87.02,99.11
842,87.90,86.99,99.11
841,87.88,86.97,99.11
840,87.84,86.94,99.11
839,87.80,86.90,99.11
838,87.78,86.88,99.11
837,87.77,86.86,99.11
836,87.73,86.83,99.10
835,87.70,86.80,99.10
834,87.68,86.78,99.10
833,87.66,86.76,99.10
832,87.63,86.76,99.10
831,87.61,86.72,99.10
830,87.59,86.70,99.10
829,87.56,86.70,99.10
828,87.56,86.67,99.09
827,87.53,86.65,99.11
826,87.51,86.66,99.09
825,87.51,86.64,99.09
824,87.49,86.64,99.09
823,87.47,86.62,99.09
822,87.45,86.62,99.08
821,87.45,86.60,99.08
820,87.44,86.59,99.08
819,87.44,86.57,99.08
818,87.44,86.56,99.07
817,87.41,86.57,99.08
816,87.40,86.56,99.07
815,87.39,86.56,99.07
814,87.40,86.55,99.07
813,87.40,86.55,99.07
812,87.39,86.55,99.07
811,87.38,86.55,99.06
810,87.38,86.54,99.06
809,87.37,86.54,99.06
808,87.37,86.55,99.06
807,87.37,86.54,99.06
806,87.37,86.54,99.06
805,87.36,86.55,99.05
804,87.37,86.56,99.05
803,87.38,86.56,99.05
802,87.38,86.56,99.05
801,87.38,86.56,99.04
800,87.39,86.57,99.04
799,87.40,86.60,99.04
798,87.41,86.61,99.03
797,87.41,86.63,99.03
796,87.43,86.63,99.03
795,87.43,86.64,99.03
794,87.44,86.65,99.03
793,87.44,86.65,99.03
792,87.47,86.68,99.02
791,87.47,86.69,99.02
790,87.49,86.70,99.02
789,87.49,86.72,99.02
788,87.51,86.73,99.01
787,87.54,86.76,99.01
786,87.54,86.79,99.01
785,87.55,86.78,99.01
784,87.57,86.81,99.01
783,87.59,86.82,99.01
782,87.60,86.84,99.01
781,87.63,86.86,99.00
780,87.63,86.87,99.00
779,87.65,86.89,99.00
778,87.67,86.91,99.00
777,87.68,86.93,98.99
776,87.71,86.95,98.99
775,87.72,86.98,98.99
774,87.75,86.99,98.99
773,87.76,87.02,98.98
772,87.78,87.05,98.98
771,87.80,87.04,98.98
770,87.83,87.06,98.98
769,87.84,87.08,98.97
768,87.85,87.10,98.97
767,87.88,87.12,98.98
766,87.89,87.14,98.97
765,87.91,87.16,98.96
764,87.94,87.19,98.97
763,87.96,87.22,98.96
762,87.98,87.23,98.97
761,88.00,87.24,98.96
760,88.03,87.24,98.95
759,88.03,87.26,98.95
758,88.06,87.29,98.96
757,88.07,87.31,98.95
756,88.10,87.33,98.94
755,88.11,87.36,98.94
754,88.14,87.37,98.94
753,88.17,87.41,98.93
752,88.18,87.43,98.93
751,88.21,87.44,98.93
750,88.24,87.48,98.92
749,88.25,87.50,98.93
748,88.28,87.52,98.92
747,88.31,87.55,98.92
746,88.32,87.57,98.92
745,88.34,87.58,98.91
744,88.35,87.60,98.91
743,88.38,87.63,98.91
742,88.41,87.65,98.91
741,88.43,87.67,98.90
740,88.46,87.70,98.90
739,88.48,87.72,98.90
738,88.49,87.74,98.90
737,88.52,87.76,98.89
736,88.54,87.79,98.89
735,88.56,87.80,98.89
734,88.58,87.83,98.88
733,88.61,87.85,98.89
732,88.63,87.89,98.88
731,88.64,87.90,98.88
730,88.67,87.91,98.88
729,88.69,87.93,98.87
728,88.72,87.96,98.87
727,88.73,87.98,98.87
726,88.75,88.00,98.87
725,88.78,88.02,98.86
724,88.78,88.03,98.86
723,88.82,88.06,98.85
722,88.83,88.09,98.85
721,88.86,88.10,98.85
720,88.87,88.12,98.85
719,88.85,88.08,98.85
718,88.87,88.10,98.83
717,88.87,88.13,98.82
716,88.89,88.14,98.83
715,88.91,88.16,98.82
714,88.93,88.19,98.81
713,88.94,88.20,98.82
712,88.98,88.22,98.81
711,88.99,88.23,98.81
710,89.02,88.28,98.80
709,89.04,88.28,98.81
708,89.06,88.31,98.80
707,89.07,88.31,98.80
706,89.09,88.37,98.80
705,89.12,88.36,98.79
704,89.12,88.40,98.79
703,89.15,88.41,98.79
702,89.17,88.43,98.78
701,89.20,88.45,98.79
700,89.22,88.46,98.79
699,89.24,88.49,98.77
698,89.25,88.49,98.78
697,89.25,88.52,98.78
696,89.30,88.54,98.77
695,89.32,88.57,98.77
694,89.32,88.57,98.76
693,89.35,88.60,98.76
692,89.36,88.62,98.76
691,89.39,88.62,98.77
690,89.41,88.64,98.75
689,89.41,88.66,98.75
688,89.44,88.69,98.75
687,89.46,88.70,98.75
686,89.46,88.72,98.74
685,89.50,88.73,98.74
684,89.51,88.76,98.74
683,89.51,88.78,98.74
682,89.55,88.79,98.73
681,89.56,88.82,98.74
680,89.60,88.83,98.73
679,89.59,88.84,98.72
678,89.61,88.85,98.73
677,89.63,88.88,98.72
676,89.66,88.90,98.73
675,89.67,88.91,98.71
674,89.70,88.93,98.71
673,89.72,88.96,98.72
672,89.73,88.96,98.71
671,89.74,88.98,98.71
670,89.76,89.00,98.70
669,89.76,89.01,98.72
668,89.79,89.02,98.70
667,89.81,89.05,98.70
666,89.82,89.06,98.70
665,89.83,89.07,98.71
664,89.86,89.08,98.70
663,89.87,89.12,98.70
662,89.88,89.12,98.70
661,89.89,89.16,98.69
660,89.93,89.16,98.70
659,89.93,89.15,98.70
658,89.94,89.18,98.68
657,89.95,89.21,98.68
656,89.98,89.23,98.68
655,89.97,89.23,98.68
654,90.01,89.23,98.67
653,90.02,89.26,98.67
652,90.02,89.27,98.67
651,90.05,89.29,98.68
650,90.07,89.31,98.66
649,90.06,89.30,98.65
648,90.08,89.33,98.66
647,90.09,89.34,98.66
646,90.11,89.35,98.65
645,90.11,89.38,98.65
644,90.12,89.38,98.64
643,90.14,89.40,98.64
642,90.14,89.40,98.63
641,90.15,89.41,98.63
640,90.18,89.43,98.63
639,90.20,89.44,98.62
638,90.20,89.46,98.63
637,90.21,89.46,98.61
636,90.23,89.48,98.61
635,90.23,89.49,98.60
634,90.25,89.50,98.60
633,90.26,89.52,98.60
632,90.27,89.53,98.59
631,90.27,89.53,98.59
630,90.29,89.56,98.57
629,90.29,89.57,98.59
628,90.30,89.58,98.56
627,90.32,89.56,98.56
626,90.35,89.60,98.56
625,90.36,89.61,98.54
624,90.36,89.61,98.54
623,90.36,89.62,98.53
622,90.38,89.63,98.54
621,90.40,89.64,98.52
620,90.42,89.66,98.51
619,90.41,89.68,98.52
618,90.42,89.68,98.51
