,,A Comparisons of Thorlabs' Thin Film Aluminum Mirror Coatings,,,
,,UV-Enhanced Aluminum (-F01),,Protected Aluminum (-G01),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,1.34,95.22795,1.35,92.53741
,,1.35,95.29255,1.36,92.63839
,,1.36,95.36949,1.37,92.7547
,,1.37,95.40981,1.38,92.87103
,,1.38,95.43956,1.39,92.96149
,,1.39,95.42503,1.4,93.05742
,,1.4,95.4425,1.41,93.16561
,,1.41,95.48161,1.42,93.24925
,,1.42,95.52215,1.43,93.29545
,,1.43,95.56043,1.44,93.35418
,,1.44,95.59023,1.45,93.45122
,,1.45,95.61678,1.46,93.55953
,,1.46,95.67901,1.47,93.63802
,,1.47,95.72865,1.48,93.70262
,,1.48,95.75594,1.49,93.7707
,,1.49,95.79485,1.5,93.82945
,,1.5,95.81743,1.51,93.88297
,,1.51,95.85023,1.52,93.94203
,,1.52,95.88915,1.53,93.98329
,,1.53,95.92326,1.54,94.03981
,,1.54,95.95049,1.55,94.12185
,,1.55,95.9683,1.56,94.18375
,,1.56,96.00514,1.57,94.23097
,,1.57,95.99092,1.58,94.28882
,,1.58,95.98859,1.59,94.34791
,,1.59,96.0023,1.6,94.37789
,,1.6,96.01108,1.61,94.41373
,,1.61,96.05151,1.62,94.46519
,,1.62,96.10245,1.63,94.48834
,,1.63,96.13747,1.64,94.51047
,,1.64,96.16932,1.65,94.55517
,,1.65,96.21321,1.66,94.63174
,,1.66,96.22944,1.67,94.68645
,,1.67,96.27273,1.68,94.77372
,,1.68,96.30185,1.69,94.824
,,1.69,96.34729,1.7,94.82738
,,1.7,96.39153,1.71,94.89165
,,1.71,96.43129,1.72,94.95638
,,1.72,96.4867,1.73,94.97442
,,1.73,96.55224,1.74,94.98419
,,1.74,96.56918,1.75,95.00162
,,1.75,96.57633,1.76,94.99304
,,1.76,96.5874,1.77,94.9639
,,1.77,96.59713,1.78,94.9451
,,1.78,96.52492,1.79,94.9242
,,1.79,96.46032,1.8,94.92515
,,1.8,96.45672,1.81,94.95214
,,1.81,96.46234,1.82,95.02135
,,1.82,96.47768,1.83,95.0882
,,1.83,96.53466,1.84,95.12754
,,1.84,96.53338,1.85,95.15513
,,1.85,96.52833,1.86,95.18204
,,1.86,96.55939,1.87,95.18075
,,1.87,96.5932,1.88,95.1615
,,1.88,96.57242,1.89,95.1282
,,1.89,96.62152,1.9,95.12116
,,1.9,96.64785,1.91,95.12136
,,1.91,96.62996,1.92,95.11638
,,1.92,96.64853,1.93,95.12046
,,1.93,96.64217,1.94,95.1387
,,1.94,96.6641,1.95,95.17433
,,1.95,96.65561,1.96,95.22541
,,1.96,96.67493,1.97,95.27977
,,1.97,96.70914,1.98,95.33463
,,1.98,96.74582,1.99,95.36761
,,1.99,96.8314,2,95.37332
,,2,96.87199,2.01,95.36372
,,2.01,96.89971,2.02,95.32995
,,2.02,96.96583,2.03,95.28466
,,2.03,96.94517,2.04,95.24032
,,2.04,96.9439,2.05,95.21215
,,2.05,96.921,2.06,95.19765
,,2.06,96.90249,2.07,95.16063
,,2.07,96.87482,2.08,95.15447
,,2.08,96.87007,2.09,95.20252
,,2.09,96.88262,2.1,95.24883
,,2.1,96.87889,2.11,95.32558
,,2.11,96.84291,2.12,95.37717
,,2.12,96.83166,2.13,95.43998
,,2.13,96.81368,2.14,95.49802
,,2.14,96.81171,2.15,95.51503
,,2.15,96.84902,2.16,95.53172
,,2.16,96.90892,2.17,95.49594
,,2.17,96.83417,2.18,95.47617
,,2.18,96.81311,2.19,95.46786
,,2.19,96.85733,2.2,95.41233
,,2.2,96.87675,2.21,95.37083
,,2.21,96.90613,2.22,95.33933
,,2.22,96.88843,2.23,95.31193
,,2.23,96.92362,2.24,95.2869
,,2.24,96.89213,2.25,95.27495
,,2.25,96.85264,2.26,95.29539
,,2.26,96.87867,2.27,95.33066
,,2.27,96.85389,2.28,95.34393
,,2.28,96.90282,2.29,95.41097
,,2.29,96.87015,2.3,95.47209
,,2.3,96.93018,2.31,95.59291
,,2.31,96.94224,2.32,95.64344
,,2.32,96.91015,2.33,95.62134
,,2.33,96.94165,2.34,95.64308
,,2.34,97.07724,2.35,95.64433
,,2.35,97.12228,2.36,95.66537
,,2.36,97.00317,2.37,95.5789
,,2.37,97.1419,2.38,95.56364
,,2.38,97.21408,2.39,95.53948
,,2.39,96.99994,2.4,95.49139
,,2.4,97.21155,2.41,95.44296
,,2.41,97.07446,2.42,95.45107
,,2.42,97.21995,2.43,95.38924
,,2.43,97.25112,2.44,95.33851
,,2.44,97.21788,2.45,95.32911
,,2.45,97.10021,2.46,95.28531
,,2.46,97.07754,2.47,95.38315
,,2.47,97.20295,2.48,95.3911
,,2.48,97.01575,2.49,95.52371
,,2.49,97.05876,2.5,95.48515
,,2.5,96.9497,2.51,95.68044
,,2.51,97.07882,2.52,95.66555
,,2.52,97.05392,2.53,95.71403
,,2.53,97.12961,2.54,95.71928
,,2.54,97.03804,2.55,95.8776
,,2.55,97.17183,2.56,95.66478
,,2.56,96.9805,2.57,95.73789
,,2.57,96.67166,2.58,95.5768
,,2.58,96.91187,2.59,95.60735
,,2.59,96.39752,2.6,95.80077
,,2.6,96.11933,2.61973,96.021
,,2.60979,96.19793,2.62966,96.00588
,,2.61973,96.23778,2.63959,95.99094
,,2.62966,96.27682,2.64952,95.97619
,,2.63959,96.31504,2.65971,95.96121
,,2.64952,96.35247,2.66963,95.94682
,,2.65971,96.39011,2.67954,95.93261
,,2.66963,96.42594,2.68973,95.91818
,,2.67954,96.46099,2.69963,95.90433
,,2.68973,96.49621,2.70953,95.89066
,,2.69963,96.52971,2.7197,95.87677
,,2.70953,96.56246,2.72959,95.86344
,,2.7197,96.59534,2.73948,95.85028
,,2.72959,96.62658,2.74963,95.83693
,,2.73948,96.6571,2.75951,95.82411
,,2.74963,96.68771,2.76966,95.8111
,,2.75951,96.71676,2.77953,95.79862
,,2.76966,96.74589,2.78967,95.78595
,,2.77953,96.77352,2.79953,95.7738
,,2.78967,96.8012,2.80966,95.76147
,,2.79953,96.82743,2.81951,95.74964
,,2.80966,96.85369,2.82963,95.73764
,,2.81951,96.87856,2.83947,95.72613
,,2.82963,96.90343,2.84958,95.71446
