Uncoated B270 Transmission,,,
Wavelength (nm),% Transmission,,
2600,69.116263,,
2599,69.139893,,
2598,69.189101,,
2597,69.217774,,
2596,69.260654,,
2595,69.308952,,
2594,69.368547,,
2593,69.388483,,
2592,69.404562,,
2591,69.419911,,
2590,69.465324,,
2589,69.522087,,
2588,69.577892,,
2587,69.609145,,
2586,69.634231,,
2585,69.663766,,
2584,69.667556,,
2583,69.730538,,
2582,69.744679,,
2581,69.80674,,
2580,69.848331,,
2579,69.880301,,
2578,69.918348,,
2577,69.943635,,
2576,69.964976,,
2575,69.997009,,
2574,70.043294,,
2573,70.061721,,
2572,70.100196,,
2571,70.117997,,
2570,70.16258,,
2569,70.200604,,
2568,70.220638,,
2567,70.244143,,
2566,70.246582,,
2565,70.269749,,
2564,70.30281,,
2563,70.334767,,
2562,70.39453,,
2561,70.423376,,
2560,70.44082,,
2559,70.481571,,
2558,70.511188,,
2557,70.541524,,
2556,70.608711,,
2555,70.638884,,
2554,70.677116,,
2553,70.680279,,
2552,70.685399,,
2551,70.708379,,
2550,70.737065,,
2549,70.765077,,
2548,70.805836,,
2547,70.85149,,
2546,70.888911,,
2545,70.893251,,
2544,70.915807,,
2543,70.945893,,
2542,70.985175,,
2541,71.043293,,
2540,71.07245,,
2539,71.084485,,
2538,71.131016,,
2537,71.169796,,
2536,71.181976,,
2535,71.20173,,
2534,71.218542,,
2533,71.249311,,
2532,71.286457,,
2531,71.332983,,
2530,71.334156,,
2529,71.368387,,
2528,71.401016,,
2527,71.455491,,
2526,71.484249,,
2525,71.504577,,
2524,71.525558,,
2523,71.564595,,
2522,71.605691,,
2521,71.628882,,
2520,71.657398,,
2519,71.678089,,
2518,71.715705,,
2517,71.770452,,
2516,71.798261,,
2515,71.824438,,
2514,71.854949,,
2513,71.877143,,
2512,71.908018,,
2511,71.928709,,
2510,71.972013,,
2509,72.004066,,
2508,72.030095,,
2507,72.07402,,
2506,72.115684,,
2505,72.154363,,
2504,72.190165,,
2503,72.196568,,
2502,72.226467,,
2501,72.26491,,
2500,72.308489,,
2499,72.335067,,
2498,72.380449,,
2497,72.411138,,
2496,72.446176,,
2495,72.468943,,
2494,72.472775,,
2493,72.484157,,
2492,72.523229,,
2491,72.56763,,
2490,72.63401,,
2489,72.66842,,
2488,72.699931,,
2487,72.739228,,
2486,72.752922,,
2485,72.778223,,
2484,72.816168,,
2483,72.872678,,
2482,72.899651,,
2481,72.934075,,
2480,72.976598,,
2479,73.023416,,
2478,73.057719,,
2477,73.094153,,
2476,73.130035,,
2475,73.161114,,
2474,73.19067,,
2473,73.232864,,
2472,73.28386,,
2471,73.333969,,
2470,73.377996,,
2469,73.426645,,
2468,73.469803,,
2467,73.520676,,
2466,73.560285,,
2465,73.612351,,
2464,73.66755,,
2463,73.712983,,
2462,73.74199,,
2461,73.779677,,
2460,73.808751,,
2459,73.856975,,
2458,73.929472,,
2457,73.994096,,
2456,74.032039,,
2455,74.065155,,
2454,74.10628,,
2453,74.149986,,
2452,74.187553,,
2451,74.22654,,
2450,74.279575,,
2449,74.33941,,
2448,74.410842,,
2447,74.457088,,
2446,74.498549,,
2445,74.547042,,
2444,74.587162,,
2443,74.638302,,
2442,74.689556,,
2441,74.739867,,
2440,74.799484,,
2439,74.854806,,
2438,74.892857,,
2437,74.928787,,
2436,74.978327,,
2435,75.031808,,
2434,75.097961,,
2433,75.174513,,
2432,75.242009,,
2431,75.295707,,
2430,75.329958,,
2429,75.372374,,
2428,75.439261,,
2427,75.492582,,
2426,75.52832,,
2425,75.575766,,
2424,75.615195,,
2423,75.653389,,
2422,75.711362,,
2421,75.785794,,
2420,75.858311,,
2419,75.903119,,
2418,75.934006,,
2417,75.967375,,
2416,76.000694,,
2415,76.043531,,
2414,76.094528,,
2413,76.127901,,
2412,76.178021,,
2411,76.230177,,
2410,76.265088,,
2409,76.302106,,
2408,76.327131,,
2407,76.374291,,
2406,76.417038,,
2405,76.459104,,
2404,76.512108,,
2403,76.543856,,
2402,76.567115,,
2401,76.593551,,
2400,76.624202,,
2399,76.653039,,
2398,76.69732,,
2397,76.749108,,
2396,76.78295,,
2395,76.810133,,
2394,76.837775,,
2393,76.871707,,
2392,76.908879,,
2391,76.93856,,
2390,76.958695,,
2389,76.970201,,
2388,77.00979,,
2387,77.061872,,
2386,77.090785,,
2385,77.104594,,
2384,77.116395,,
2383,77.133523,,
2382,77.154589,,
2381,77.186117,,
2380,77.245154,,
2379,77.280404,,
2378,77.285703,,
2377,77.291352,,
2376,77.314828,,
2375,77.341768,,
2374,77.363982,,
2373,77.370327,,
2372,77.401675,,
2371,77.437011,,
2370,77.464089,,
2369,77.493368,,
2368,77.501766,,
2367,77.499405,,
2366,77.507899,,
2365,77.535683,,
2364,77.550022,,
2363,77.582555,,
2362,77.605224,,
2361,77.631743,,
2360,77.655635,,
2359,77.660127,,
2358,77.672303,,
2357,77.685835,,
2356,77.699833,,
2355,77.726534,,
2354,77.747102,,
2353,77.76485,,
2352,77.776181,,
2351,77.78892,,
2350,77.801872,,
2349,77.82981,,
2348,77.835561,,
2347,77.865517,,
2346,77.904061,,
2345,77.889693,,
2344,77.894143,,
2343,77.917714,,
2342,77.922517,,
2341,77.91799,,
2340,77.918183,,
2339,77.951683,,
2338,77.975087,,
2337,77.997251,,
2336,78.01212,,
2335,78.021451,,
2334,78.003076,,
2333,77.996251,,
2332,78.009357,,
2331,78.046322,,
2330,78.067054,,
2329,78.088305,,
2328,78.08973,,
2327,78.086127,,
2326,78.101149,,
2325,78.101294,,
2324,78.105437,,
2323,78.137411,,
2322,78.146331,,
2321,78.142479,,
2320,78.137137,,
2319,78.158587,,
2318,78.162098,,
2317,78.161203,,
2316,78.148624,,
2315,78.15509,,
2314,78.177012,,
2313,78.183436,,
2312,78.176589,,
2311,78.17561,,
2310,78.195652,,
2309,78.202209,,
2308,78.207596,,
2307,78.209673,,
2306,78.218072,,
2305,78.231723,,
2304,78.245065,,
2303,78.227472,,
2302,78.212592,,
2301,78.204497,,
2300,78.212002,,
2299,78.199385,,
2298,78.23166,,
2297,78.244449,,
2296,78.231319,,
2295,78.216786,,
2294,78.214867,,
2293,78.203586,,
2292,78.214585,,
2291,78.210713,,
2290,78.189725,,
2289,78.211859,,
2288,78.211606,,
2287,78.206709,,
2286,78.208405,,
2285,78.184624,,
2284,78.181354,,
2283,78.160429,,
2282,78.150525,,
2281,78.16656,,
2280,78.172771,,
2279,78.192797,,
2278,78.177888,,
2277,78.16231,,
2276,78.167167,,
2275,78.141337,,
2274,78.14197,,
2273,78.10682,,
2272,78.097465,,
2271,78.105158,,
2270,78.105974,,
2269,78.095093,,
2268,78.097614,,
2267,78.099177,,
2266,78.103638,,
2265,78.106462,,
2264,78.077607,,
2263,78.0611,,
2262,78.048284,,
2261,78.048853,,
2260,78.010604,,
2259,78.012385,,
2258,78.002947,,
2257,77.991766,,
2256,78.001027,,
2255,78.01184,,
2254,78.010566,,
2253,77.994437,,
2252,77.976373,,
2251,77.968191,,
2250,77.961998,,
2249,77.960936,,
2248,77.946741,,
2247,77.93967,,
2246,77.905509,,
2245,77.922293,,
2244,77.924956,,
2243,77.943269,,
2242,77.917488,,
2241,77.924517,,
2240,77.902685,,
2239,77.889898,,
2238,77.907862,,
2237,77.898141,,
2236,77.923253,,
2235,77.921718,,
