Wavelength,Reflectance
320.0,0.8119081967213114
321.0,0.8119521311475411
322.0,0.8119960655737706
323.0,0.8120400000000001
324.0,0.8120839344262296
325.0,0.8121278688524591
326.0,0.8121718032786885
327.0,0.8122157377049181
328.0,0.8122596721311476
329.0,0.8123036065573771
330.0,0.8123475409836066
331.0,0.8123914754098361
332.0,0.8124354098360657
333.0,0.8124793442622951
334.0,0.8125232786885247
335.0,0.8125672131147542
336.0,0.8126111475409837
337.0,0.8126550819672133
338.0,0.8126990163934428
339.0,0.8127429508196722
340.0,0.8127868852459017
341.0,0.8127868852459017
342.0,0.8127868852459017
343.0,0.8127868852459017
344.0,0.8127868852459017
345.0,0.8127868852459017
346.0,0.8127868852459017
347.0,0.8127868852459017
348.0,0.8127868852459017
349.0,0.8127868852459017
350.0,0.8127868852459017
351.0,0.8127868852459017
352.0,0.8127868852459017
353.0,0.8127868852459017
354.0,0.8127868852459017
355.0,0.8127868852459017
356.0,0.8127868852459017
357.0,0.8127868852459017
358.0,0.8127868852459017
359.0,0.8127868852459017
360.0,0.8127868852459017
361.0,0.8127868852459017
362.0,0.8127868852459017
363.0,0.8127868852459017
364.0,0.8127868852459017
365.0,0.8127868852459017
366.0,0.8127868852459017
367.0,0.8127868852459017
368.0,0.8127868852459017
369.0,0.8127868852459017
370.0,0.8127868852459017
371.0,0.8127868852459017
372.0,0.8127868852459017
373.0,0.8127868852459017
374.0,0.8127868852459017
375.0,0.8127868852459017
376.0,0.8127868852459017
377.0,0.8127868852459017
378.0,0.8127868852459017
379.0,0.8127868852459017
380.0,0.8127868852459017
381.0,0.8127429508196722
382.0,0.8126990163934428
383.0,0.8126550819672133
384.0,0.8126111475409837
385.0,0.8125672131147542
386.0,0.8125232786885247
387.0,0.8124793442622952
388.0,0.8124354098360657
389.0,0.8123914754098363
390.0,0.8123475409836067
391.0,0.8123036065573771
392.0,0.8122596721311476
393.0,0.8122157377049181
394.0,0.8121718032786885
395.0,0.8121278688524591
396.0,0.8120839344262296
397.0,0.8120400000000001
398.0,0.8119960655737706
399.0,0.8119521311475411
400.0,0.8119081967213115
401.0,0.8118730491803279
402.0,0.8118379016393444
403.0,0.8118027540983608
404.0,0.8117676065573771
405.0,0.8117324590163936
406.0,0.8116973114754099
407.0,0.8116621639344264
408.0,0.8116270163934427
409.0,0.811591868852459
410.0,0.8115567213114755
411.0,0.8115215737704919
412.0,0.8114864262295083
413.0,0.8114512786885247
414.0,0.8114161311475411
415.0,0.8113809836065574
416.0,0.8113458360655739
417.0,0.8113106885245902
418.0,0.8112755409836067
419.0,0.8112403934426231
420.0,0.8112052459016394
421.0,0.8111700983606559
422.0,0.8111349508196722
423.0,0.8110998032786886
424.0,0.811064655737705
425.0,0.8110295081967214
426.0,0.8109943606557378
427.0,0.8109592131147543
428.0,0.8109240655737706
429.0,0.810888918032787
430.0,0.8108537704918034
431.0,0.8108186229508197
432.0,0.8107834754098362
433.0,0.8107483278688525
434.0,0.8107131803278689
435.0,0.8106780327868853
436.0,0.8106428852459018
437.0,0.8106077377049181
438.0,0.8105725901639346
439.0,0.8105374426229509
440.0,0.8105022950819673
441.0,0.8104671475409837
442.0,0.810432
443.0,0.8103968524590165
444.0,0.8103617049180329
445.0,0.8103265573770493
446.0,0.8102914098360657
447.0,0.8102562622950821
448.0,0.8102211147540984
449.0,0.8101859672131149
450.0,0.8101508196721312
451.0,0.8100805245901641
452.0,0.8100102295081968
453.0,0.8099399344262296
454.0,0.8098696393442624
455.0,0.8097993442622952
456.0,0.809729049180328
457.0,0.8096587540983607
458.0,0.8095884590163935
459.0,0.8095181639344263
460.0,0.8094478688524591
461.0,0.8093775737704919
462.0,0.8093072786885246
463.0,0.8092369836065575
464.0,0.8091666885245903
465.0,0.8090963934426231
466.0,0.8090260983606558
467.0,0.8089558032786885
468.0,0.8088855081967214
469.0,0.8088152131147541
470.0,0.8087449180327869
471.0,0.8086746229508197
472.0,0.8086043278688525
473.0,0.8085340327868853
474.0,0.8084637377049181
475.0,0.8083934426229508
476.0,0.8083231475409837
477.0,0.8082528524590165
478.0,0.8081825573770492
479.0,0.8081122622950819
480.0,0.8080419672131148
481.0,0.8079716721311476
482.0,0.8079013770491803
483.0,0.8078310819672131
484.0,0.807760786885246
485.0,0.8076904918032788
486.0,0.8076201967213115
487.0,0.8075499016393443
488.0,0.8074796065573772
489.0,0.8074093114754098
490.0,0.8073390163934426
491.0,0.8072687213114754
492.0,0.8071984262295082
493.0,0.807128131147541
494.0,0.8070578360655738
495.0,0.8069875409836065
496.0,0.8069172459016394
497.0,0.8068469508196722
498.0,0.806776655737705
499.0,0.8067063606557376
500.0,0.8066360655737704
501.0,0.8065833442622952
502.0,0.8065306229508197
503.0,0.8064779016393443
504.0,0.8064251803278688
505.0,0.8063724590163934
506.0,0.806319737704918
507.0,0.8062670163934427
508.0,0.8062142950819672
509.0,0.8061615737704918
510.0,0.8061088524590164
511.0,0.8060561311475409
512.0,0.8060034098360657
513.0,0.8059506885245902
514.0,0.8058979672131148
515.0,0.8058452459016393
516.0,0.8057925245901639
517.0,0.8057398032786885
518.0,0.8056870819672132
519.0,0.8056343606557378
520.0,0.8055816393442623
521.0,0.8055289180327869
522.0,0.8054761967213114
523.0,0.8054234754098362
524.0,0.8053707540983607
525.0,0.8053180327868853
526.0,0.8052653114754099
527.0,0.8052125901639344
528.0,0.805159868852459
529.0,0.8051071475409837
530.0,0.8050544262295083
531.0,0.8050017049180328
532.0,0.8049489836065574
533.0,0.8048962622950819
534.0,0.8048435409836067
