LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,500.24787,5.71E-03,,202.1925159,0.00E+00,,202.1925159,0.00E+00,,498.75813,1.30E-03,,202.1925159,0.00E+00,,502.85773,3.30E-04,,500.24787,4.43E-02,,202.19252,0.00E+00,,800.68,2.22E-03,,802.62,3.00E-04,,601.390,6.07E-03,,1001.18396,1.31E-02,,611.0,1.22E-02,,1011.00000,4.18E-04,,1000.28,0.00E+00,,1000.27,4.24E-03
,500.40149,1.03E-02,,202.394179,0.00E+00,,202.394179,0.00E+00,,498.91311,0.00E+00,,202.394179,0.00E+00,,503.00995,2.74E-04,,500.40149,4.23E-02,,202.39418,0.00E+00,,800.75,2.11E-03,,802.86,1.35E-04,,601.501,4.98E-03,,1001.30676,1.31E-02,,612.0,2.40E-02,,1012.00000,5.68E-04,,1000.33,0.00E+00,,1000.32,4.27E-03
,500.55513,7.80E-03,,202.5958608,0.00E+00,,202.5958608,0.00E+00,,499.0681,7.83E-04,,202.5958608,0.00E+00,,503.16217,3.27E-04,,500.55513,4.48E-02,,202.59586,0.00E+00,,800.81,2.08E-03,,803.10,3.32E-04,,601.612,5.66E-03,,1001.42957,1.30E-02,,613.0,2.55E-02,,1013.00000,4.60E-04,,1000.38,0.00E+00,,1000.37,4.29E-03
,500.70877,1.16E-02,,202.7975615,0.00E+00,,202.7975615,0.00E+00,,499.2231,0.00E+00,,202.7975615,0.00E+00,,503.3144,2.82E-04,,500.70877,4.19E-02,,202.79756,0.00E+00,,800.87,1.78E-03,,803.33,8.16E-05,,601.723,8.02E-03,,1001.55237,1.30E-02,,614.0,2.04E-02,,1014.00000,4.44E-04,,1000.42,0.00E+00,,1000.42,4.31E-03
,500.86243,1.03E-02,,202.9992808,0.00E+00,,202.9992808,0.00E+00,,499.3781,2.61E-04,,202.9992808,0.00E+00,,503.46664,1.84E-04,,500.86243,4.43E-02,,202.99928,0.00E+00,,800.94,2.23E-03,,803.57,3.40E-04,,601.834,6.03E-03,,1001.67523,1.29E-02,,615.0,3.49E-02,,1015.00000,4.92E-04,,1000.47,0.00E+00,,1000.47,4.32E-03
,501.01609,1.72E-02,,203.2010189,0.00E+00,,203.2010189,0.00E+00,,499.53311,0.00E+00,,203.2010189,0.00E+00,,503.6189,4.12E-04,,501.01609,4.24E-02,,203.20102,0.00E+00,,801.00,2.21E-03,,803.81,1.09E-04,,601.945,3.72E-03,,1001.79816,1.28E-02,,616.0,1.66E-02,,1016.00000,4.75E-04,,1000.52,0.00E+00,,1000.52,4.33E-03
,501.16976,9.18E-03,,203.4027758,0.00E+00,,203.4027758,0.00E+00,,499.68813,2.61E-04,,203.4027758,0.00E+00,,503.77116,1.82E-04,,501.16976,4.54E-02,,203.40278,0.00E+00,,801.07,1.83E-03,,804.05,3.35E-04,,602.056,5.19E-03,,1001.92108,1.28E-02,,617.0,1.57E-02,,1017.00000,4.34E-04,,1000.57,0.00E+00,,1000.57,4.33E-03
,501.32344,1.18E-02,,203.6045514,0.00E+00,,203.6045514,0.00E+00,,499.84316,1.74E-04,,203.6045514,0.00E+00,,503.92344,4.61E-04,,501.32344,4.36E-02,,203.60455,0.00E+00,,801.13,1.65E-03,,804.28,8.21E-05,,602.167,3.57E-03,,1002.04407,1.29E-02,,618.0,1.69E-02,,1018.00000,3.41E-04,,1000.62,0.00E+00,,1000.61,4.34E-03
,501.47713,9.88E-03,,203.8063457,0.00E+00,,203.8063457,0.00E+00,,499.99819,2.61E-04,,203.8063457,0.00E+00,,504.07572,1.59E-04,,501.47713,4.62E-02,,203.80635,0.00E+00,,801.19,1.93E-03,,804.52,3.19E-04,,602.278,3.65E-03,,1002.16705,1.29E-02,,619.0,3.64E-02,,1019.00000,5.30E-04,,1000.67,0.00E+00,,1000.66,4.35E-03
,501.63083,1.29E-02,,204.0081587,0.00E+00,,204.0081587,0.00E+00,,500.15323,1.74E-04,,204.0081587,0.00E+00,,504.22802,3.24E-04,,501.63083,4.44E-02,,204.00816,0.00E+00,,801.26,1.84E-03,,804.76,8.23E-05,,602.389,4.21E-03,,1002.29004,1.30E-02,,620.0,2.33E-02,,1020.00000,5.04E-04,,1000.72,0.00E+00,,1000.71,4.35E-03
