LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,612.43567,2.00E-02,,351.1412247,0.00E+00,,351.1412247,0.00E+00,,611.56022,0.00E+00,,351.1412247,0.00E+00,,614.40218,2.51E-04,,612.43567,2.21E-02,,351.14122,0.00E+00,,849.12,2.05E-03,,974.84,3.09E-01,,692.720,2.60E-03,,1097.54248,9.37E-03,,1327.0,7.12E-01,,,,,1036.65,0.00E+00,,1036.64,3.68E-03
,612.59518,2.85E-02,,351.3552957,0.00E+00,,351.3552957,0.00E+00,,611.72018,1.74E-04,,351.3552957,0.00E+00,,614.56131,2.01E-04,,612.59518,2.02E-02,,351.3553,0.00E+00,,849.19,2.03E-03,,975.08,3.12E-01,,692.866,4.68E-03,,1097.69006,9.29E-03,,1328.0,6.90E-01,,,,,1036.70,0.00E+00,,1036.70,3.64E-03
,612.7547,1.87E-02,,351.5693825,0.00E+00,,351.5693825,0.00E+00,,611.88015,2.61E-04,,351.5693825,0.00E+00,,614.72044,2.24E-04,,612.7547,2.15E-02,,351.56938,0.00E+00,,849.27,2.27E-03,,975.32,3.12E-01,,693.013,2.95E-03,,1097.83765,9.29E-03,,1329.0,6.62E-01,,,,,1036.76,0.00E+00,,1036.75,3.61E-03
,612.91423,3.07E-02,,351.7834852,0.00E+00,,351.7834852,0.00E+00,,612.04012,1.74E-04,,351.7834852,0.00E+00,,614.87959,2.08E-04,,612.91423,1.98E-02,,351.78349,0.00E+00,,849.34,1.93E-03,,975.57,3.14E-01,,693.161,3.55E-03,,1097.98523,9.37E-03,,1330.0,6.42E-01,,,,,1036.81,0.00E+00,,1036.80,3.60E-03
,613.07376,2.39E-02,,351.9976038,0.00E+00,,351.9976038,0.00E+00,,612.2001,7.83E-04,,351.9976038,0.00E+00,,615.03874,2.59E-04,,613.07376,2.13E-02,,351.9976,0.00E+00,,849.41,2.30E-03,,975.81,3.15E-01,,693.308,3.02E-03,,1098.13294,9.52E-03,,1331.0,6.15E-01,,,,,1036.86,0.00E+00,,1036.85,3.60E-03
,613.2333,2.23E-02,,352.2117383,0.00E+00,,352.2117383,0.00E+00,,612.36009,1.74E-04,,352.2117383,0.00E+00,,615.19791,1.97E-04,,613.2333,2.04E-02,,352.21174,0.00E+00,,849.48,2.55E-03,,976.05,3.18E-01,,693.455,6.03E-03,,1098.28064,9.72E-03,,1332.0,5.85E-01,,,,,1036.91,0.00E+00,,1036.91,3.61E-03
,613.39285,1.56E-02,,352.4258887,0.00E+00,,352.4258887,0.00E+00,,612.52008,2.61E-04,,352.4258887,0.00E+00,,615.35708,2.34E-04,,613.39285,2.25E-02,,352.42589,0.00E+00,,849.55,1.95E-03,,976.29,3.20E-01,,693.602,4.59E-03,,1098.42835,9.95E-03,,1333.0,5.60E-01,,,,,1036.97,0.00E+00,,1036.96,3.64E-03
,613.55241,2.31E-02,,352.6400549,0.00E+00,,352.6400549,0.00E+00,,612.68008,0.00E+00,,352.6400549,0.00E+00,,615.51626,2.44E-04,,613.55241,2.14E-02,,352.64005,0.00E+00,,849.62,1.79E-03,,976.54,3.22E-01,,693.750,6.10E-03,,1098.57617,1.02E-02,,1334.0,5.39E-01,,,,,1037.02,0.00E+00,,1037.01,3.67E-03
,613.71197,3.04E-02,,352.854237,0.00E+00,,352.854237,0.00E+00,,612.84008,2.61E-04,,352.854237,0.00E+00,,615.67545,1.74E-04,,613.71197,2.26E-02,,352.85424,0.00E+00,,849.70,2.14E-03,,976.78,3.23E-01,,693.897,4.86E-03,,1098.72400,1.04E-02,,1335.0,5.11E-01,,,,,1037.07,0.00E+00,,1037.06,3.71E-03
,613.87154,2.74E-02,,353.068435,0.00E+00,,353.068435,0.00E+00,,613.00009,1.74E-04,,353.068435,0.00E+00,,615.83464,2.65E-04,,613.87154,2.02E-02,,353.06844,0.00E+00,,849.77,2.01E-03,,977.02,3.26E-01,,694.044,1.95E-03,,1098.87183,1.06E-02,,1336.0,4.92E-01,,,,,1037.12,0.00E+00,,1037.12,3.76E-03
,614.03112,2.59E-02,,353.2826489,0.00E+00,,353.2826489,0.00E+00,,613.16011,7.83E-04,,353.2826489,0.00E+00,,615.99385,1.69E-04,,614.03112,2.22E-02,,353.28265,0.00E+00,,849.84,2.38E-03,,977.27,3.27E-01,,694.192,2.29E-03,,1099.01978,1.08E-02,,1337.0,4.74E-01,,,,,1037.18,0.00E+00,,1037.17,3.80E-03
,614.1907,2.64E-02,,353.4968786,0.00E+00,,353.4968786,0.00E+00,,613.32013,1.74E-04,,353.4968786,0.00E+00,,616.15306,2.85E-04,,614.1907,2.09E-02,,353.49688,0.00E+00,,849.91,2.85E-03,,977.51,3.29E-01,,694.339,4.40E-03,,1099.16773,1.09E-02,,1338.0,4.53E-01,,,,,1037.23,0.00E+00,,1037.22,3.84E-03
,614.3503,2.26E-02,,353.7111242,0.00E+00,,353.7111242,0.00E+00,,613.48016,2.61E-04,,353.7111242,0.00E+00,,616.31229,1.94E-04,,614.3503,2.11E-02,,353.71112,0.00E+00,,849.98,2.57E-03,,977.75,3.31E-01,,694.487,3.36E-03,,1099.31567,1.11E-02,,1339.0,4.31E-01,,,,,1037.28,0.00E+00,,1037.28,3.88E-03
,614.50989,2.54E-02,,353.9253856,0.00E+00,,353.9253856,0.00E+00,,613.6402,0.00E+00,,353.9253856,0.00E+00,,616.47152,2.10E-04,,614.50989,1.88E-02,,353.92539,0.00E+00,,850.06,1.73E-03,,978.00,3.33E-01,,694.635,3.31E-03,,1099.46375,1.11E-02,,1340.0,4.12E-01,,,,,1037.33,0.00E+00,,1037.33,3.90E-03
,614.6695,2.40E-02,,354.1396629,0.00E+00,,354.1396629,0.00E+00,,613.80024,7.83E-04,,354.1396629,0.00E+00,,616.63076,2.07E-04,,614.6695,2.04E-02,,354.13966,0.00E+00,,850.13,1.85E-03,,978.24,3.33E-01,,694.783,4.31E-03,,1099.61182,1.12E-02,,1341.0,3.95E-01,,,,,1037.39,0.00E+00,,1037.38,3.91E-03
,614.82911,2.34E-02,,354.353956,0.00E+00,,354.353956,0.00E+00,,613.96029,0.00E+00,,354.353956,0.00E+00,,616.79001,2.58E-04,,614.82911,2.01E-02,,354.35396,0.00E+00,,850.20,1.82E-03,,978.48,3.34E-01,,694.930,4.15E-03,,1099.75989,1.12E-02,,1342.0,3.78E-01,,,,,1037.44,0.00E+00,,1037.43,3.90E-03
,614.98873,2.19E-02,,354.568265,0.00E+00,,354.568265,0.00E+00,,614.12034,7.83E-04,,354.568265,0.00E+00,,616.94927,1.92E-04,,614.98873,2.13E-02,,354.56827,0.00E+00,,850.27,2.36E-03,,978.73,3.38E-01,,695.078,2.53E-03,,1099.90808,1.11E-02,,1343.0,3.62E-01,,,,,1037.49,0.00E+00,,1037.49,3.86E-03
,615.14836,2.79E-02,,354.7825898,0.00E+00,,354.7825898,0.00E+00,,614.28041,1.22E-03,,354.7825898,0.00E+00,,617.10853,3.06E-04,,615.14836,1.91E-02,,354.78259,0.00E+00,,850.34,2.02E-03,,978.97,3.39E-01,,695.226,4.62E-03,,1100.05627,1.11E-02,,1344.0,3.49E-01,,,,,1037.55,0.00E+00,,1037.54,3.82E-03
,615.308,1.88E-02,,354.9969305,0.00E+00,,354.9969305,0.00E+00,,614.44047,7.83E-04,,354.9969305,0.00E+00,,617.26781,1.49E-04,,615.308,2.08E-02,,354.99693,0.00E+00,,850.42,1.17E-03,,979.21,3.41E-01,,695.374,4.97E-03,,1100.20447,1.09E-02,,1345.0,3.36E-01,,,,,1037.60,0.00E+00,,1037.59,3.76E-03
,615.46764,2.60E-02,,355.211287,0.00E+00,,355.211287,0.00E+00,,614.60055,0.00E+00,,355.211287,0.00E+00,,617.42709,2.73E-04,,615.46764,1.97E-02,,355.21129,0.00E+00,,850.49,1.66E-03,,979.46,3.43E-01,,695.522,3.24E-03,,1100.35278,1.08E-02,,1346.0,3.19E-01,,,,,1037.65,0.00E+00,,1037.64,3.71E-03
,615.62729,2.16E-02,,355.4256593,0.00E+00,,355.4256593,0.00E+00,,614.76063,2.61E-04,,355.4256593,0.00E+00,,617.58638,1.80E-04,,615.62729,2.05E-02,,355.42566,0.00E+00,,850.56,1.76E-03,,979.70,3.44E-01,,695.671,4.53E-03,,1100.50110,1.07E-02,,1347.0,3.09E-01,,,,,1037.70,0.00E+00,,1037.70,3.66E-03
,615.78694,3.32E-02,,355.6400474,0.00E+00,,355.6400474,0.00E+00,,614.92071,1.74E-04,,355.6400474,0.00E+00,,617.74568,2.45E-04,,615.78694,1.93E-02,,355.64005,0.00E+00,,850.63,1.69E-03,,979.94,3.46E-01,,695.819,5.02E-03,,1100.64941,1.07E-02,,1348.0,2.97E-01,,,,,1037.76,0.00E+00,,1037.75,3.62E-03
,615.94661,1.98E-02,,355.8544513,0.00E+00,,355.8544513,0.00E+00,,615.0808,7.83E-04,,355.8544513,0.00E+00,,617.90499,2.68E-04,,615.94661,2.12E-02,,355.85445,0.00E+00,,850.70,2.47E-03,,980.19,3.47E-01,,695.967,3.61E-03,,1100.79785,1.07E-02,,1349.0,2.79E-01,,,,,1037.81,0.00E+00,,1037.80,3.60E-03
,616.10628,2.75E-02,,356.0688711,0.00E+00,,356.0688711,0.00E+00,,615.2409,6.96E-04,,356.0688711,0.00E+00,,618.06431,2.12E-04,,616.10628,2.07E-02,,356.06887,0.00E+00,,850.78,2.24E-03,,980.43,3.48E-01,,696.115,2.54E-03,,1100.94629,1.07E-02,,1350.0,2.69E-01,,,,,1037.86,0.00E+00,,1037.86,3.59E-03
,616.26595,1.99E-02,,356.2833066,0.00E+00,,356.2833066,0.00E+00,,615.40101,0.00E+00,,356.2833066,0.00E+00,,618.22363,2.02E-04,,616.26595,2.31E-02,,356.28331,0.00E+00,,850.85,2.03E-03,,980.67,3.50E-01,,696.264,4.17E-03,,1101.09473,1.08E-02,,1351.0,2.58E-01,,,,,1037.91,0.00E+00,,1037.91,3.58E-03
,616.42564,2.54E-02,,356.497758,0.00E+00,,356.497758,0.00E+00,,615.56112,6.96E-04,,356.497758,0.00E+00,,618.38297,2.34E-04,,616.42564,2.16E-02,,356.49776,0.00E+00,,850.92,1.92E-03,,980.92,3.52E-01,,696.412,2.55E-03,,1101.24316,1.08E-02,,1352.0,2.38E-01,,,,,1037.97,0.00E+00,,1037.96,3.58E-03
,616.58533,1.95E-02,,356.7122252,0.00E+00,,356.7122252,0.00E+00,,615.72124,2.61E-04,,356.7122252,0.00E+00,,618.54231,2.27E-04,,616.58533,2.30E-02,,356.71223,0.00E+00,,850.99,1.71E-03,,981.16,3.52E-01,,696.561,3.19E-03,,1101.39172,1.08E-02,,1353.0,2.34E-01,,,,,1038.02,0.00E+00,,1038.01,3.57E-03
,616.74503,2.50E-02,,356.9267082,0.00E+00,,356.9267082,0.00E+00,,615.88136,6.96E-04,,356.9267082,0.00E+00,,618.70166,1.96E-04,,616.74503,1.99E-02,,356.92671,0.00E+00,,851.06,1.53E-03,,981.40,3.56E-01,,696.709,3.09E-03,,1101.54028,1.08E-02,,1354.0,2.22E-01,,,,,1038.07,0.00E+00,,1038.07,3.56E-03
,616.90474,1.80E-02,,357.1412069,0.00E+00,,357.1412069,0.00E+00,,616.04149,2.61E-04,,357.1412069,0.00E+00,,618.86102,2.53E-04,,616.90474,2.05E-02,,357.14121,0.00E+00,,851.14,1.46E-03,,981.65,3.56E-01,,696.858,5.60E-03,,1101.68897,1.07E-02,,1355.0,2.15E-01,,,,,1038.13,0.00E+00,,1038.12,3.54E-03
,617.06445,3.79E-02,,357.3557215,0.00E+00,,357.3557215,0.00E+00,,616.20162,6.96E-04,,357.3557215,0.00E+00,,619.02039,2.01E-04,,617.06445,1.96E-02,,357.35572,0.00E+00,,851.21,2.22E-03,,981.89,3.60E-01,,697.007,4.04E-03,,1101.83765,1.06E-02,,1356.0,1.77E-01,,,,,1038.18,0.00E+00,,1038.17,3.51E-03
,617.22417,1.85E-02,,357.5702518,0.00E+00,,357.5702518,0.00E+00,,616.36177,0.00E+00,,357.5702518,0.00E+00,,619.17977,2.63E-04,,617.22417,2.12E-02,,357.57025,0.00E+00,,851.28,2.00E-03,,982.13,3.61E-01,,697.156,3.23E-03,,1101.98633,1.06E-02,,1357.0,1.90E-01,,,,,1038.23,0.00E+00,,1038.23,3.49E-03
,617.3839,2.59E-02,,357.784798,0.00E+00,,357.784798,0.00E+00,,616.52192,1.74E-04,,357.784798,0.00E+00,,619.33916,2.13E-04,,617.3839,1.99E-02,,357.7848,0.00E+00,,851.35,1.24E-03,,982.38,3.63E-01,,697.304,3.47E-03,,1102.13513,1.06E-02,,1358.0,1.80E-01,,,,,1038.28,0.00E+00,,1038.28,3.48E-03
,617.54363,1.78E-02,,357.9993599,0.00E+00,,357.9993599,0.00E+00,,616.68207,2.61E-04,,357.9993599,0.00E+00,,619.49855,1.26E-04,,617.54363,2.05E-02,,357.99936,0.00E+00,,851.42,1.80E-03,,982.62,3.66E-01,,697.453,4.79E-03,,1102.28394,1.07E-02,,1359.0,1.75E-01,,,,,1038.34,0.00E+00,,1038.33,3.48E-03
,617.70337,3.00E-02,,358.2139375,0.00E+00,,358.2139375,0.00E+00,,616.84223,6.96E-04,,358.2139375,0.00E+00,,619.65795,3.33E-04,,617.70337,1.96E-02,,358.21394,0.00E+00,,851.50,1.91E-03,,982.86,3.66E-01,,697.602,3.81E-03,,1102.43274,1.08E-02,,1360.0,1.68E-01,,,,,1038.39,0.00E+00,,1038.38,3.49E-03
,617.86312,1.83E-02,,358.428531,0.00E+00,,358.428531,0.00E+00,,617.0024,0.00E+00,,358.428531,0.00E+00,,619.81737,1.32E-04,,617.86312,2.08E-02,,358.42853,0.00E+00,,851.57,1.66E-03,,983.10,3.67E-01,,697.751,4.07E-03,,1102.58154,1.10E-02,,1361.0,1.42E-01,,,,,1038.44,0.00E+00,,1038.44,3.52E-03
,618.02288,3.01E-02,,358.6431402,0.00E+00,,358.6431402,0.00E+00,,617.16257,1.74E-04,,358.6431402,0.00E+00,,619.97678,3.18E-04,,618.02288,2.00E-02,,358.64314,0.00E+00,,851.64,1.81E-03,,983.35,3.70E-01,,697.900,4.66E-03,,1102.73047,1.11E-02,,1362.0,1.54E-01,,,,,1038.50,0.00E+00,,1038.49,3.57E-03
,618.18264,1.88E-02,,358.8577652,0.00E+00,,358.8577652,0.00E+00,,617.32275,7.83E-04,,358.8577652,0.00E+00,,620.13621,1.46E-04,,618.18264,2.11E-02,,358.85777,0.00E+00,,851.71,1.26E-03,,983.59,3.73E-01,,698.049,4.62E-03,,1102.87940,1.12E-02,,1363.0,1.38E-01,,,,,1038.55,0.00E+00,,1038.54,3.62E-03
,618.34241,3.34E-02,,359.0724059,0.00E+00,,359.0724059,0.00E+00,,617.48294,0.00E+00,,359.0724059,0.00E+00,,620.29565,2.14E-04,,618.34241,2.03E-02,,359.07241,0.00E+00,,851.79,1.88E-03,,983.83,3.76E-01,,698.199,4.73E-03,,1103.02844,1.12E-02,,1364.0,1.39E-01,,,,,1038.60,0.00E+00,,1038.59,3.68E-03
,618.50219,1.91E-02,,359.2870624,0.00E+00,,359.2870624,0.00E+00,,617.64313,0.00E+00,,359.2870624,0.00E+00,,620.4551,2.85E-04,,618.50219,2.14E-02,,359.28706,0.00E+00,,851.86,1.71E-03,,984.08,3.77E-01,,698.348,5.37E-03,,1103.17749,1.11E-02,,1365.0,1.27E-01,,,,,1038.65,0.00E+00,,1038.65,3.74E-03
,618.66197,2.38E-02,,359.5017346,0.00E+00,,359.5017346,0.00E+00,,617.80333,0.00E+00,,359.5017346,0.00E+00,,620.61455,1.58E-04,,618.66197,2.03E-02,,359.50173,0.00E+00,,851.93,2.49E-03,,984.32,3.78E-01,,698.497,5.88E-03,,1103.32654,1.09E-02,,1366.0,1.23E-01,,,,,1038.71,0.00E+00,,1038.70,3.79E-03
,618.82176,2.58E-02,,359.7164226,0.00E+00,,359.7164226,0.00E+00,,617.96353,2.61E-04,,359.7164226,0.00E+00,,620.77401,2.75E-04,,618.82176,2.16E-02,,359.71642,0.00E+00,,852.00,2.58E-03,,984.56,3.81E-01,,698.647,3.94E-03,,1103.47559,1.06E-02,,1367.0,1.16E-01,,,,,1038.76,0.00E+00,,1038.75,3.83E-03
,618.98156,2.25E-02,,359.9311263,0.00E+00,,359.9311263,0.00E+00,,618.12374,0.00E+00,,359.9311263,0.00E+00,,620.93348,2.51E-04,,618.98156,2.01E-02,,359.93113,0.00E+00,,852.07,2.52E-03,,984.81,3.85E-01,,698.796,2.33E-03,,1103.62476,1.03E-02,,1368.0,1.07E-01,,,,,1038.81,0.00E+00,,1038.81,3.84E-03
,619.14137,1.68E-02,,360.1458458,0.00E+00,,360.1458458,0.00E+00,,618.28396,7.83E-04,,360.1458458,0.00E+00,,621.09296,1.93E-04,,619.14137,2.05E-02,,360.14585,0.00E+00,,852.15,2.28E-03,,985.05,3.86E-01,,698.946,5.09E-03,,1103.77393,1.00E-02,,1369.0,1.06E-01,,,,,1038.87,0.00E+00,,1038.86,3.84E-03
,619.30118,1.66E-02,,360.360581,0.00E+00,,360.360581,0.00E+00,,618.44418,0.00E+00,,360.360581,0.00E+00,,621.25245,3.32E-04,,619.30118,1.87E-02,,360.36058,0.00E+00,,852.22,2.09E-03,,985.30,3.90E-01,,699.095,3.77E-03,,1103.92322,9.74E-03,,1370.0,9.61E-02,,,,,1038.92,0.00E+00,,1038.91,3.82E-03
,619.461,2.46E-02,,360.5753319,0.00E+00,,360.5753319,0.00E+00,,618.60441,7.83E-04,,360.5753319,0.00E+00,,621.41195,1.78E-04,,619.461,2.00E-02,,360.57533,0.00E+00,,852.29,1.98E-03,,985.54,3.90E-01,,699.245,4.83E-03,,1104.07251,9.49E-03,,1371.0,9.33E-02,,,,,1038.97,0.00E+00,,1038.96,3.79E-03
,619.62083,2.59E-02,,360.7900986,0.00E+00,,360.7900986,0.00E+00,,618.76465,1.74E-04,,360.7900986,0.00E+00,,621.57145,2.87E-04,,619.62083,2.05E-02,,360.7901,0.00E+00,,852.36,1.87E-03,,985.78,3.93E-01,,699.395,3.97E-03,,1104.22180,9.26E-03,,1372.0,8.91E-02,,,,,1039.02,0.00E+00,,1039.02,3.74E-03
,619.78066,1.66E-02,,361.004881,0.00E+00,,361.004881,0.00E+00,,618.92489,2.61E-04,,361.004881,0.00E+00,,621.73097,2.74E-04,,619.78066,2.19E-02,,361.00488,0.00E+00,,852.44,1.77E-03,,986.03,3.95E-01,,699.545,2.00E-03,,1104.37109,9.05E-03,,1373.0,8.75E-02,,,,,1039.08,0.00E+00,,1039.07,3.68E-03
,619.9405,1.46E-02,,361.2196791,0.00E+00,,361.2196791,0.00E+00,,619.08514,0.00E+00,,361.2196791,0.00E+00,,621.89049,2.34E-04,,619.9405,2.10E-02,,361.21968,0.00E+00,,852.51,1.43E-03,,986.27,3.96E-01,,699.695,3.54E-03,,1104.52051,8.86E-03,,1374.0,8.22E-02,,,,,1039.13,0.00E+00,,1039.12,3.62E-03
,620.10035,2.48E-02,,361.4344929,0.00E+00,,361.4344929,0.00E+00,,619.2454,1.30E-03,,361.4344929,0.00E+00,,622.05002,2.91E-04,,620.10035,2.12E-02,,361.43449,0.00E+00,,852.58,1.58E-03,,986.51,3.98E-01,,699.844,4.64E-03,,1104.66992,8.70E-03,,1375.0,7.28E-02,,,,,1039.18,0.00E+00,,1039.18,3.58E-03
,620.26021,2.33E-02,,361.6493224,0.00E+00,,361.6493224,0.00E+00,,619.40566,1.74E-04,,361.6493224,0.00E+00,,622.20956,2.30E-04,,620.26021,1.97E-02,,361.64932,0.00E+00,,852.65,1.67E-03,,986.76,4.00E-01,,699.995,3.30E-03,,1104.81946,8.58E-03,,1376.0,7.21E-02,,,,,1039.24,0.00E+00,,1039.23,3.55E-03
,620.42007,2.57E-02,,361.8641676,0.00E+00,,361.8641676,0.00E+00,,619.56592,2.61E-04,,361.8641676,0.00E+00,,622.36911,2.14E-04,,620.42007,1.97E-02,,361.86417,0.00E+00,,852.72,1.56E-03,,987.00,4.02E-01,,700.145,3.01E-03,,1104.96899,8.51E-03,,1377.0,6.87E-02,,,,,1039.29,0.00E+00,,1039.28,3.55E-03
,620.57994,2.49E-02,,362.0790286,0.00E+00,,362.0790286,0.00E+00,,619.7262,0.00E+00,,362.0790286,0.00E+00,,622.52866,2.76E-04,,620.57994,1.84E-02,,362.07903,0.00E+00,,852.80,1.25E-03,,987.24,4.04E-01,,700.295,5.10E-03,,1105.11853,8.51E-03,,1378.0,6.83E-02,,,,,1039.34,0.00E+00,,1039.34,3.56E-03
,620.73981,2.24E-02,,362.2939052,0.00E+00,,362.2939052,0.00E+00,,619.88648,2.61E-04,,362.2939052,0.00E+00,,622.68823,2.65E-04,,620.73981,1.92E-02,,362.29391,0.00E+00,,852.87,1.89E-03,,987.49,4.07E-01,,700.445,3.32E-03,,1105.26807,8.57E-03,,1379.0,5.28E-02,,,,,1039.39,0.00E+00,,1039.39,3.60E-03
,620.8997,2.38E-02,,362.5087975,0.00E+00,,362.5087975,0.00E+00,,620.04676,1.74E-04,,362.5087975,0.00E+00,,622.8478,2.39E-04,,620.8997,1.85E-02,,362.5088,0.00E+00,,852.94,2.32E-03,,987.73,4.09E-01,,700.595,3.36E-03,,1105.41773,8.68E-03,,1380.0,5.96E-02,,,,,1039.45,0.00E+00,,1039.44,3.65E-03
,621.05959,2.41E-02,,362.7237055,0.00E+00,,362.7237055,0.00E+00,,620.20705,2.61E-04,,362.7237055,0.00E+00,,623.00738,2.64E-04,,621.05959,1.95E-02,,362.72371,0.00E+00,,853.01,2.57E-03,,987.97,4.11E-01,,700.745,3.63E-03,,1105.56738,8.84E-03,,1381.0,5.33E-02,,,,,1039.50,0.00E+00,,1039.49,3.70E-03
,621.21948,2.82E-02,,362.9386292,0.00E+00,,362.9386292,0.00E+00,,620.36735,0.00E+00,,362.9386292,0.00E+00,,623.16697,1.91E-04,,621.21948,1.88E-02,,362.93863,0.00E+00,,853.09,2.05E-03,,988.22,4.14E-01,,700.896,3.97E-03,,1105.71716,9.02E-03,,1382.0,5.68E-02,,,,,1039.55,0.00E+00,,1039.55,3.74E-03
,621.37939,2.12E-02,,363.1535686,0.00E+00,,363.1535686,0.00E+00,,620.52765,2.61E-04,,363.1535686,0.00E+00,,623.32657,2.37E-04,,621.37939,2.03E-02,,363.15357,0.00E+00,,853.16,1.48E-03,,988.46,4.15E-01,,701.046,5.10E-03,,1105.86694,9.23E-03,,1383.0,4.97E-02,,,,,1039.61,0.00E+00,,1039.60,3.77E-03
,621.5393,3.13E-02,,363.3685237,0.00E+00,,363.3685237,0.00E+00,,620.68797,0.00E+00,,363.3685237,0.00E+00,,623.48618,2.68E-04,,621.5393,1.95E-02,,363.36852,0.00E+00,,853.23,2.37E-03,,988.70,4.19E-01,,701.197,4.46E-03,,1106.01672,9.46E-03,,1384.0,5.17E-02,,,,,1039.66,0.00E+00,,1039.65,3.78E-03
,621.69922,2.10E-02,,363.5834944,0.00E+00,,363.5834944,0.00E+00,,620.84828,7.83E-04,,363.5834944,0.00E+00,,623.64579,2.42E-04,,621.69922,2.07E-02,,363.58349,0.00E+00,,853.30,2.58E-03,,988.95,4.21E-01,,701.347,3.93E-03,,1106.16650,9.72E-03,,1385.0,5.13E-02,,,,,1039.71,0.00E+00,,1039.71,3.77E-03
,621.85914,2.61E-02,,363.7984808,0.00E+00,,363.7984808,0.00E+00,,621.0086,0.00E+00,,363.7984808,0.00E+00,,623.80542,2.40E-04,,621.85914,1.89E-02,,363.79848,0.00E+00,,853.38,2.14E-03,,989.19,4.26E-01,,701.498,2.58E-03,,1106.31641,1.00E-02,,1386.0,4.54E-02,,,,,1039.77,0.00E+00,,1039.76,3.74E-03
,622.01908,2.27E-02,,364.0134829,0.00E+00,,364.0134829,0.00E+00,,621.16893,7.83E-04,,364.0134829,0.00E+00,,623.96505,2.46E-04,,622.01908,2.00E-02,,364.01348,0.00E+00,,853.45,1.83E-03,,989.43,4.27E-01,,701.649,3.97E-03,,1106.46631,1.04E-02,,1387.0,4.21E-02,,,,,1039.82,0.00E+00,,1039.81,3.70E-03
,622.17902,2.48E-02,,364.2285006,0.00E+00,,364.2285006,0.00E+00,,621.32927,1.74E-04,,364.2285006,0.00E+00,,624.12469,1.99E-04,,622.17902,1.95E-02,,364.2285,0.00E+00,,853.52,1.75E-03,,989.68,4.30E-01,,701.799,1.96E-03,,1106.61633,1.08E-02,,1388.0,4.13E-02,,,,,1039.87,0.00E+00,,1039.86,3.64E-03
,622.33896,2.35E-02,,364.443534,0.00E+00,,364.443534,0.00E+00,,621.48961,1.30E-03,,364.443534,0.00E+00,,624.28434,2.50E-04,,622.33896,2.14E-02,,364.44353,0.00E+00,,853.59,1.95E-03,,989.92,4.33E-01,,701.950,3.72E-03,,1106.76636,1.12E-02,,1389.0,3.80E-02,,,,,1039.92,0.00E+00,,1039.92,3.58E-03
,622.49892,2.62E-02,,364.6585831,0.00E+00,,364.6585831,0.00E+00,,621.64996,1.74E-04,,364.6585831,0.00E+00,,624.444,2.31E-04,,622.49892,2.03E-02,,364.65858,0.00E+00,,853.67,2.80E-03,,990.16,4.37E-01,,702.101,3.48E-03,,1106.91638,1.15E-02,,1390.0,3.51E-02,,,,,1039.98,0.00E+00,,1039.97,3.53E-03
,622.65888,2.09E-02,,364.8736478,0.00E+00,,364.8736478,0.00E+00,,621.81031,2.61E-04,,364.8736478,0.00E+00,,624.60366,2.13E-04,,622.65888,2.12E-02,,364.87365,0.00E+00,,853.74,2.37E-03,,990.41,4.40E-01,,702.252,2.27E-03,,1107.06641,1.17E-02,,1391.0,3.07E-02,,,,,1040.03,0.00E+00,,1040.02,3.48E-03
,622.81884,2.12E-02,,365.0887281,0.00E+00,,365.0887281,0.00E+00,,621.97067,0.00E+00,,365.0887281,0.00E+00,,624.76334,2.79E-04,,622.81884,1.93E-02,,365.08873,0.00E+00,,853.81,1.95E-03,,990.65,4.40E-01,,702.403,2.84E-03,,1107.21655,1.19E-02,,1392.0,3.54E-02,,,,,1040.08,0.00E+00,,1040.08,3.45E-03
