LED Item #,M415LP1,,,M415L4,,,M430L5,,,M450LP2,,,M455L4,,,M470L5,,,M490L4,,,M505L4,,,M530L4,,,MINTL5,,,M565L3,,,M590L4,,,M595L4,,,M617L3,,,M625L4,,,M660L4,,,M680L4,,,M700L4,,,M730L5,
Min Output Power (mW),1640,,,1310,,,529.2,,,2118.1,,,1150,,,809,,,205,,,400,,,370,,,650,,,880,,,230,,,820,,,600,,,700,,,940,,,180,,,80,,,540,
Scaling Constant,1.01E+02,,,8.09E+01,,,2.48E+01,,,9.19E+01,,,5.06E+01,,,2.63E+01,,,6.66E+00,,,9.67E+00,,,8.95E+00,,,4.83E+00,,,7.89E+00,,,1.17E+01,,,9.82E+00,,,3.25E+01,,,2.99E+01,,,3.68E+01,,,6.83E+00,,,3.30E+00,,,1.22E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,201.78925,0.00E+00,,201.8626,0.00E+00,,197.9695403,0.00E+00,,201.58,0.00E+00,,201.9,0.00E+00,,201.9,0.00E+00,,201.8625979,0.00E+00,,201.8626,0.00E+00,,201.86259,0.00E+00,,359,0.00E+00,,201.7892459,0.00E+00,,201.9,0.00E+00,,201.8625946,2.77E-03,,321.12658,2.42E-04,,201.86259,0.00E+00,,201.78925,0.00E+00,,201.8625979,0.00E+00,,201.8625979,0.00E+00,,201.9,0.00E+00
,201.99087,0.00E+00,,202.06546,0.00E+00,,198.1774335,0.00E+00,,201.78,0.00E+00,,202.1,0.00E+00,,202.1,0.00E+00,,202.065464,0.00E+00,,202.06546,0.00E+00,,202.06546,2.62E-04,,360,0.00E+00,,201.9908715,0.00E+00,,202.1,0.00E+00,,202.0654602,6.58E-03,,321.23532,2.64E-04,,202.06546,1.86E-02,,201.99087,0.00E+00,,202.065464,0.00E+00,,202.065464,0.00E+00,,202.1,0.00E+00
,202.19252,0.00E+00,,202.26835,0.00E+00,,198.3853378,0.00E+00,,201.98,0.00E+00,,202.3,0.00E+00,,202.3,0.00E+00,,202.2683471,0.00E+00,,202.26835,0.00E+00,,202.26834,0.00E+00,,361,0.00E+00,,202.1925159,0.00E+00,,202.3,0.00E+00,,202.2683411,8.20E-04,,321.34407,2.44E-04,,202.26834,0.00E+00,,202.19252,0.00E+00,,202.2683471,0.00E+00,,202.2683471,0.00E+00,,202.3,0.00E+00
,202.39418,0.00E+00,,202.47125,0.00E+00,,198.5932533,0.00E+00,,202.18,0.00E+00,,202.5,0.00E+00,,202.5,0.00E+00,,202.4712474,0.00E+00,,202.47125,0.00E+00,,202.47125,1.39E-04,,362,0.00E+00,,202.394179,0.00E+00,,202.5,0.00E+00,,202.4712524,5.66E-03,,321.45283,2.41E-04,,202.47125,8.08E-03,,202.39418,0.00E+00,,202.4712474,0.00E+00,,202.4712474,0.00E+00,,202.5,0.00E+00
,202.59586,0.00E+00,,202.67416,0.00E+00,,198.8011799,0.00E+00,,202.38,0.00E+00,,202.7,0.00E+00,,202.7,0.00E+00,,202.6741647,0.00E+00,,202.67416,0.00E+00,,202.67416,0.00E+00,,363,0.00E+00,,202.5958608,0.00E+00,,202.7,0.00E+00,,202.6741638,-2.50E-03,,321.56159,2.29E-04,,202.67416,0.00E+00,,202.59586,0.00E+00,,202.6741647,0.00E+00,,202.6741647,0.00E+00,,202.7,0.00E+00
,202.79756,0.00E+00,,202.8771,0.00E+00,,199.0091176,0.00E+00,,202.58,0.00E+00,,202.9,0.00E+00,,202.9,0.00E+00,,202.8770992,0.00E+00,,202.8771,0.00E+00,,202.87711,1.77E-04,,364,0.00E+00,,202.7975615,0.00E+00,,202.9,0.00E+00,,202.8771057,5.13E-03,,321.67036,2.81E-04,,202.87711,1.49E-02,,202.79756,0.00E+00,,202.8770992,0.00E+00,,202.8770992,0.00E+00,,202.9,0.00E+00
,202.99928,0.00E+00,,203.08005,0.00E+00,,199.2170665,0.00E+00,,202.79,0.00E+00,,203.1,0.00E+00,,203.1,0.00E+00,,203.0800507,0.00E+00,,203.08005,0.00E+00,,203.08005,0.00E+00,,365,0.00E+00,,202.9992808,0.00E+00,,203.1,0.00E+00,,203.0800476,-9.95E-04,,321.77913,3.03E-04,,203.08005,0.00E+00,,202.99928,0.00E+00,,203.0800507,0.00E+00,,203.0800507,0.00E+00,,203.1,0.00E+00
,203.20102,0.00E+00,,203.28302,0.00E+00,,199.4250264,0.00E+00,,202.99,0.00E+00,,203.3,0.00E+00,,203.3,0.00E+00,,203.2830193,0.00E+00,,203.28302,0.00E+00,,203.28302,1.04E-04,,366,0.00E+00,,203.2010189,0.00E+00,,203.3,0.00E+00,,203.28302,4.76E-03,,321.88791,3.34E-04,,203.28302,1.02E-02,,203.20102,0.00E+00,,203.2830193,0.00E+00,,203.2830193,0.00E+00,,203.3,0.00E+00
,203.40278,0.00E+00,,203.48601,0.00E+00,,199.6329975,0.00E+00,,203.19,0.00E+00,,203.5,0.00E+00,,203.5,0.00E+00,,203.486005,0.00E+00,,203.486,0.00E+00,,203.48601,0.00E+00,,367,0.00E+00,,203.4027758,0.00E+00,,203.5,0.00E+00,,203.4860077,-1.35E-03,,321.9967,3.27E-04,,203.48601,0.00E+00,,203.40278,0.00E+00,,203.486005,0.00E+00,,203.486005,0.00E+00,,203.5,0.00E+00
,203.60455,0.00E+00,,203.68901,0.00E+00,,199.8409797,0.00E+00,,203.39,0.00E+00,,203.7,0.00E+00,,203.7,0.00E+00,,203.6890077,0.00E+00,,203.68901,0.00E+00,,203.68901,1.61E-04,,368,0.00E+00,,203.6045514,0.00E+00,,203.7,0.00E+00,,203.6890106,8.66E-03,,322.10549,3.32E-04,,203.68901,1.30E-02,,203.60455,0.00E+00,,203.6890077,0.00E+00,,203.6890077,0.00E+00,,203.7,0.00E+00
,203.80635,0.00E+00,,203.89203,0.00E+00,,200.048973,0.00E+00,,203.59,0.00E+00,,203.9,0.00E+00,,203.9,0.00E+00,,203.8920275,0.00E+00,,203.89203,0.00E+00,,203.89203,0.00E+00,,369,0.00E+00,,203.8063457,0.00E+00,,203.9,0.00E+00,,203.8920288,-3.72E-03,,322.21429,3.46E-04,,203.89203,0.00E+00,,203.80635,0.00E+00,,203.8920275,0.00E+00,,203.8920275,0.00E+00,,203.9,0.00E+00
,204.00816,0.00E+00,,204.09506,0.00E+00,,200.2569774,0.00E+00,,203.8,0.00E+00,,204.1,0.00E+00,,204.1,0.00E+00,,204.0950644,0.00E+00,,204.09506,0.00E+00,,204.09506,1.65E-04,,370,0.00E+00,,204.0081587,0.00E+00,,204.1,0.00E+00,,204.0950623,1.36E-02,,322.32309,3.17E-04,,204.09506,1.38E-02,,204.00816,0.00E+00,,204.0950644,0.00E+00,,204.0950644,0.00E+00,,204.1,0.00E+00
,204.20999,0.00E+00,,204.29812,0.00E+00,,200.464993,0.00E+00,,204,0.00E+00,,204.3,0.00E+00,,204.3,0.00E+00,,204.2981183,0.00E+00,,204.29812,0.00E+00,,204.29811,0.00E+00,,371,0.00E+00,,204.2099905,0.00E+00,,204.3,0.00E+00,,204.298111,4.90E-04,,322.4319,3.26E-04,,204.29811,0.00E+00,,204.20999,0.00E+00,,204.2981183,0.00E+00,,204.2981183,0.00E+00,,204.3,0.00E+00
,204.41184,0.00E+00,,204.50119,0.00E+00,,200.6730196,0.00E+00,,204.2,0.00E+00,,204.5,0.00E+00,,204.5,0.00E+00,,204.5011894,0.00E+00,,204.50119,0.00E+00,,204.50119,9.70E-05,,372,0.00E+00,,204.411841,0.00E+00,,204.5,0.00E+00,,204.5011902,4.87E-03,,322.54072,2.99E-04,,204.50119,7.61E-03,,204.41184,0.00E+00,,204.5011894,0.00E+00,,204.5011894,0.00E+00,,204.5,0.00E+00
,204.61371,0.00E+00,,204.70428,0.00E+00,,200.8810574,0.00E+00,,204.4,0.00E+00,,204.7,0.00E+00,,204.7,0.00E+00,,204.7042774,0.00E+00,,204.70428,0.00E+00,,204.70428,0.00E+00,,373,0.00E+00,,204.6137102,0.00E+00,,204.7,0.00E+00,,204.7042847,3.39E-04,,322.64954,3.17E-04,,204.70428,0.00E+00,,204.61371,0.00E+00,,204.7042774,0.00E+00,,204.7042774,0.00E+00,,204.7,0.00E+00
,204.8156,0.00E+00,,204.90738,0.00E+00,,201.0891063,0.00E+00,,204.6,0.00E+00,,204.9,0.00E+00,,204.9,0.00E+00,,204.9073825,0.00E+00,,204.90738,0.00E+00,,204.90738,2.56E-04,,374,0.00E+00,,204.8155981,0.00E+00,,204.9,0.00E+00,,204.9073792,1.88E-03,,322.75837,3.18E-04,,204.90738,1.40E-02,,204.8156,0.00E+00,,204.9073825,0.00E+00,,204.9073825,0.00E+00,,204.9,0.00E+00
,205.0175,0.00E+00,,205.1105,0.00E+00,,201.2971663,0.00E+00,,204.81,0.00E+00,,205.1,0.00E+00,,205.1,0.00E+00,,205.1105047,0.00E+00,,205.1105,0.00E+00,,205.1105,0.00E+00,,375,0.00E+00,,205.0175048,0.00E+00,,205.1,0.00E+00,,205.1105042,2.23E-03,,322.86721,2.89E-04,,205.1105,0.00E+00,,205.0175,0.00E+00,,205.1105047,0.00E+00,,205.1105047,0.00E+00,,205.1,0.00E+00
,205.21943,0.00E+00,,205.31364,0.00E+00,,201.5052375,0.00E+00,,205.01,0.00E+00,,205.3,0.00E+00,,205.3,0.00E+00,,205.3136439,0.00E+00,,205.31364,0.00E+00,,205.31364,1.41E-04,,376,0.00E+00,,205.2194301,0.00E+00,,205.3,0.00E+00,,205.3136444,7.11E-03,,322.97605,2.72E-04,,205.31364,7.94E-03,,205.21943,0.00E+00,,205.3136439,0.00E+00,,205.3136439,0.00E+00,,205.3,0.00E+00
,205.42137,0.00E+00,,205.5168,0.00E+00,,201.7133197,0.00E+00,,205.21,0.00E+00,,205.5,0.00E+00,,205.5,0.00E+00,,205.5168002,0.00E+00,,205.5168,0.00E+00,,205.5168,0.00E+00,,377,0.00E+00,,205.4213742,0.00E+00,,205.5,0.00E+00,,205.5167999,-2.67E-04,,323.0849,2.29E-04,,205.5168,0.00E+00,,205.42137,0.00E+00,,205.5168002,0.00E+00,,205.5168002,0.00E+00,,205.5,0.00E+00
,205.62334,0.00E+00,,205.71997,0.00E+00,,201.921413,0.00E+00,,205.41,0.00E+00,,205.7,0.00E+00,,205.7,0.00E+00,,205.7199735,0.00E+00,,205.71997,0.00E+00,,205.71997,1.08E-04,,378,0.00E+00,,205.6233369,0.00E+00,,205.7,0.00E+00,,205.7199707,1.38E-02,,323.19376,2.05E-04,,205.71997,1.11E-02,,205.62334,0.00E+00,,205.7199735,0.00E+00,,205.7199735,0.00E+00,,205.7,0.00E+00
,205.82532,0.00E+00,,205.92316,0.00E+00,,202.1295175,0.00E+00,,205.61,0.00E+00,,205.9,0.00E+00,,205.9,0.00E+00,,205.9231638,0.00E+00,,205.92316,0.00E+00,,205.92316,0.00E+00,,379,0.00E+00,,205.8253183,0.00E+00,,205.9,0.00E+00,,205.9231567,-2.23E-03,,323.30262,1.94E-04,,205.92316,0.00E+00,,205.82532,0.00E+00,,205.9231638,0.00E+00,,205.9231638,0.00E+00,,205.9,0.00E+00
,206.02732,0.00E+00,,206.12637,0.00E+00,,202.3376331,0.00E+00,,205.82,0.00E+00,,206.1,0.00E+00,,206.1,0.00E+00,,206.1263712,0.00E+00,,206.12637,0.00E+00,,206.12637,2.24E-04,,380,0.00E+00,,206.0273184,0.00E+00,,206.1,0.00E+00,,206.1263733,2.75E-03,,323.41148,2.26E-04,,206.12637,1.12E-02,,206.02732,0.00E+00,,206.1263712,0.00E+00,,206.1263712,0.00E+00,,206.1,0.00E+00
,206.22934,0.00E+00,,206.3296,0.00E+00,,202.5457597,0.00E+00,,206.02,0.00E+00,,206.3,0.00E+00,,206.3,0.00E+00,,206.3295956,0.00E+00,,206.3296,0.00E+00,,206.32959,0.00E+00,,381,0.00E+00,,206.2293372,0.00E+00,,206.3,0.00E+00,,206.3295898,-1.20E-03,,323.52036,2.82E-04,,206.32959,0.00E+00,,206.22934,0.00E+00,,206.3295956,0.00E+00,,206.3295956,0.00E+00,,206.3,0.00E+00
,206.43137,0.00E+00,,206.53284,0.00E+00,,202.7538975,0.00E+00,,206.22,0.00E+00,,206.5,0.00E+00,,206.5,0.00E+00,,206.532837,0.00E+00,,206.53284,0.00E+00,,206.53284,9.54E-05,,382,0.00E+00,,206.4313747,0.00E+00,,206.5,0.00E+00,,206.5328369,1.62E-03,,323.62924,2.88E-04,,206.53284,1.03E-02,,206.43137,0.00E+00,,206.532837,0.00E+00,,206.532837,0.00E+00,,206.5,0.00E+00
,206.63343,0.00E+00,,206.7361,0.00E+00,,202.9620464,0.00E+00,,206.42,0.00E+00,,206.7,0.00E+00,,206.7,0.00E+00,,206.7360955,0.00E+00,,206.7361,0.00E+00,,206.7361,0.00E+00,,383,0.00E+00,,206.6334309,0.00E+00,,206.7,0.00E+00,,206.7360992,4.61E-03,,323.73812,2.57E-04,,206.7361,0.00E+00,,206.63343,0.00E+00,,206.7360955,0.00E+00,,206.7360955,0.00E+00,,206.7,0.00E+00
,206.83551,0.00E+00,,206.93937,0.00E+00,,203.1702064,0.00E+00,,206.62,0.00E+00,,206.9,0.00E+00,,206.9,0.00E+00,,206.939371,0.00E+00,,206.93937,0.00E+00,,206.93938,1.51E-04,,384,0.00E+00,,206.8355057,0.00E+00,,206.9,0.00E+00,,206.9393768,2.52E-03,,323.84701,2.52E-04,,206.93938,8.45E-03,,206.83551,0.00E+00,,206.939371,0.00E+00,,206.939371,0.00E+00,,206.9,0.00E+00
,207.0376,0.00E+00,,207.14266,0.00E+00,,203.3783775,0.00E+00,,206.83,0.00E+00,,207.1,0.00E+00,,207.1,0.00E+00,,207.1426635,0.00E+00,,207.14266,0.00E+00,,207.14267,0.00E+00,,385,0.00E+00,,207.0375992,0.00E+00,,207.1,0.00E+00,,207.1426697,-2.89E-03,,323.95591,2.86E-04,,207.14267,0.00E+00,,207.0376,0.00E+00,,207.1426635,0.00E+00,,207.1426635,0.00E+00,,207.1,0.00E+00
