LED Item #,M415LP1,,,M415L4,,,M430L5,,,M450LP2,,,M455L4,,,M470L5,,,M490L4,,,M505L4,,,M530L4,,,MINTL5,,,M565L3,,,M590L4,,,M595L4,,,M617L3,,,M625L4,,,M660L4,,,M680L4,,,M700L4,,,M730L5,
Min Output Power (mW),1640,,,1310,,,529.2,,,2118.1,,,1150,,,809,,,205,,,400,,,370,,,650,,,880,,,230,,,820,,,600,,,700,,,940,,,180,,,80,,,540,
Scaling Constant,1.01E+02,,,8.09E+01,,,2.48E+01,,,9.19E+01,,,5.06E+01,,,2.63E+01,,,6.66E+00,,,9.67E+00,,,8.95E+00,,,4.83E+00,,,7.89E+00,,,1.17E+01,,,9.82E+00,,,3.25E+01,,,2.99E+01,,,3.68E+01,,,6.83E+00,,,3.30E+00,,,1.22E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,578.64921,-4.08E-04,,579.1189,-3.26E-04,,576.974769,2.18E-02,,573.46,0.00E+00,,579.1,5.97E-03,,579.1,2.25E-02,,579.1188981,1.08E-02,,579.1189,5.18E-02,,579.1189,2.68E-01,,,,,578.6492118,6.45E+00,,579.1,1.63E+00,,579.1188965,4.79E+00,,518.99154,9.94E-04,,579.1189,7.42E-02,,578.64921,1.74E-03,,579.1188981,-4.30E-03,,579.1188981,-2.84E-03,,579.1,-7.02E-03
,578.87751,6.35E-02,,579.34685,5.07E-02,,577.2008764,1.96E-02,,573.68,0.00E+00,,579.3,4.10E-02,,579.3,5.69E-02,,579.3468492,1.30E-02,,579.34685,5.59E-02,,579.34686,2.71E-01,,,,,578.8775064,6.43E+00,,579.3,1.70E+00,,579.3468628,4.85E+00,,519.10879,4.74E-04,,579.34686,1.04E-01,,578.87751,1.88E-02,,579.3468492,1.83E-03,,579.3468492,5.97E-04,,579.3,5.85E-03
,579.10581,3.84E-03,,579.57481,3.07E-03,,577.4269936,1.40E-02,,573.9,0.00E+00,,579.6,1.20E-02,,579.6,4.22E-02,,579.574812,8.87E-03,,579.57481,4.68E-02,,579.57483,2.61E-01,,,,,579.1058128,6.44E+00,,579.6,1.73E+00,,579.5748291,4.89E+00,,519.22606,9.41E-04,,579.57483,8.95E-02,,579.10581,1.01E-02,,579.574812,-2.99E-03,,579.574812,-2.53E-03,,579.6,-5.90E-03
,579.33413,6.75E-02,,579.80279,5.39E-02,,577.6531205,2.65E-02,,574.13,2.35E-01,,579.8,5.70E-02,,579.8,6.01E-02,,579.8027864,1.46E-02,,579.80279,5.51E-02,,579.8028,2.59E-01,,,,,579.334131,6.42E+00,,579.8,1.78E+00,,579.8027954,4.90E+00,,519.34332,4.84E-04,,579.8028,1.09E-01,,579.33413,2.71E-02,,579.8027864,1.30E-03,,579.8027864,6.21E-04,,579.8,6.99E-03
,579.56246,-3.18E-02,,580.03077,-2.54E-02,,577.8792572,2.01E-02,,574.35,0.00E+00,,580.0,1.81E-02,,580.0,1.48E-02,,580.0307724,7.92E-03,,580.03077,4.54E-02,,580.03076,2.49E-01,,,,,579.562461,6.39E+00,,580.0,1.81E+00,,580.0307617,4.96E+00,,519.46059,9.29E-04,,580.03076,9.07E-02,,579.56246,-4.24E-03,,580.0307724,-4.86E-03,,580.0307724,-3.15E-03,,580.0,-6.51E-03
,579.7908,9.18E-02,,580.25877,7.34E-02,,578.1054037,3.97E-02,,574.57,0.00E+00,,580.3,4.27E-02,,580.3,6.47E-02,,580.2587701,1.40E-02,,580.25877,5.85E-02,,580.25879,2.54E-01,,,,,579.7908027,6.38E+00,,580.3,1.87E+00,,580.2587891,4.99E+00,,519.57786,5.79E-04,,580.25879,1.18E-01,,579.7908,3.79E-02,,580.2587701,1.90E-03,,580.2587701,1.67E-03,,580.3,9.78E-03
,580.01916,1.08E-01,,580.48678,8.66E-02,,578.3315599,4.32E-02,,574.8,0.00E+00,,580.5,5.08E-02,,580.5,3.35E-02,,580.4867795,1.55E-02,,580.48678,5.29E-02,,580.48676,2.46E-01,,,,,580.0191563,6.32E+00,,580.5,1.97E+00,,580.4867554,5.06E+00,,519.69514,7.04E-04,,580.48676,1.27E-01,,580.01916,3.17E-02,,580.4867795,4.96E-03,,580.4867795,2.65E-03,,580.5,1.04E-02
,580.24752,4.57E-03,,580.7148,3.65E-03,,578.5577258,2.58E-02,,575.02,0.00E+00,,580.7,0.00E+00,,580.7,2.21E-02,,580.7148005,8.93E-03,,580.7148,4.44E-02,,580.71478,2.34E-01,,,,,580.2475216,6.29E+00,,580.7,2.02E+00,,580.7147827,5.11E+00,,519.81242,3.83E-04,,580.71478,9.37E-02,,580.24752,1.09E-02,,580.7148005,-3.26E-03,,580.7148005,-1.85E-03,,580.7,-6.68E-03
,580.4759,9.34E-02,,580.94283,7.46E-02,,578.7839015,2.48E-02,,575.24,0.00E+00,,580.9,4.66E-02,,580.9,5.25E-02,,580.9428331,1.50E-02,,580.94283,5.63E-02,,580.94281,2.39E-01,,,,,580.4758987,6.30E+00,,580.9,2.08E+00,,580.9428101,5.12E+00,,519.9297,3.49E-04,,580.94281,1.31E-01,,580.4759,4.12E-02,,580.9428331,3.88E-03,,580.9428331,2.89E-03,,580.9,5.28E-03
,580.70429,-1.36E-02,,581.17088,-1.08E-02,,579.0100869,1.10E-02,,575.47,0.00E+00,,581.2,1.26E-02,,581.2,3.78E-02,,581.1708773,8.33E-03,,581.17088,4.03E-02,,581.1709,2.27E-01,,,,,580.7042875,6.24E+00,,581.2,2.10E+00,,581.1708984,5.19E+00,,520.04699,3.15E-04,,581.1709,1.11E-01,,580.70429,8.70E-03,,581.1708773,-5.31E-03,,581.1708773,-1.85E-03,,581.2,-3.55E-03
,580.93269,9.10E-02,,581.39893,7.27E-02,,579.236282,3.00E-02,,575.69,0.00E+00,,581.4,1.80E-02,,581.4,6.29E-02,,581.3989332,1.40E-02,,581.39893,5.16E-02,,581.39893,2.30E-01,,,,,580.9326881,6.22E+00,,581.4,2.18E+00,,581.3989258,5.22E+00,,520.16428,2.99E-04,,581.39893,1.41E-01,,580.93269,3.33E-02,,581.3989332,3.85E-03,,581.3989332,1.68E-03,,581.4,1.11E-02
,581.1611,2.18E-02,,581.627,1.75E-02,,579.4624869,2.90E-02,,575.91,0.00E+00,,581.6,9.55E-03,,581.6,1.83E-02,,581.6270007,9.79E-03,,581.627,4.02E-02,,581.62701,2.24E-01,,,,,581.1611005,6.24E+00,,581.6,2.23E+00,,581.6270142,5.26E+00,,520.28158,3.05E-04,,581.62701,1.14E-01,,581.1611,-4.25E-03,,581.6270007,-3.62E-03,,581.6270007,-1.74E-03,,581.6,-1.81E-03
,581.38952,4.65E-02,,581.85508,3.72E-02,,579.6887016,3.97E-02,,576.14,0.00E+00,,581.9,4.89E-02,,581.9,1.59E-02,,581.8550799,1.63E-02,,581.85508,4.94E-02,,581.8551,2.24E-01,,,,,581.3895247,6.22E+00,,581.9,2.31E+00,,581.8551025,5.34E+00,,520.39887,2.82E-04,,581.8551,1.45E-01,,581.38952,4.67E-02,,581.8550799,3.72E-03,,581.8550799,1.21E-04,,581.9,5.84E-03
,581.61796,1.43E-02,,582.08317,1.14E-02,,579.914926,1.32E-03,,576.36,0.00E+00,,582.1,0.00E+00,,582.1,2.03E-02,,582.0831706,8.43E-03,,582.08317,3.58E-02,,582.08319,2.17E-01,,,,,581.6179606,6.21E+00,,582.1,2.35E+00,,582.0831909,5.32E+00,,520.51617,3.03E-04,,582.08319,1.24E-01,,581.61796,-6.29E-03,,582.0831706,-3.27E-03,,582.0831706,-1.54E-03,,582.1,-5.37E-03
,581.84641,1.02E-01,,582.31127,8.17E-02,,580.1411601,2.33E-02,,576.58,0.00E+00,,582.3,4.00E-02,,582.3,4.70E-02,,582.311273,1.63E-02,,582.31127,4.79E-02,,582.31128,2.18E-01,,,,,581.8464082,6.21E+00,,582.3,2.43E+00,,582.3112793,5.41E+00,,520.63348,3.01E-04,,582.31128,1.48E-01,,581.84641,4.60E-02,,582.311273,3.37E-03,,582.311273,1.31E-03,,582.3,7.93E-03
,582.07487,-5.39E-02,,582.53939,-4.31E-02,,580.367404,1.73E-02,,576.81,0.00E+00,,582.5,2.12E-04,,582.5,1.93E-02,,582.5393869,5.68E-03,,582.53939,3.52E-02,,582.53937,2.06E-01,,,,,582.0748676,6.22E+00,,582.5,2.48E+00,,582.5393677,5.45E+00,,520.75079,3.42E-04,,582.53937,1.34E-01,,582.07487,1.67E-04,,582.5393869,-6.38E-03,,582.5393869,-2.96E-03,,582.5,-3.70E-03
,582.30334,1.03E-01,,582.76751,8.26E-02,,580.5936576,3.10E-02,,577.03,0.00E+00,,582.8,2.92E-02,,582.8,4.42E-02,,582.7675125,1.49E-02,,582.76751,4.54E-02,,582.76752,2.12E-01,,,,,582.3033387,6.19E+00,,582.8,2.55E+00,,582.7675171,5.48E+00,,520.8681,2.95E-04,,582.76752,1.60E-01,,582.30334,4.23E-02,,582.7675125,4.49E-03,,582.7675125,1.19E-03,,582.8,9.76E-03
,582.53182,-1.18E-02,,582.99565,-9.40E-03,,580.819921,3.22E-02,,577.25,0.00E+00,,583.0,0.00E+00,,583.0,3.06E-02,,582.9956497,7.01E-03,,582.99565,3.61E-02,,582.99567,2.01E-01,,,,,582.5318216,6.20E+00,,583.0,2.62E+00,,582.9956665,5.53E+00,,520.98541,2.79E-04,,582.99567,1.41E-01,,582.53182,9.86E-03,,582.9956497,-3.16E-03,,582.9956497,-3.21E-03,,583.0,-4.60E-03
,582.76032,7.23E-02,,583.2238,5.78E-02,,581.046194,3.00E-02,,577.48,0.00E+00,,583.2,3.63E-02,,583.2,4.83E-02,,583.2237985,1.20E-02,,583.2238,4.50E-02,,583.22382,2.05E-01,,,,,582.7603162,6.19E+00,,583.2,2.70E+00,,583.2238159,5.58E+00,,521.10273,2.74E-04,,583.22382,1.72E-01,,582.76032,4.27E-02,,583.2237985,9.11E-04,,583.2237985,1.49E-04,,583.2,8.29E-03
,582.98882,-2.36E-03,,583.45196,-1.88E-03,,581.2724769,2.12E-03,,577.7,0.00E+00,,583.5,6.78E-03,,583.5,2.01E-02,,583.4519589,3.75E-03,,583.45196,3.49E-02,,583.45197,1.97E-01,,,,,582.9888225,6.18E+00,,583.5,2.78E+00,,583.4519653,5.64E+00,,521.22005,2.93E-04,,583.45197,1.47E-01,,582.98882,2.85E-02,,583.4519589,-3.22E-03,,583.4519589,-3.42E-03,,583.5,-3.18E-03
,583.21734,7.90E-02,,583.68013,6.31E-02,,581.4987694,2.46E-02,,577.92,0.00E+00,,583.7,5.57E-02,,583.7,4.22E-02,,583.6801309,1.28E-02,,583.68013,4.75E-02,,583.68011,2.01E-01,,,,,583.2173406,6.24E+00,,583.7,2.88E+00,,583.6801147,5.69E+00,,521.33738,3.29E-04,,583.68011,1.84E-01,,583.21734,4.71E-02,,583.6801309,3.37E-03,,583.6801309,1.31E-03,,583.7,9.04E-03
,583.44587,-3.23E-02,,583.90831,-2.58E-02,,581.7250717,2.06E-02,,578.15,0.00E+00,,583.9,0.00E+00,,583.9,1.94E-02,,583.9083144,2.95E-03,,583.90831,3.61E-02,,583.90833,1.93E-01,,,,,583.4458704,6.23E+00,,583.9,2.94E+00,,583.9083252,5.70E+00,,521.45471,2.96E-04,,583.90833,1.62E-01,,583.44587,1.37E-02,,583.9083144,-6.17E-03,,583.9083144,-3.53E-03,,583.9,-9.50E-03
,583.67441,7.74E-02,,584.13651,6.18E-02,,581.9513838,3.99E-02,,578.37,0.00E+00,,584.1,6.05E-02,,584.1,4.54E-02,,584.1365096,1.45E-02,,584.13651,4.68E-02,,584.13654,1.97E-01,,,,,583.6744119,6.22E+00,,584.1,3.05E+00,,584.1365356,5.78E+00,,521.57204,2.68E-04,,584.13654,1.91E-01,,583.67441,3.42E-02,,584.1365096,2.73E-03,,584.1365096,3.28E-03,,584.1,1.22E-02
,583.90297,-1.55E-02,,584.36472,-1.24E-02,,582.1777055,1.03E-02,,578.59,0.00E+00,,584.4,3.12E-03,,584.4,4.37E-02,,584.3647164,3.10E-03,,584.36472,3.29E-02,,584.36475,1.84E-01,,,,,583.9029651,6.20E+00,,584.4,3.10E+00,,584.3647461,5.79E+00,,521.68938,2.78E-04,,584.36475,1.68E-01,,583.90297,2.05E-02,,584.3647164,-6.48E-03,,584.3647164,-4.85E-03,,584.4,-5.67E-03
,584.13153,8.99E-02,,584.59293,7.18E-02,,582.404037,2.34E-02,,578.82,0.00E+00,,584.6,5.52E-02,,584.6,4.84E-02,,584.5929347,1.69E-02,,584.59293,4.49E-02,,584.59296,1.93E-01,,,,,584.13153,6.22E+00,,584.6,3.23E+00,,584.5929565,5.90E+00,,521.80672,3.03E-04,,584.59296,2.07E-01,,584.13153,4.64E-02,,584.5929347,5.13E-03,,584.5929347,3.52E-03,,584.6,1.05E-02
,584.36011,-1.82E-02,,584.82116,-1.45E-02,,582.6303782,8.33E-03,,579.04,0.00E+00,,584.8,2.83E-03,,584.8,2.49E-02,,584.8211646,4.93E-03,,584.82116,3.29E-02,,584.82117,1.80E-01,,,,,584.3601066,6.20E+00,,584.8,3.31E+00,,584.821167,5.93E+00,,521.92406,3.33E-04,,584.82117,1.78E-01,,584.36011,1.04E-02,,584.8211646,-4.59E-03,,584.8211646,-5.18E-03,,584.8,-7.10E-03
,584.58869,7.39E-02,,585.04941,5.90E-02,,582.8567292,4.32E-02,,579.26,0.00E+00,,585.0,4.67E-02,,585.0,4.85E-02,,585.0494061,1.23E-02,,585.04941,4.45E-02,,585.04938,1.87E-01,,,,,584.588695,6.19E+00,,585.0,3.41E+00,,585.0493774,6.00E+00,,522.04141,3.15E-04,,585.04938,2.18E-01,,584.58869,4.49E-02,,585.0494061,3.31E-03,,585.0494061,5.58E-04,,585.0,1.15E-02
,584.81729,-2.03E-02,,585.27766,-1.62E-02,,583.0830899,1.27E-02,,579.49,0.00E+00,,585.3,0.00E+00,,585.3,3.91E-02,,585.2776592,7.36E-03,,585.27766,3.29E-02,,585.27765,1.76E-01,,,,,584.817295,6.16E+00,,585.3,3.48E+00,,585.2776489,6.03E+00,,522.15876,3.31E-04,,585.27765,1.95E-01,,584.81729,1.95E-02,,585.2776592,-7.45E-03,,585.2776592,-2.67E-03,,585.3,-6.17E-03
,585.04591,9.22E-02,,585.50592,7.37E-02,,583.3094603,3.42E-02,,579.71,0.00E+00,,585.5,4.62E-02,,585.5,5.12E-02,,585.5059239,1.23E-02,,585.50592,4.24E-02,,585.50592,1.82E-01,,,,,585.0459067,6.14E+00,,585.5,3.59E+00,,585.5059204,6.04E+00,,522.27611,3.37E-04,,585.50592,2.28E-01,,585.04591,4.31E-02,,585.5059239,2.24E-03,,585.5059239,1.81E-03,,585.5,8.29E-03
,585.27453,-9.13E-03,,585.7342,-7.30E-03,,583.5358405,1.41E-03,,579.93,0.00E+00,,585.7,1.77E-03,,585.7,3.19E-03,,585.7342001,3.28E-03,,585.7342,3.16E-02,,585.73419,1.69E-01,,,,,585.2745301,6.09E+00,,585.7,3.65E+00,,585.7341919,6.12E+00,,522.39347,3.69E-04,,585.73419,2.05E-01,,585.27453,1.55E-02,,585.7342001,-4.78E-03,,585.7342001,-3.32E-03,,585.7,-4.71E-03
,585.50317,7.30E-02,,585.96249,5.83E-02,,583.7622304,3.17E-02,,580.16,0.00E+00,,586.0,4.09E-02,,586.0,6.15E-02,,585.9624879,1.12E-02,,585.96249,3.98E-02,,585.96246,1.74E-01,,,,,585.5031652,6.07E+00,,586.0,3.75E+00,,585.9624634,6.15E+00,,522.51083,3.63E-04,,585.96246,2.34E-01,,585.50317,5.23E-02,,585.9624879,1.51E-03,,585.9624879,9.80E-04,,586.0,5.52E-03
,585.73181,-3.33E-02,,586.19079,-2.66E-02,,583.98863,1.74E-02,,580.38,0.00E+00,,586.2,0.00E+00,,586.2,-1.02E-03,,586.1907872,3.41E-03,,586.19079,2.93E-02,,586.1908,1.62E-01,,,,,585.731812,6.03E+00,,586.2,3.83E+00,,586.1907959,6.16E+00,,522.62819,3.48E-04,,586.1908,2.18E-01,,585.73181,1.01E-02,,586.1907872,-5.91E-03,,586.1907872,-5.14E-03,,586.2,-6.31E-03
,585.96047,8.33E-02,,586.4191,6.65E-02,,584.2150393,4.22E-02,,580.61,0.00E+00,,586.4,4.88E-02,,586.4,7.50E-02,,586.4190981,1.33E-02,,586.4191,4.07E-02,,586.41913,1.69E-01,,,,,585.9604704,6.01E+00,,586.4,3.93E+00,,586.4191284,6.25E+00,,522.74556,3.54E-04,,586.41913,2.54E-01,,585.96047,5.52E-02,,586.4190981,3.27E-03,,586.4190981,5.03E-05,,586.4,3.86E-03
,586.18914,-2.22E-02,,586.64742,-1.78E-02,,584.4414584,3.40E-02,,580.83,0.00E+00,,586.6,0.00E+00,,586.6,2.27E-02,,586.6474206,5.88E-03,,586.64742,2.77E-02,,586.6474,1.57E-01,,,,,586.1891406,5.98E+00,,586.6,4.02E+00,,586.6473999,6.30E+00,,522.86293,3.62E-04,,586.6474,2.35E-01,,586.18914,3.05E-02,,586.6474206,-4.70E-03,,586.6474206,-3.42E-03,,586.6,-4.30E-03
,586.41782,7.19E-02,,586.87575,5.74E-02,,584.6678871,3.99E-02,,581.05,0.00E+00,,586.9,3.89E-02,,586.9,5.75E-02,,586.8757546,1.23E-02,,586.87575,3.95E-02,,586.87573,1.62E-01,,,,,586.4178224,6.00E+00,,586.9,4.15E+00,,586.8757324,6.36E+00,,522.98031,3.48E-04,,586.87573,2.65E-01,,586.41782,5.23E-02,,586.8757546,1.82E-04,,586.8757546,6.29E-04,,586.9,1.08E-02
,586.64652,-2.68E-02,,587.1041,-2.14E-02,,584.8943256,8.89E-03,,581.28,0.00E+00,,587.1,0.00E+00,,587.1,3.24E-02,,587.1041002,4.59E-03,,587.1041,2.51E-02,,587.10413,1.53E-01,,,,,586.6465158,5.98E+00,,587.1,4.25E+00,,587.104126,6.43E+00,,523.09768,3.33E-04,,587.10413,2.48E-01,,586.64652,1.99E-02,,587.1041002,-5.66E-03,,587.1041002,-2.94E-03,,587.1,-4.53E-03
,586.87522,1.02E-01,,587.33246,8.17E-02,,585.1207739,3.97E-02,,581.5,0.00E+00,,587.3,3.93E-02,,587.3,3.88E-02,,587.3324573,1.60E-02,,587.33246,3.77E-02,,587.33246,1.60E-01,,,,,586.875221,5.99E+00,,587.3,4.39E+00,,587.3324585,6.49E+00,,523.21506,3.18E-04,,587.33246,2.83E-01,,586.87522,5.34E-02,,587.3324573,4.06E-03,,587.3324573,5.35E-04,,587.3,1.22E-02
,587.10394,-1.79E-02,,587.56083,-1.43E-02,,585.3472318,2.98E-02,,581.72,0.00E+00,,587.6,0.00E+00,,587.6,-4.90E-03,,587.5608259,7.46E-03,,587.56083,3.14E-02,,587.56085,1.51E-01,,,,,587.1039377,5.96E+00,,587.6,4.49E+00,,587.5608521,6.55E+00,,523.33245,3.64E-04,,587.56085,2.68E-01,,587.10394,3.41E-02,,587.5608259,-2.01E-03,,587.5608259,-2.40E-03,,587.6,-5.63E-03
,587.33267,5.53E-02,,587.78921,4.42E-02,,585.5736995,2.78E-02,,581.95,0.00E+00,,587.8,5.12E-02,,587.8,8.92E-02,,587.7892061,1.01E-02,,587.78921,3.43E-02,,587.78918,1.53E-01,,,,,587.3326662,5.95E+00,,587.8,4.63E+00,,587.7891846,6.56E+00,,523.44984,3.64E-04,,587.78918,3.06E-01,,587.33267,5.23E-02,,587.7892061,-1.99E-04,,587.7892061,8.56E-05,,587.8,2.39E-03
,587.56141,-5.37E-03,,588.0176,-4.29E-03,,585.8001769,1.72E-02,,582.17,0.00E+00,,588.0,0.00E+00,,588.0,2.16E-02,,588.0175979,7.21E-03,,588.0176,2.78E-02,,588.01758,1.46E-01,,,,,587.5614063,5.93E+00,,588.0,4.73E+00,,588.0175781,6.64E+00,,523.56723,3.52E-04,,588.01758,2.85E-01,,587.56141,3.34E-02,,588.0175979,-1.59E-03,,588.0175979,-2.08E-03,,588.0,-2.30E-04
,587.79016,6.34E-02,,588.246,5.06E-02,,586.026664,2.34E-02,,582.39,0.00E+00,,588.2,4.84E-02,,588.2,2.64E-02,,588.2460011,1.19E-02,,588.246,3.45E-02,,588.24597,1.48E-01,,,,,587.790158,5.87E+00,,588.2,4.85E+00,,588.2459717,6.67E+00,,523.68463,3.21E-04,,588.24597,3.11E-01,,587.79016,5.93E-02,,588.2460011,1.12E-03,,588.2460011,-2.07E-04,,588.2,6.24E-03
,588.01892,-5.31E-03,,588.47442,-4.24E-03,,586.2531609,2.33E-02,,582.62,0.00E+00,,588.5,0.00E+00,,588.5,2.42E-02,,588.4744159,2.28E-03,,588.47442,2.73E-02,,588.47443,1.39E-01,,,,,588.0189214,5.86E+00,,588.5,4.94E+00,,588.4744263,6.73E+00,,523.80202,3.13E-04,,588.47443,3.01E-01,,588.01892,2.03E-02,,588.4744159,-8.01E-03,,588.4744159,-4.08E-03,,588.5,-8.04E-03
,588.2477,5.01E-02,,588.70284,4.00E-02,,586.4796674,3.37E-02,,582.84,0.00E+00,,588.7,4.37E-02,,588.7,4.83E-02,,588.7028423,1.10E-02,,588.70284,3.32E-02,,588.70282,1.42E-01,,,,,588.2476964,5.86E+00,,588.7,5.07E+00,,588.7028198,6.77E+00,,523.91943,3.36E-04,,588.70282,3.36E-01,,588.2477,5.67E-02,,588.7028423,9.33E-04,,588.7028423,4.19E-04,,588.7,6.61E-03
,588.47648,4.71E-04,,588.93128,3.76E-04,,586.7061837,1.37E-02,,583.06,0.00E+00,,588.9,7.58E-03,,588.9,8.07E-03,,588.9312801,9.25E-03,,588.93128,2.50E-02,,588.93127,1.38E-01,,,,,588.476483,5.80E+00,,588.9,5.20E+00,,588.9312744,6.80E+00,,524.03683,3.43E-04,,588.93127,3.23E-01,,588.47648,3.79E-02,,588.9312801,-1.26E-03,,588.9312801,-2.02E-03,,588.9,-3.66E-03
,588.70528,7.27E-02,,589.15973,5.81E-02,,586.9327097,2.46E-02,,583.29,0.00E+00,,589.2,4.54E-02,,589.2,2.52E-02,,589.1597295,1.50E-02,,589.15973,3.61E-02,,589.15973,1.43E-01,,,,,588.7052813,5.83E+00,,589.2,5.34E+00,,589.159729,6.87E+00,,524.15424,3.05E-04,,589.15973,3.57E-01,,588.70528,6.81E-02,,589.1597295,4.09E-03,,589.1597295,3.56E-03,,589.2,9.04E-03
,588.93409,-1.52E-02,,589.38819,-1.21E-02,,587.1592454,2.90E-02,,583.51,0.00E+00,,589.4,0.00E+00,,589.4,4.10E-02,,589.3881904,3.66E-03,,589.38819,2.45E-02,,589.38818,1.29E-01,,,,,588.9340912,5.78E+00,,589.4,5.49E+00,,589.3881836,6.94E+00,,524.27165,3.27E-04,,589.38818,3.42E-01,,588.93409,1.84E-02,,589.3881904,-7.50E-03,,589.3881904,-4.71E-03,,589.4,-1.26E-02
,589.16291,9.51E-02,,589.61666,7.60E-02,,587.3857908,4.51E-02,,583.74,0.00E+00,,589.6,4.03E-02,,589.6,2.15E-02,,589.6166628,1.18E-02,,589.61666,3.48E-02,,589.61664,1.36E-01,,,,,589.1629127,5.81E+00,,589.6,5.66E+00,,589.6166382,6.98E+00,,524.38907,3.17E-04,,589.61664,3.80E-01,,589.16291,6.22E-02,,589.6166628,2.56E-03,,589.6166628,6.19E-04,,589.6,6.88E-03
,589.39175,-1.66E-03,,589.84515,-1.32E-03,,587.612346,3.22E-02,,583.96,0.00E+00,,589.8,0.00E+00,,589.8,2.42E-02,,589.8451467,2.92E-03,,589.84515,2.45E-02,,589.84515,1.27E-01,,,,,589.3917459,5.77E+00,,589.8,5.78E+00,,589.8451538,7.03E+00,,524.50649,3.45E-04,,589.84515,3.66E-01,,589.39175,3.90E-02,,589.8451467,-4.20E-03,,589.8451467,-3.45E-03,,589.8,-2.85E-03
,589.62059,8.33E-02,,590.07364,6.65E-02,,587.8389108,2.95E-02,,584.18,0.00E+00,,590.1,4.14E-02,,590.1,5.61E-02,,590.0736421,1.18E-02,,590.07364,3.43E-02,,590.07367,1.33E-01,,,,,589.6205906,5.79E+00,,590.1,5.96E+00,,590.0736694,7.09E+00,,524.62391,3.22E-04,,590.07367,4.01E-01,,589.62059,6.00E-02,,590.0736421,2.24E-03,,590.0736421,1.16E-03,,590.1,1.05E-02
,589.84945,1.48E-02,,590.30215,1.19E-02,,588.0654854,3.15E-02,,584.41,0.00E+00,,590.3,0.00E+00,,590.3,3.05E-02,,590.3021491,4.02E-03,,590.30215,2.22E-02,,590.30212,1.25E-01,,,,,589.849447,5.75E+00,,590.3,6.10E+00,,590.302124,7.15E+00,,524.74134,3.14E-04,,590.30212,3.90E-01,,589.84945,4.53E-02,,590.3021491,-6.31E-03,,590.3021491,-2.56E-03,,590.3,-7.42E-03
,590.07831,6.25E-02,,590.53067,5.00E-02,,588.2920697,3.67E-02,,584.63,0.00E+00,,590.5,4.49E-02,,590.5,3.57E-02,,590.5306675,1.10E-02,,590.53067,3.26E-02,,590.53064,1.26E-01,,,,,590.078315,5.74E+00,,590.5,6.28E+00,,590.5306396,7.23E+00,,524.85877,3.24E-04,,590.53064,4.20E-01,,590.07831,7.40E-02,,590.5306675,3.72E-04,,590.5306675,4.37E-04,,590.5,9.75E-03
,590.30719,6.23E-03,,590.7592,4.97E-03,,588.5186637,1.03E-02,,584.85,0.00E+00,,590.8,1.12E-02,,590.8,3.79E-02,,590.7591975,7.82E-03,,590.7592,2.38E-02,,590.75922,1.21E-01,,,,,590.3071945,5.74E+00,,590.8,6.43E+00,,590.7592163,7.27E+00,,524.9762,3.20E-04,,590.75922,4.09E-01,,590.30719,3.58E-02,,590.7591975,-1.87E-03,,590.7591975,-2.01E-03,,590.8,3.09E-06
,590.53609,4.90E-02,,590.98774,3.91E-02,,588.7452674,1.58E-02,,585.08,0.00E+00,,591.0,5.72E-02,,591.0,3.71E-02,,590.9877389,1.16E-02,,590.98774,3.03E-02,,590.98773,1.25E-01,,,,,590.5360857,5.74E+00,,591.0,6.62E+00,,590.9877319,7.30E+00,,525.09364,3.47E-04,,590.98773,4.47E-01,,590.53609,7.10E-02,,590.9877389,6.96E-04,,590.9877389,1.92E-05,,591.0,7.68E-03
,590.76499,-3.57E-02,,591.21629,-2.85E-02,,588.9718808,9.33E-04,,585.3,0.00E+00,,591.2,0.00E+00,,591.2,2.10E-02,,591.2162918,5.89E-03,,591.21629,2.38E-02,,591.21631,1.18E-01,,,,,590.7649885,5.70E+00,,591.2,6.78E+00,,591.2163086,7.34E+00,,525.21108,3.45E-04,,591.21631,4.45E-01,,590.76499,4.93E-02,,591.2162918,-3.96E-03,,591.2162918,-2.88E-03,,591.2,-1.64E-03
