,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,1.25,97.80677,1.36,97.30325,0.851,99.63393
,,1.26,97.83409,1.37,97.24493,0.853,99.63925
,,1.27,97.86271,1.38,97.23079,0.855,99.64377
,,1.28,97.88515,1.39,97.20427,0.857,99.643615
,,1.29,97.91034,1.4,97.21742,0.859,99.641275
,,1.3,97.91726,1.41,97.1082,0.861,99.63886
,,1.31,97.9272,1.42,97.08175,0.863,99.63625
,,1.32,97.9599,1.43,97.11641,0.865,99.63414
,,1.33,97.97902,1.44,97.10146,0.867,99.633025
,,1.34,97.96649,1.45,97.0451,0.869,99.628815
,,1.35,97.98208,1.46,96.98151,0.871,99.62339
,,1.36,97.98515,1.47,96.96668,0.873,99.621705
,,1.37,98.01334,1.48,96.89229,0.875,99.61609
,,1.38,98.04948,1.49,96.88855,0.877,99.60148
,,1.39,98.06116,1.5,96.88684,0.879,99.593725
,,1.4,98.0691,1.51,96.86502,0.881,99.601545
,,1.41,98.08687,1.52,96.83839,0.883,99.6265
,,1.42,98.09829,1.53,96.79358,0.885,99.654775
,,1.43,98.11657,1.54,96.78112,0.887,99.68934
,,1.44,98.11229,1.55,96.75467,0.889,99.70905
,,1.45,98.13352,1.56,96.69447,0.891,99.697705
,,1.46,98.16698,1.57,96.69093,0.893,99.687365
,,1.47,98.17837,1.58,96.65531,0.895,99.68116
,,1.48,98.20194,1.59,96.66493,0.897,99.673795
,,1.49,98.19862,1.6,96.63469,0.899,99.68357
,,1.5,98.17338,1.61,96.66383,0.901,99.699975
,,1.51,98.18355,1.62,96.67599,0.903,99.70468
,,1.52,98.19344,1.63,96.6927,0.905,99.69075
,,1.53,98.19331,1.64,96.67167,0.907,99.67275
,,1.54,98.21376,1.65,96.70087,0.909,99.63836
,,1.55,98.21452,1.66,96.73709,0.911,99.61098
,,1.56,98.19184,1.67,96.76169,0.913,99.619845
,,1.57,98.18979,1.68,96.72419,0.915,99.63232
,,1.58,98.21208,1.69,96.763,0.917,99.63798
,,1.59,98.21166,1.7,96.81468,0.919,99.64791
,,1.6,98.23722,1.71,96.73566,0.921,99.644795
,,1.61,98.27239,1.72,96.70616,0.923,99.62064
,,1.62,98.29176,1.73,96.7362,0.925,99.59732
,,1.63,98.29956,1.74,96.69616,0.927,99.593365
,,1.64,98.31581,1.75,96.63241,0.929,99.599045
,,1.65,98.31914,1.76,96.67876,0.931,99.611025
,,1.66,98.34766,1.77,96.72239,0.933,99.62823
,,1.67,98.34928,1.78,96.63945,0.935,99.637615
,,1.68,98.35663,1.79,96.69399,0.937,99.63634
,,1.69,98.38561,1.8,96.68693,0.939,99.631275
,,1.7,98.37451,1.81,96.71364,0.941,99.62266
,,1.71,98.39212,1.82,96.70393,0.943,99.617455
,,1.72,98.39579,1.83,96.77498,0.945,99.626345
,,1.73,98.35314,1.84,96.7849,0.947,99.63675
,,1.74,98.36053,1.85,96.76414,0.949,99.624815
,,1.75,98.33332,1.86,96.80853,0.951,99.5955
,,1.76,98.32271,1.87,96.80743,0.953,99.572705
,,1.77,98.31282,1.88,96.92372,0.955,99.556635
,,1.78,98.34846,1.89,96.90172,0.957,99.541475
,,1.79,98.34118,1.9,96.97806,0.959,99.53234
,,1.8,98.31576,1.91,97.00941,0.961,99.52652
,,1.81,98.33046,1.92,97.08767,0.963,99.52086
,,1.82,98.32699,1.93,97.11424,0.965,99.512545
,,1.83,98.34221,1.94,97.11534,0.967,99.500955
,,1.84,98.33144,1.95,97.11495,0.969,99.491045
,,1.85,98.33888,1.96,97.12472,0.971,99.483705
,,1.86,98.39184,1.97,97.1689,0.973,99.481845
,,1.87,98.38167,1.98,97.17766,0.975,99.481815
,,1.88,98.41867,1.99,97.20361,0.977,99.47582
,,1.89,98.42162,1.99979,97.51515,0.979,99.46689
,,1.9,98.42724,2,97.21012,0.981,99.45923
,,1.91,98.45394,2.00751,97.24317,0.983,99.450135
,,1.92,98.48641,2.01524,97.24247,0.985,99.43991
,,1.93,98.50565,2.02296,97.27212,0.987,99.434975
,,1.94,98.51619,2.03068,97.29222,0.989,99.433545
,,1.95,98.5328,2.0384,97.27522,0.991,99.423845
,,1.96,98.49712,2.04612,97.31057,0.993,99.40725
,,1.97,98.51597,2.05384,97.32177,0.995,99.39384
,,1.98,98.5152,2.06156,97.33257,0.997,99.37993
,,1.99,98.55771,2.06928,97.36252,0.999,99.36225
,,2,98.53192,2.07701,97.38767,1.001,99.34625
,,2.01,98.55147,2.08473,97.39382,1.003,99.32784
,,2.02,98.54165,2.09245,97.42032,1.005,99.310635
,,2.03,98.58507,2.10017,97.42437,1.007,99.297795
,,2.04,98.49855,2.10789,97.42717,1.009,99.286315
,,2.05,98.47861,2.11561,97.44312,1.011,99.270705
,,2.06,98.48048,2.12333,97.44817,1.013,99.25284
,,2.07,98.47655,2.13105,97.45697,1.015,99.24232
,,2.08,98.4452,2.13878,97.45597,1.017,99.23082
,,2.09,98.43077,2.1465,97.49967,1.019,99.212185
,,2.1,98.42801,2.15422,97.50432,1.021,99.192635
,,2.11,98.40172,2.16194,97.52807,1.023,99.17436
,,2.12,98.39905,2.16966,97.54422,1.025,99.15475
,,2.13,98.37327,2.17738,97.56227,1.027,99.13148
,,2.14,98.35844,2.1851,97.58462,1.029,99.108525
,,2.15,98.33982,2.19282,97.58512,1.031,99.0835
,,2.16,98.42947,2.20055,97.59627,1.033,99.055045
,,2.17,98.42142,2.20827,97.61467,1.035,99.029365
,,2.18,98.40447,2.21599,97.63437,1.037,99.003295
,,2.19,98.44215,2.22371,97.65742,1.039,98.975975
,,2.2,98.37181,2.23143,97.64527,1.041,98.94884
,,2.21,98.43821,2.23915,97.65112,1.043,98.922935
,,2.22,98.40268,2.24687,97.67062,1.045,98.8925
,,2.23,98.34804,2.25459,97.69157,1.047,98.861025
,,2.24,98.33822,2.26231,97.69802,1.049,98.83559
,,2.25,98.45523,2.27004,97.70332,1.051,98.80702
,,2.26,98.4846,2.27776,97.71772,1.053,98.773275
,,2.27,98.49701,2.28548,97.73212,1.055,98.740365
,,2.28,98.43358,2.2932,97.74652,1.057,98.709615
,,2.29,98.40782,2.30092,97.74772,1.059,98.677885
,,2.3,98.49192,2.30864,97.72277,1.061,98.64018
,,2.31,98.571,2.31636,97.75762,1.063,98.602475
,,2.32,98.43042,2.32408,97.78332,1.065,98.56525
,,2.33,98.45456,2.33181,97.78572,1.067,98.533
,,2.34,98.45347,2.33953,97.79632,1.069,98.48818
,,2.35,98.46225,2.34725,97.82052,1.071,98.4507
,,2.36,98.53161,2.35497,97.83057,1.073,98.39875
,,2.37,98.42774,2.36269,97.85292,1.075,98.361
,,2.38,98.48028,2.37041,97.84272,,
,,2.39,98.379,2.37813,97.84727,,
,,2.4,98.39566,2.38585,97.86807,,
,,2.41,98.50038,2.39358,97.87907,,
,,2.42,98.3561,2.4013,97.88767,,
,,2.43,98.41117,2.40902,97.90207,,
,,2.44,98.45449,2.41674,97.91532,,
,,2.45,98.31859,2.42446,97.92272,,
,,2.46,98.45216,2.43218,97.92207,,
,,2.47,98.20266,2.4399,97.92102,,
,,2.48,98.67474,2.44762,97.92782,,
,,2.49,98.43298,2.45535,97.95652,,
,,2.5,98.51074,2.46307,97.95622,,
,,2.51,98.50345,2.47079,97.95512,,
,,2.52,98.47551,2.47851,97.97577,,
,,2.53,98.33077,2.48623,97.97317,,
,,2.54,98.53713,2.49395,97.97017,,
,,2.55,98.3672,2.50167,97.98527,,
,,2.56,98.37758,2.50939,97.99542,,
,,2.57,98.3705,2.51711,97.99132,,
,,2.58,98.34861,2.52484,97.99177,,
,,2.59,98.32834,2.53256,97.99847,,
,,2.6,98.39774,2.54028,98.02657,,
,,2.60979,98.54432,2.548,98.00177,,
,,2.61973,98.57427,2.55572,97.98922,,
,,2.62966,98.55443,2.56344,97.92492,,
,,2.63959,98.58479,2.57116,97.99467,,
,,2.64952,98.56535,2.57888,97.98302,,
,,2.65971,98.54557,2.58661,97.95222,,
,,2.66963,98.57652,2.59433,98.08957,,
,,2.67954,98.55765,2.60205,98.07257,,
,,2.68973,98.53844,2.60977,97.97017,,
,,2.69963,98.56993,2.61749,98.00562,,
,,2.70953,98.55159,2.62521,98.11837,,
,,2.7197,98.58293,2.63293,97.98102,,
,,2.72959,98.56493,2.64065,98.10452,,
,,2.73948,98.5971,2.64838,98.05107,,
,,2.74963,98.57895,2.6561,98.05827,,
,,2.75951,98.61144,2.66382,98.10042,,
,,2.76966,98.59362,2.67154,97.96742,,
,,2.77953,98.57642,2.67926,98.04507,,
,,2.78967,98.55892,2.68698,98.15287,,
