,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,11.05523,96.01532,9.07242,93.68927,,
,,11.06465,96.01942,9.08014,93.74632,,
,,11.07473,96.02343,9.08787,93.78652,,
,,11.08481,96.02742,9.09559,93.82347,,
,,11.09488,96.03139,9.10331,93.84532,,
,,11.10496,96.03535,9.11103,93.86282,,
,,11.11503,96.03929,9.11875,93.86997,,
,,11.12509,96.04321,9.12647,93.87287,,
,,11.13516,96.0471,9.13419,93.87112,,
,,11.14522,96.05097,9.14191,93.86662,,
,,11.15461,96.0549,9.14964,93.85727,,
,,11.16466,96.05872,9.15736,93.84377,,
,,11.17472,96.06251,9.16508,93.82412,,
,,11.18476,96.06626,9.1728,93.79687,,
,,11.19481,96.06997,9.18052,93.76652,,
,,11.20485,96.07363,9.18824,93.73032,,
,,11.21489,96.07724,9.19596,93.69442,,
,,11.22493,96.08079,9.20368,93.65927,,
,,11.23496,96.08428,9.21141,93.62452,,
,,11.245,96.0877,9.21913,93.59247,,
,,11.25502,96.09104,9.22685,93.56052,,
,,11.26505,96.09429,9.23457,93.52502,,
,,11.27507,96.09745,9.24229,93.48957,,
,,11.28509,96.1005,9.25001,93.44892,,
,,11.2951,96.10343,9.25773,93.40757,,
,,11.30511,96.10622,9.26545,93.36617,,
,,11.31512,96.10886,9.27317,93.32482,,
,,11.32513,96.11134,9.2809,93.28612,,
,,11.33513,96.11361,9.28862,93.24922,,
,,11.34513,96.11567,9.29634,93.21427,,
,,11.35513,96.11747,9.30406,93.18182,,
,,11.36512,96.11898,9.31178,93.14962,,
,,11.37511,96.12016,9.3195,93.11827,,
,,11.3851,96.12094,9.32722,93.08647,,
,,11.39509,96.12127,9.33494,93.05057,,
,,11.40507,96.12106,9.34267,93.01472,,
,,11.41504,96.1202,9.35039,92.97502,,
,,11.42502,96.11857,9.35811,92.93512,,
,,11.43499,96.116,9.36583,92.89827,,
,,11.44496,96.11612,9.37355,92.86257,,
,,11.45492,96.11542,9.38127,92.83132,,
,,11.46489,96.11368,9.38899,92.80367,,
,,11.47485,96.11059,9.39671,92.77847,,
,,11.4848,96.11125,9.40444,92.75772,,
,,11.49475,96.11081,9.41216,92.73797,,
,,11.5047,96.10879,9.41988,92.72342,,
,,11.51465,96.10441,9.4276,92.70902,,
,,11.52459,96.10624,9.43532,92.69557,,
,,11.53453,96.10642,9.44304,92.68222,,
,,11.54447,96.1033,9.45076,92.66447,,
,,11.55441,96.09193,9.45848,92.64487,,
,,11.565,96.09745,9.46621,92.62392,,
,,11.57493,96.10871,9.47393,92.60152,,
,,11.58485,96.11997,9.48165,92.58137,,
,,11.59477,96.08124,9.48937,92.56852,,
,,11.60469,96.09251,9.49709,92.55557,,
,,11.6146,96.10377,9.50481,92.55432,,
,,11.62451,96.11504,9.51253,92.55317,,
,,11.63442,96.1263,9.52025,92.55262,,
,,11.64433,96.13757,9.52797,92.55222,,
,,11.65489,96.14958,9.5357,92.54962,,
,,11.66479,96.16084,9.54342,92.54442,,
,,11.67468,96.1721,9.55114,92.53977,,
,,11.68458,96.18335,9.55886,92.53727,,
,,11.69446,96.19461,9.56658,92.53472,,
,,11.70435,96.20586,9.5743,92.54132,,
,,11.71489,96.21785,9.58202,92.54877,,
,,11.72477,96.2291,9.58974,92.56227,,
,,11.73465,96.24033,9.59747,92.57942,,
,,11.74452,96.25157,9.60519,92.59807,,
,,11.75439,96.2628,9.61291,92.61987,,
,,11.76425,96.27402,9.62063,92.64162,,
,,11.77478,96.28599,9.62835,92.66252,,
,,11.78463,96.2972,9.63607,92.68332,,
,,11.79449,96.3084,9.64379,92.70182,,
,,11.80434,96.3196,9.65151,92.71932,,
,,11.81485,96.33154,9.65924,92.73727,,
,,11.8247,96.34272,9.66696,92.75602,,
,,11.83454,96.3539,9.67468,92.77507,,
,,11.84438,96.36507,9.6824,92.80237,,
,,11.85422,96.37623,9.69012,92.82967,,
,,11.8647,96.38812,9.69784,92.86367,,
,,11.87453,96.39926,9.70556,92.90062,,
,,11.88436,96.4104,9.71328,92.93917,,
,,11.89418,96.42152,9.72101,92.98092,,
,,11.90466,96.43337,9.72873,93.02257,,
,,11.91448,96.44447,9.73645,93.06727,,
,,11.92429,96.45556,9.74417,93.11197,,
,,11.93475,96.46738,9.75189,93.15907,,
,,11.94456,96.47845,9.75961,93.20757,,
,,11.95436,96.4895,9.76733,93.25637,,
,,11.96416,96.50054,9.77505,93.30607,,
,,11.97461,96.51231,9.78277,93.35562,,
,,11.98441,96.52332,9.7905,93.40402,,
,,11.9942,96.53433,9.79822,93.45212,,
,,12.00464,96.54605,9.80594,93.50057,,
,,12.01442,96.55702,9.81366,93.54947,,
,,12.0242,96.56798,9.82138,93.59847,,
,,12.03463,96.57966,9.8291,93.65082,,
,,12.0444,96.59058,9.83682,93.70317,,
,,12.05417,96.6015,9.84454,93.75692,,
,,12.06459,96.61312,9.85227,93.81152,,
,,12.07435,96.624,9.85999,93.86572,,
,,12.08411,96.63487,9.86771,93.91882,,
,,12.09452,96.64644,9.87543,93.97182,,
,,12.10427,96.65727,9.88315,94.02077,,
,,12.11467,96.6688,9.89087,94.06847,,
,,12.12441,96.67959,9.89859,94.11382,,
,,12.13416,96.69036,9.90631,94.15462,,
,,12.14455,96.70184,9.91404,94.19532,,
,,12.15428,96.71257,9.92176,94.23187,,
,,12.16466,96.724,9.92948,94.26782,,
,,12.17439,96.7347,9.9372,94.30297,,
,,12.18412,96.74537,9.94492,94.33692,,
,,12.19449,96.75674,9.95264,94.37087,,
,,12.20421,96.76737,9.96036,94.40212,,
,,12.21457,96.77869,9.96808,94.43327,,
,,12.22428,96.78928,9.97581,94.46172,,
,,12.23464,96.80056,9.98353,94.48747,,
,,12.24434,96.8111,9.99125,94.51307,,
,,12.25404,96.82162,9.99897,94.53427,,
,,12.26439,96.83282,10.0067,94.55537,,
,,12.27408,96.8433,10.0144,94.57587,,
,,12.28442,96.85445,10.0221,94.59567,,
,,12.2941,96.86487,10.0299,94.61547,,
,,12.30443,96.87597,10.0376,94.63217,,
,,12.31411,96.88634,10.0453,94.64877,,
,,12.32444,96.89739,10.053,94.66082,,
,,12.33411,96.90771,10.0607,94.66767,,
,,12.34443,96.9187,10.0685,94.67452,,
,,12.35409,96.92897,10.0762,94.66957,,
,,12.3644,96.9399,10.0839,94.66392,,
,,12.37406,96.95012,10.0916,94.65407,,
,,12.38436,96.96099,10.0993,94.63827,,
,,12.39401,96.97115,10.1071,94.62237,,
,,12.4043,96.98196,10.1148,94.59972,,
,,12.41395,96.99207,10.1225,94.57597,,
,,12.42423,97.00282,10.1302,94.55047,,
,,12.43451,97.01353,10.138,94.52097,,
,,12.44415,97.02355,10.1457,94.49147,,
,,12.45442,97.0342,10.1534,94.45962,,
,,12.46405,97.04416,10.1611,94.42687,,
,,12.47432,97.05474,10.1688,94.39387,,
,,12.48394,97.06464,10.1766,94.35937,,
,,12.4942,97.07516,10.1843,94.32487,,
,,12.50445,97.08565,10.192,94.28952,,
,,12.51406,97.09544,10.1997,94.25352,,
,,12.52431,97.10586,10.2074,94.21752,,
,,12.53391,97.11559,10.2152,94.17912,,
,,12.54415,97.12594,10.2229,94.14067,,
,,12.55438,97.13625,10.2306,94.10072,,
,,12.56398,97.14588,10.2383,94.05822,,
,,12.5742,97.15612,10.246,94.01577,,
,,12.58443,97.16632,10.2538,93.97027,,
,,12.59401,97.17585,10.2615,93.92382,,
,,12.60423,97.18597,10.2692,93.87732,,
,,12.6138,97.19543,10.2769,93.82977,,
,,12.62401,97.20548,10.2847,93.78227,,
,,12.63421,97.21549,10.2924,93.73572,,
,,12.64378,97.22484,10.3001,93.69007,,
,,12.65397,97.23477,10.3078,93.64457,,
,,12.66417,97.24466,10.3155,93.60142,,
,,12.67436,97.25451,10.3233,93.55877,,
,,12.6839,97.2637,10.331,93.51672,,
,,12.69409,97.27347,10.3387,93.47712,,
,,12.70426,97.2832,10.3464,93.43757,,
,,12.7138,97.29228,10.3541,93.39957,,
,,12.72397,97.30192,10.3619,93.36302,,
,,12.73414,97.31152,10.3696,93.32647,,
,,12.7443,97.32108,10.3773,93.29127,,
,,12.75382,97.33,10.385,93.25637,,
,,12.76398,97.33947,10.3928,93.22142,,
,,12.77413,97.34889,10.4005,93.18627,,
,,12.78427,97.35827,10.4082,93.15117,,
,,12.79378,97.36703,10.4159,93.11642,,
,,12.80392,97.37632,10.4236,93.08212,,
,,12.81405,97.38557,10.4314,93.04787,,
,,12.82418,97.39477,10.4391,93.01617,,
,,12.83368,97.40335,10.4468,92.98547,,
,,12.8438,97.41246,10.4545,92.95472,,
,,12.85392,97.42152,10.4622,92.92757,,
,,12.86403,97.43053,10.47,92.90047,,
,,12.87415,97.4395,10.4777,92.87397,,
,,12.88425,97.44842,10.4854,92.84902,,
,,12.89372,97.45673,10.4931,92.82417,,
,,12.90382,97.46556,10.5008,92.80042,,
,,12.91392,97.47433,10.5086,92.77777,,
,,12.92401,97.48305,10.5163,92.75507,,
,,12.9341,97.49173,10.524,92.73507,,
,,12.94418,97.50035,10.5317,92.71592,,
,,12.95363,97.50839,10.5395,92.69677,,
,,12.9637,97.51691,10.5472,92.68282,,
,,12.97377,97.52538,10.5549,92.66907,,
,,12.98384,97.5338,10.5626,92.65642,,
,,12.9939,97.54217,10.5703,92.64837,,
,,13.00396,97.55049,10.5781,92.64037,,
,,13.01402,97.55875,10.5858,92.63362,,
,,13.02407,97.56696,10.5935,92.62852,,
,,13.03411,97.57512,10.6012,92.62352,,
,,13.04416,97.58322,10.6089,92.61877,,
,,13.05357,97.59077,10.6167,92.61417,,
,,13.0636,97.59877,10.6244,92.60962,,
,,13.07363,97.60671,10.6321,92.60632,,
,,13.08366,97.6146,10.6398,92.60337,,
,,13.09368,97.62244,10.6476,92.60047,,
,,13.1037,97.63021,10.6553,92.60042,,
,,13.11371,97.63794,10.663,92.60047,,
,,13.12372,97.6456,10.6707,92.60077,,
,,13.13373,97.65321,10.6784,92.60297,,
,,13.14373,97.66077,10.6862,92.60517,,
,,13.15373,97.66826,10.6939,92.60777,,
,,13.16372,97.6757,10.7016,92.61147,,
,,13.17371,97.68308,10.7093,92.61512,,
,,13.1837,97.69041,10.717,92.61907,,
,,13.19368,97.69767,10.7248,92.62347,,
,,13.20366,97.70488,10.7325,92.62782,,
,,13.21363,97.71203,10.7402,92.63292,,
,,13.2236,97.71912,10.7479,92.63862,,
,,13.23357,97.72615,10.7556,92.64432,,
,,13.24353,97.73312,10.7634,92.65297,,
,,13.25348,97.74003,10.7711,92.66317,,
,,13.26344,97.74688,10.7788,92.67332,,
,,13.27401,97.75409,10.7865,92.68652,,
,,13.28395,97.76082,10.7943,92.70067,,
,,13.29389,97.76748,10.802,92.71482,,
,,13.30383,97.77408,10.8097,92.72727,,
,,13.31376,97.78063,10.8174,92.73942,,
,,13.32368,97.78711,10.8251,92.75162,,
,,13.33361,97.79352,10.8329,92.76107,,
,,13.34353,97.79988,10.8406,92.77037,,
,,13.35344,97.80617,10.8483,92.77967,,
,,13.36397,97.81279,10.856,92.79197,,
,,13.37388,97.81895,10.8637,92.80427,,
,,13.38378,97.82505,10.8715,92.81682,,
,,13.39368,97.83109,10.8792,92.83442,,
,,13.40357,97.83706,10.8869,92.85197,,
,,13.41346,97.84297,10.8946,92.86972,,
,,13.42335,97.84881,10.9024,92.88877,,
,,13.43385,97.85495,10.9101,92.90782,,
,,13.44372,97.86066,10.9178,92.92642,,
,,13.4536,97.86631,10.9255,92.94227,,
,,13.46346,97.87189,10.9332,92.95812,,
,,13.47333,97.8774,10.941,92.97327,,
,,13.4838,97.88319,10.9487,92.98462,,
,,13.49366,97.88856,10.9564,92.99597,,
,,13.50351,97.89388,10.9641,93.00722,,
,,13.51336,97.89912,10.9718,93.01797,,
,,13.52382,97.90462,10.9796,93.02867,,
,,13.53366,97.90973,10.9873,93.03967,,
,,13.54349,97.91477,10.995,93.05257,,
,,13.55332,97.91974,11.0027,93.06542,,
,,13.56376,97.92495,11.0104,93.07812,,
,,13.57358,97.92979,11.0182,93.09007,,
,,13.5834,97.93455,11.0259,93.10202,,
,,13.59382,97.93954,11.0336,93.11372,,
,,13.60363,97.94416,11.0413,93.12312,,
,,13.61344,97.94872,11.0491,93.13257,,
,,13.62385,97.95348,11.0568,93.14197,,
,,13.63364,97.9579,11.0645,93.15137,,
,,13.64343,97.96224,11.0722,93.16072,,
,,13.65322,97.96651,11.0799,93.17007,,
,,13.66362,97.97098,11.0877,93.17997,,
,,13.67339,97.97511,11.0954,93.18987,,
,,13.68378,97.97942,11.1031,93.19977,,
,,13.69355,97.9834,11.1108,93.20987,,
,,13.70331,97.98732,11.1185,93.21997,,
,,13.71368,97.9914,11.1263,93.23007,,
,,13.72344,97.99517,11.134,93.24182,,
,,13.73319,97.99887,11.1417,93.25392,,
,,13.74355,98.00272,11.1494,93.26597,,
,,13.75329,98.00627,11.1572,93.27922,,
,,13.76364,98.00996,11.1649,93.29292,,
,,13.77337,98.01336,11.1726,93.30662,,
,,13.78371,98.0169,11.1803,93.31892,,
,,13.79343,98.02015,11.188,93.33037,,
,,13.80316,98.02334,11.1958,93.34177,,
,,13.81348,98.02664,11.2035,93.35062,,
,,13.82319,98.02967,11.2112,93.35667,,
,,13.83351,98.03281,11.2189,93.36277,,
,,13.84321,98.03569,11.2266,93.36767,,
,,13.85351,98.03867,11.2344,93.37032,,
,,13.86321,98.0414,11.2421,93.37287,,
,,13.8735,98.04422,11.2498,93.37567,,
,,13.88319,98.0468,11.2575,93.37892,,
,,13.89348,98.04946,11.2652,93.38207,,
,,13.90315,98.05189,11.273,93.38537,,
,,13.91343,98.05439,11.2807,93.38887,,
,,13.9231,98.05666,11.2884,93.39237,,
,,13.93336,98.059,11.2961,93.39587,,
,,13.94362,98.06125,11.3039,93.39747,,
,,13.95328,98.06329,11.3116,93.39867,,
,,13.96353,98.06538,11.3193,93.39987,,
,,13.97318,98.06726,11.327,93.39887,,
,,13.98342,98.06919,11.3347,93.39677,,
,,13.99305,98.07092,11.3425,93.39462,,
,,14.00329,98.07268,11.3502,93.39022,,
,,14.01352,98.07435,11.3579,93.38287,,
,,14.02314,98.07585,11.3656,93.37562,,
,,14.03336,98.07736,11.3733,93.36682,,
,,14.04357,98.07878,11.3811,93.35307,,
,,14.05318,98.08004,11.3888,93.33927,,
,,14.06338,98.0813,11.3965,93.32552,,
,,14.07358,98.08247,11.4042,93.30852,,
,,14.08318,98.0835,11.412,93.29147,,
,,14.09337,98.0845,11.4197,93.27447,,
,,14.10355,98.08542,11.4274,93.25812,,
,,14.11313,98.08621,11.4351,93.24212,,
,,14.12331,98.08696,11.4428,93.22617,,
,,14.13348,98.08762,11.4506,93.21107,,
,,14.14305,98.08817,11.4583,93.19702,,
,,14.15321,98.08867,11.466,93.18302,,
,,14.16336,98.08908,11.4737,93.16902,,
,,14.17351,98.0894,11.4814,93.15562,,
,,14.18306,98.08963,11.4892,93.14227,,
,,14.1932,98.08978,11.4969,93.12887,,
,,14.20334,98.08985,11.5046,93.11462,,
,,14.21347,98.08983,11.5123,93.10032,,
,,14.223,98.08974,11.52,93.08602,,
,,14.23312,98.08955,11.5278,93.07052,,
,,14.24324,98.08927,11.5355,93.05407,,
,,14.25335,98.08891,11.5432,93.03767,,
,,14.26346,98.08846,11.5509,93.02082,,
,,14.27296,98.08796,11.5587,93.00257,,
,,14.28306,98.08734,11.5664,92.98437,,
,,14.29315,98.08664,11.5741,92.96617,,
,,14.30324,98.08584,11.5818,92.94797,,
,,14.31332,98.08496,11.5895,92.92977,,
,,14.32339,98.08399,11.5973,92.91162,,
,,14.33287,98.083,11.605,92.89442,,
,,14.34294,98.08186,11.6127,92.87802,,
,,14.353,98.08063,11.6204,92.86167,,
,,14.36306,98.07932,11.6281,92.84562,,
,,14.37311,98.07792,11.6359,92.83082,,
,,14.38315,98.07643,11.6436,92.81602,,
,,14.3932,98.07485,11.6513,92.80122,,
,,14.40323,98.07318,11.659,92.78692,,
,,14.41326,98.07143,11.6668,92.77282,,
,,14.42329,98.06959,11.6745,92.75872,,
,,14.43331,98.06766,11.6822,92.74557,,
,,14.44333,98.06564,11.6899,92.73367,,
,,14.45334,98.06354,11.6976,92.72182,,
,,14.46334,98.06135,11.7054,92.70997,,
,,14.47334,98.05907,11.7131,92.70082,,
,,14.48334,98.0567,11.7208,92.69167,,
,,14.49333,98.05424,11.7285,92.68257,,
,,14.50331,98.0517,11.7362,92.67357,,
,,14.51329,98.04907,11.744,92.66467,,
,,14.52327,98.04635,11.7517,92.65582,,
,,14.53324,98.04355,11.7594,92.64717,,
,,14.5432,98.04065,11.7671,92.63967,,
,,14.55316,98.03767,11.7748,92.63227,,
,,14.56312,98.0346,11.7826,92.62487,,
,,14.57307,98.03145,11.7903,92.62072,,
,,14.58301,98.02821,11.798,92.61817,,
,,14.59295,98.02487,11.8057,92.61562,,
,,14.60288,98.02146,11.8135,92.61357,,
,,14.61281,98.01795,11.8212,92.61322,,
,,14.62274,98.01436,11.8289,92.61292,,
,,14.63324,98.01046,11.8366,92.61257,,
,,14.64315,98.00669,11.8443,92.60982,,
,,14.65306,98.00283,11.8521,92.60592,,
,,14.66296,97.99888,11.8598,92.60212,,
,,14.67286,97.99485,11.8675,92.59787,,
,,14.68275,97.99073,11.8752,92.59162,,
,,14.69322,97.98628,11.8829,92.58542,,
,,14.7031,97.98198,11.8907,92.57922,,
,,14.71298,97.9776,11.8984,92.57622,,
,,14.72285,97.97313,11.9061,92.57482,,
,,14.73272,97.96857,11.9138,92.57342,,
,,14.74316,97.96365,11.9216,92.57302,,
,,14.75301,97.95892,11.9293,92.57942,,
,,14.76286,97.9541,11.937,92.58577,,
,,14.77271,97.94919,11.9447,92.59217,,
,,14.78313,97.94391,11.9524,92.60037,,
,,14.79296,97.93882,11.9602,92.61007,,
,,14.80279,97.93366,11.9679,92.61962,,
,,14.81261,97.9284,11.9756,92.62927,,
,,14.82301,97.92275,11.9833,92.63922,,
,,14.83282,97.91732,11.991,92.64917,,
,,14.84263,97.91181,11.9988,92.65917,,
,,14.85301,97.90588,12.0065,92.67007,,
,,14.86281,97.90019,12.0142,92.68262,,
,,14.8726,97.89442,12.0219,92.69507,,
,,14.88296,97.88822,12.0296,92.70757,,
,,14.89274,97.88227,12.0374,92.72267,,
,,14.90309,97.87589,12.0451,92.73842,,
,,14.91286,97.86977,12.0528,92.75412,,
,,14.92263,97.86357,12.0605,92.77012,,
,,14.93296,97.85691,12.0683,92.78747,,
,,14.94272,97.85054,12.076,92.80477,,
,,14.95304,97.8437,12.0837,92.82207,,
,,14.96278,97.83716,12.0914,92.83942,,
,,14.97252,97.83053,12.0991,92.85697,,
,,14.98283,97.82342,12.1069,92.87437,,
,,14.99256,97.81663,12.1146,92.89182,,
,,15.00285,97.80934,12.1223,92.90827,,
,,15.01257,97.80237,12.13,92.92462,,
,,15.02285,97.79491,12.1377,92.94097,,
,,15.03255,97.78778,12.1455,92.95732,,
,,15.04282,97.78013,12.1532,92.97377,,
,,15.05252,97.77283,12.1609,92.99032,,
,,15.06278,97.76501,12.1686,93.00677,,
,,15.07246,97.75755,12.1764,93.02512,,
,,15.08271,97.74955,12.1841,93.04522,,
,,15.09295,97.74147,12.1918,93.06537,,
,,15.10262,97.73375,12.1995,93.08542,,
,,15.11285,97.72549,12.2072,93.10882,,
,,15.12251,97.71761,12.215,93.13302,,
,,15.13272,97.70918,12.2227,93.15712,,
,,15.14294,97.70066,12.2304,93.18147,,
,,15.15258,97.69253,12.2381,93.20812,,
,,15.16278,97.68384,12.2458,93.23467,,
,,15.17241,97.67555,12.2536,93.26132,,
,,15.1826,97.66669,12.2613,93.28857,,
,,15.19278,97.65774,12.269,93.31732,,
,,15.20239,97.64921,12.2767,93.34602,,
,,15.21256,97.64009,12.2844,93.37472,,
,,15.22273,97.63089,12.2922,93.40402,,
,,15.23289,97.6216,12.2999,93.43377,,
,,15.24248,97.61275,12.3076,93.46357,,
,,15.25263,97.60329,12.3153,93.49327,,
,,15.26277,97.59375,12.3231,93.52122,,
,,15.2729,97.58413,12.3308,93.54862,,
,,15.28247,97.57496,12.3385,93.57602,,
,,15.29259,97.56517,12.3462,93.60337,,
,,15.30271,97.5553,12.3539,93.62567,,
,,15.31282,97.54534,12.3617,93.64782,,
,,15.32237,97.53587,12.3694,93.67002,,
,,15.33247,97.52575,12.3771,93.69162,,
,,15.34256,97.51555,12.3848,93.71062,,
,,15.35265,97.50527,12.3925,93.72962,,
,,15.36273,97.49491,12.4003,93.74862,,
,,15.37281,97.48447,12.408,93.76847,,
,,15.38232,97.47453,12.4157,93.79037,,
,,15.39239,97.46394,12.4234,93.81222,,
,,15.40244,97.45326,12.4312,93.83402,,
,,15.4125,97.4425,12.4389,93.85877,,
,,15.42254,97.43167,12.4466,93.88677,,
,,15.43258,97.42075,12.4543,93.91477,,
,,15.44262,97.40976,12.462,93.94267,,
,,15.45264,97.39869,12.4698,93.97357,,
,,15.46266,97.38754,12.4775,94.00627,,
,,15.47268,97.37631,12.4852,94.03902,,
,,15.48269,97.36501,12.4929,94.07167,,
,,15.49269,97.35363,12.5006,94.10567,,
,,15.50269,97.34218,12.5084,94.14022,,
,,15.51268,97.33065,12.5161,94.17472,,
,,15.52267,97.31905,12.5238,94.20917,,
,,15.53265,97.30737,12.5315,94.24177,,
,,15.54262,97.29562,12.5392,94.27392,,
,,15.55258,97.28379,12.547,94.30612,,
,,15.56254,97.27189,12.5547,94.33817,,
,,15.5725,97.25992,12.5624,94.36577,,
,,15.58245,97.24788,12.5701,94.39277,,
,,15.59239,97.23577,12.5779,94.41972,,
,,15.60233,97.22358,12.5856,94.44667,,
,,15.61225,97.21133,12.5933,94.47172,,
,,15.62218,97.199,12.601,94.49657,,
,,15.63265,97.18591,12.6087,94.52147,,
,,15.64256,97.17344,12.6165,94.54627,,
,,15.65246,97.16091,12.6242,94.57452,,
,,15.66236,97.1483,12.6319,94.60287,,
,,15.67225,97.13563,12.6396,94.63112,,
,,15.68214,97.12289,12.6473,94.65942,,
,,15.69257,97.10937,12.6551,94.69252,,
,,15.70244,97.09649,12.6628,94.72567,,
,,15.71231,97.08355,12.6705,94.75877,,
,,15.72217,97.07054,12.6782,94.79187,,
,,15.73257,97.05674,12.686,94.82672,,
,,15.74242,97.0436,12.6937,94.86152,,
,,15.75226,97.0304,12.7014,94.89632,,
,,15.7621,97.01713,12.7091,94.93107,,
,,15.77247,97.00306,12.7168,94.96352,,
,,15.7823,96.98967,12.7246,94.99587,,
,,15.79211,96.97621,12.7323,95.02812,,
,,15.80247,96.96194,12.74,95.06042,,
,,15.81227,96.94836,12.7477,95.08972,,
,,15.82207,96.93472,12.7554,95.11862,,
,,15.8324,96.92026,12.7632,95.14762,,
,,15.84219,96.9065,12.7709,95.17647,,
,,15.85251,96.89192,12.7786,95.20532,,
,,15.86228,96.87804,12.7863,95.23417,,
,,15.87205,96.86411,12.794,95.26292,,
,,15.88235,96.84934,12.8018,95.29167,,
,,15.8921,96.83529,12.8095,95.32137,,
,,15.90239,96.8204,12.8172,95.35127,,
,,15.91213,96.80624,12.8249,95.38117,,
,,15.9224,96.79123,12.8327,95.41102,,
,,15.93213,96.77696,12.8404,95.43947,,
,,15.94239,96.76184,12.8481,95.46712,,
,,15.95211,96.74746,12.8558,95.49482,,
,,15.96235,96.73223,12.8635,95.52247,,
,,15.97205,96.71775,12.8713,95.54827,,
,,15.98229,96.70241,12.879,95.57242,,
,,15.99198,96.68782,12.8867,95.59657,,
,,16.0022,96.67238,12.8944,95.62067,,
,,16.01241,96.67196,12.9021,95.64497,,
,,16.02208,96.72148,12.9099,95.66952,,
,,16.03228,96.72108,12.9176,95.69407,,
,,16.04247,96.72066,12.9253,95.71852,,
,,16.05212,96.72015,12.933,95.74387,,
,,16.06229,96.71971,12.9408,95.77227,,
,,16.07193,96.71917,12.9485,95.80062,,
,,16.08209,96.71871,12.9562,95.82902,,
,,16.09225,96.71823,12.9639,95.85742,,
,,16.1024,96.71774,12.9716,95.88892,,
,,16.11201,96.71716,12.9794,95.92042,,
,,16.12215,96.71664,12.9871,95.95187,,
,,16.13228,96.71611,12.9948,95.98327,,
,,16.1424,96.71557,13.0025,96.01467,,
,,16.15198,96.71493,13.0102,96.04607,,
,,16.16209,96.71436,13.018,96.07742,,
,,16.17219,96.71378,13.0257,96.10872,,
,,16.18228,96.71318,13.0334,96.13792,,
,,16.19237,96.71257,13.0411,96.16567,,
,,16.20192,96.71187,13.0488,96.19337,,
,,16.21199,96.71123,13.0566,96.22107,,
,,16.22206,96.71058,13.0643,96.24692,,
,,16.23212,96.70991,13.072,96.26952,,
,,16.24217,96.70923,13.0797,96.29197,,
,,16.25221,96.75854,13.0875,96.31447,,
,,16.26225,96.75783,13.0952,96.33677,,
,,16.27228,96.7571,13.1029,96.35677,,
,,16.2823,96.75637,13.1106,96.37677,,
,,16.29232,96.75562,13.1183,96.39672,,
,,16.3018,96.75478,13.1261,96.41667,,
,,16.3118,96.754,13.1338,96.43622,,
,,16.3218,96.7532,13.1415,96.45567,,
,,16.33179,96.7524,13.1492,96.47512,,
,,16.34229,96.75164,13.1569,96.49447,,
,,16.35227,96.75081,13.1647,96.51247,,
,,16.36223,96.74996,13.1724,96.52897,,
,,16.37219,96.74909,13.1801,96.54542,,
,,16.38214,96.74821,13.1878,96.56187,,
,,16.39208,96.74731,13.1956,96.57787,,
,,16.40202,96.7464,13.2033,96.59132,,
,,16.41195,96.74548,13.211,96.60482,,
,,16.42187,96.74454,13.2187,96.61822,,
,,16.43179,96.74359,13.2264,96.63162,,
,,16.44222,96.74269,13.2342,96.64592,,
,,16.45212,96.7417,13.2419,96.66042,,
,,16.46201,96.74071,13.2496,96.67497,,
,,16.4719,96.73969,13.2573,96.68952,,
,,16.48178,96.78867,13.265,96.70477,,
,,16.49217,96.78769,13.2728,96.72132,,
,,16.50203,96.78663,13.2805,96.73787,,
,,16.51189,96.78556,13.2882,96.75432,,
,,16.52174,96.78448,13.2959,96.77082,,
,,16.53209,96.78343,13.3036,96.78682,,
,,16.54193,96.78232,13.3114,96.80277,,
,,16.55176,96.78119,13.3191,96.81877,,
,,16.56209,96.7801,13.3268,96.83472,,
,,16.5719,96.77894,13.3345,96.84977,,
,,16.58171,96.77777,13.3423,96.86417,,
,,16.59202,96.77663,13.35,96.87852,,
,,16.60181,96.77543,13.3577,96.89287,,
,,16.61211,96.77426,13.3654,96.90707,,
,,16.62188,96.77303,13.3731,96.92057,,
,,16.63165,96.77178,13.3809,96.93412,,
,,16.64192,96.77056,13.3886,96.94762,,
,,16.65168,96.76928,13.3963,96.96112,,
,,16.66194,96.76804,13.404,96.97442,,
,,16.67114,96.76668,13.4117,96.98757,,
,,16.68206,96.76547,13.4195,97.00072,,
,,16.69298,96.76424,13.4272,97.01392,,
,,16.70116,96.76275,13.4349,97.02682,,
,,16.71208,96.81149,13.4426,97.03867,,
,,16.723,96.81021,13.4504,97.05042,,
,,16.73119,96.80868,13.4581,97.06217,,
,,16.74211,96.80737,13.4658,97.07397,,
,,16.75302,96.80604,13.4735,97.08502,,
,,16.76121,96.80448,13.4812,97.09567,,
,,16.77213,96.80312,13.489,97.10632,,
,,16.78304,96.80175,13.4967,97.11697,,
,,16.79123,96.80015,13.5044,97.12767,,
,,16.80215,96.79874,13.5121,97.13917,,
,,16.81306,96.79732,13.5198,97.15062,,
,,16.82125,96.79568,13.5276,97.16207,,
,,16.83216,96.79423,13.5353,97.17357,,
,,16.84308,96.79275,13.543,97.18452,,
