LED Item #,M365L3,,,M365L3,,,M365LP1,,,M375L4,,,M385L2,,,M385L3,,,M385LP1,,,M395L4,,,M395L5,,,M395LP1,,,M405L4,,,M405LP1,
Min Output Power (mW),880,,,880,,,1350,,,1270,,,270,,,1240,,,1650,,,400,,,1130,,,1420,,,1000,,,1200,
Scaling Constant,7.31E+01,,,7.31E+01,,,1.01E+02,,,1.61E+02,,,2.15E+01,,,9.84E+01,,,1.23E+02,,,2.42E+01,,,7.15E+01,,,8.98E+01,,,6.24E+01,,,7.33E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,3.37E+02,1.17E-01,,3.37E+02,1.17E-01,,335.9830728,8.18E-02,,227.58493,0.00E+00,,393.48024,6.83E+00,,336.54929,4.63E-02,,335.9830728,5.43E-02,,335.98307,0.00E+00,,336.5492859,9.74E-02,,336.5492859,1.22E-01,,330.2090149,4.19E-04,,335.9830728,0.00E+00
,3.37E+02,2.44E-02,,3.37E+02,2.44E-02,,336.1960047,3.21E-02,,227.65737,0.00E+00,,393.59309,6.74E+00,,336.76257,-7.41E-03,,336.1960047,-5.40E-02,,336.196,0.00E+00,,336.7625732,-4.80E-03,,336.7625732,-6.04E-03,,330.4226074,-2.44E-04,,336.1960047,0.00E+00
,3.37E+02,1.47E-01,,3.37E+02,1.47E-01,,336.4089529,9.21E-02,,227.72982,0.00E+00,,393.70594,6.59E+00,,336.97586,4.58E-02,,336.4089529,1.62E-01,,336.40895,0.00E+00,,336.9758606,2.03E-02,,336.9758606,2.55E-02,,330.636261,4.40E-04,,336.4089529,0.00E+00
,3.37E+02,2.38E-02,,3.37E+02,2.38E-02,,336.6219172,1.90E-02,,227.80226,0.00E+00,,393.81879,6.55E+00,,337.18918,8.80E-03,,336.6219172,2.10E-03,,336.62192,0.00E+00,,337.1891785,1.15E-02,,337.1891785,1.44E-02,,330.849884,-1.09E-04,,336.6219172,0.00E+00
,3.37E+02,1.61E-01,,3.37E+02,1.61E-01,,336.8348977,4.69E-02,,227.87472,0.00E+00,,393.93163,6.41E+00,,337.40250,9.36E-03,,336.8348977,8.20E-02,,336.8349,0.00E+00,,337.4024963,3.41E-02,,337.4024963,4.28E-02,,331.0635376,3.15E-04,,336.8348977,0.00E+00
,3.38E+02,5.43E-02,,3.38E+02,5.43E-02,,337.0478943,2.02E-02,,227.94717,0.00E+00,,394.04448,6.26E+00,,337.61581,3.29E-02,,337.0478943,-3.73E-02,,337.04789,0.00E+00,,337.6158142,5.39E-02,,337.6158142,6.77E-02,,331.2772217,-2.44E-04,,337.0478943,0.00E+00
,3.38E+02,1.40E-01,,3.38E+02,1.40E-01,,337.2609072,1.25E-01,,228.01963,0.00E+00,,394.15732,6.18E+00,,337.82916,3.89E-02,,337.2609072,8.16E-02,,337.26091,0.00E+00,,337.8291626,2.07E-02,,337.8291626,2.60E-02,,331.4909058,4.07E-04,,337.2609072,0.00E+00
,3.38E+02,8.27E-02,,3.38E+02,8.27E-02,,337.4739362,4.66E-02,,228.09210,0.00E+00,,394.27017,6.07E+00,,338.04254,-2.68E-02,,337.4739362,3.51E-02,,337.47394,0.00E+00,,338.0425415,2.88E-02,,338.0425415,3.62E-02,,331.7045898,-1.66E-04,,337.4739362,0.00E+00
,3.38E+02,1.53E-01,,3.38E+02,1.53E-01,,337.6869813,9.67E-02,,228.16457,0.00E+00,,394.38301,6.00E+00,,338.25592,1.33E-02,,337.6869813,1.29E-01,,337.68698,0.00E+00,,338.2559204,7.51E-02,,338.2559204,9.44E-02,,331.9183044,4.30E-04,,337.6869813,0.00E+00
,3.38E+02,2.93E-02,,3.38E+02,2.93E-02,,337.9000426,1.33E-02,,228.23705,0.00E+00,,394.49585,5.88E+00,,338.46930,3.58E-02,,337.9000426,-7.81E-02,,337.90004,0.00E+00,,338.4692993,-1.97E-03,,338.4692993,-2.48E-03,,332.132019,-3.15E-05,,337.9000426,0.00E+00
,3.39E+02,1.15E-01,,3.39E+02,1.15E-01,,338.1131201,8.37E-02,,228.30952,0.00E+00,,394.60869,5.69E+00,,338.68271,3.95E-02,,338.1131201,5.79E-02,,338.11312,0.00E+00,,338.6827087,4.19E-02,,338.6827087,5.26E-02,,332.3457642,4.24E-04,,338.1131201,0.00E+00
,3.39E+02,3.91E-02,,3.39E+02,3.91E-02,,338.3262137,7.93E-02,,228.38201,0.00E+00,,394.72153,5.63E+00,,338.89615,4.92E-02,,338.3262137,-3.89E-02,,338.32621,0.00E+00,,338.8961487,-2.96E-02,,338.8961487,-3.71E-02,,332.5595093,-1.28E-04,,338.3262137,0.00E+00
,3.39E+02,4.83E-02,,3.39E+02,4.83E-02,,338.5393234,1.32E-01,,228.45450,0.00E+00,,394.83437,5.49E+00,,339.10959,7.31E-02,,338.5393234,1.45E-01,,338.53932,0.00E+00,,339.1095886,5.50E-02,,339.1095886,6.91E-02,,332.7732544,4.81E-04,,338.5393234,0.00E+00
,3.39E+02,1.08E-01,,3.39E+02,1.08E-01,,338.7524493,9.22E-02,,228.52699,0.00E+00,,394.94721,5.40E+00,,339.32303,-3.71E-03,,338.7524493,-1.29E-02,,338.75245,0.00E+00,,339.3230286,1.56E-03,,339.3230286,1.97E-03,,332.98703,-2.99E-04,,338.7524493,0.00E+00
,3.40E+02,9.95E-02,,3.40E+02,9.95E-02,,338.9655913,1.23E-01,,228.59949,0.00E+00,,395.06005,5.27E+00,,339.53650,2.81E-02,,338.9655913,1.09E-01,,338.96559,0.00E+00,,339.536499,1.02E-01,,339.536499,1.28E-01,,333.2008057,2.97E-04,,338.9655913,0.00E+00
,3.40E+02,6.23E-02,,3.40E+02,6.23E-02,,339.1787494,-5.67E-02,,228.67199,0.00E+00,,395.17289,5.10E+00,,339.75000,-5.22E-02,,339.1787494,-1.42E-01,,339.17875,0.00E+00,,339.75,-2.25E-02,,339.75,-2.83E-02,,333.4146118,-3.71E-04,,339.1787494,0.00E+00
,3.40E+02,1.24E-01,,3.40E+02,1.24E-01,,339.3919237,1.85E-02,,228.74449,0.00E+00,,395.28572,5.07E+00,,339.96350,3.57E-02,,339.3919237,5.84E-02,,339.39192,0.00E+00,,339.963501,7.65E-02,,339.963501,9.62E-02,,333.628418,2.13E-04,,339.3919237,0.00E+00
,3.40E+02,2.00E-02,,3.40E+02,2.00E-02,,339.6051141,1.40E-01,,228.81700,0.00E+00,,395.39856,4.95E+00,,340.17700,-1.67E-02,,339.6051141,-1.27E-02,,339.60511,0.00E+00,,340.177002,8.99E-03,,340.177002,1.13E-02,,333.8422546,-3.10E-04,,339.6051141,0.00E+00
,3.40E+02,9.22E-02,,3.40E+02,9.22E-02,,339.8183206,7.32E-02,,228.88952,0.00E+00,,395.5114,4.79E+00,,340.39053,4.81E-02,,339.8183206,5.76E-02,,339.81832,0.00E+00,,340.3905334,6.73E-02,,340.3905334,8.46E-02,,334.0560913,6.20E-04,,339.8183206,0.00E+00
,3.41E+02,4.95E-02,,3.41E+02,4.95E-02,,340.0315432,8.29E-02,,228.96204,0.00E+00,,395.62423,4.68E+00,,340.60410,-8.61E-02,,340.0315432,1.50E-02,,340.03154,0.00E+00,,340.6040955,1.92E-02,,340.6040955,2.42E-02,,334.269928,-1.75E-04,,340.0315432,0.00E+00
,3.41E+02,1.02E-01,,3.41E+02,1.02E-01,,340.2447819,7.27E-02,,229.03456,0.00E+00,,395.73706,4.55E+00,,340.81766,9.86E-03,,340.2447819,1.33E-01,,340.24478,0.00E+00,,340.8176575,6.03E-02,,340.8176575,7.57E-02,,334.4837952,3.01E-04,,340.2447819,0.00E+00
,3.41E+02,3.19E-02,,3.41E+02,3.19E-02,,340.4580367,6.39E-02,,229.10709,0.00E+00,,395.8499,4.50E+00,,341.03122,-1.90E-02,,340.4580367,-2.28E-02,,340.45804,0.00E+00,,341.0312195,2.00E-02,,341.0312195,2.51E-02,,334.6976624,-4.38E-05,,340.4580367,0.00E+00
,3.41E+02,1.26E-01,,3.41E+02,1.26E-01,,340.6713077,1.33E-01,,229.17962,0.00E+00,,395.96273,4.26E+00,,341.24481,7.60E-02,,340.6713077,7.45E-02,,340.67131,0.00E+00,,341.244812,1.61E-02,,341.244812,2.02E-02,,334.9115601,3.12E-04,,340.6713077,0.00E+00
,3.41E+02,5.67E-02,,3.41E+02,5.67E-02,,340.8845947,3.02E-03,,229.25216,0.00E+00,,396.07556,4.21E+00,,341.45844,-8.50E-04,,340.8845947,-5.41E-02,,340.88459,0.00E+00,,341.4584351,-4.45E-03,,341.4584351,-5.59E-03,,335.1254578,-9.75E-05,,340.8845947,0.00E+00
,3.42E+02,1.24E-01,,3.42E+02,1.24E-01,,341.0978978,9.99E-02,,229.32470,0.00E+00,,396.18839,4.08E+00,,341.67203,4.45E-03,,341.0978978,6.40E-02,,341.0979,0.00E+00,,341.6720276,6.56E-02,,341.6720276,8.24E-02,,335.3393555,6.32E-04,,341.0978978,0.00E+00
,3.42E+02,3.86E-02,,3.42E+02,3.86E-02,,341.311217,-2.08E-02,,229.39725,0.00E+00,,396.30122,4.04E+00,,341.88568,-1.17E-01,,341.311217,-4.67E-02,,341.31122,0.00E+00,,341.8856812,4.47E-02,,341.8856812,5.62E-02,,335.5532837,-3.29E-04,,341.311217,0.00E+00
,3.42E+02,3.80E-02,,3.42E+02,3.80E-02,,341.5245523,-3.83E-03,,229.46980,0.00E+00,,396.41405,3.90E+00,,342.09933,7.41E-02,,341.5245523,9.03E-02,,341.52455,0.00E+00,,342.0993347,6.10E-02,,342.0993347,7.66E-02,,335.7672119,5.46E-04,,341.5245523,0.00E+00
,3.42E+02,4.80E-02,,3.42E+02,4.80E-02,,341.7379037,2.83E-02,,229.54235,0.00E+00,,396.52688,3.85E+00,,342.31299,-8.22E-03,,341.7379037,-5.53E-02,,341.7379,0.00E+00,,342.3129883,4.08E-02,,342.3129883,5.13E-02,,335.9811707,7.93E-06,,341.7379037,0.00E+00
,3.43E+02,7.81E-02,,3.43E+02,7.81E-02,,341.9512712,2.53E-02,,229.61491,0.00E+00,,396.6397,3.75E+00,,342.52667,1.04E-02,,341.9512712,1.29E-01,,341.95127,0.00E+00,,342.5266724,4.54E-02,,342.5266724,5.71E-02,,336.1951294,4.60E-04,,341.9512712,0.00E+00
,3.43E+02,1.04E-01,,3.43E+02,1.04E-01,,342.1646547,7.94E-02,,229.68748,0.00E+00,,396.75253,3.69E+00,,342.74036,-2.34E-02,,342.1646547,-1.65E-02,,342.16465,0.00E+00,,342.7403564,2.56E-02,,342.7403564,3.22E-02,,336.4091187,-3.20E-04,,342.1646547,0.00E+00
,3.43E+02,1.27E-01,,3.43E+02,1.27E-01,,342.3780543,9.52E-02,,229.76005,0.00E+00,,396.86536,3.54E+00,,342.95407,2.72E-02,,342.3780543,1.40E-01,,342.37805,0.00E+00,,342.954071,7.09E-02,,342.954071,8.91E-02,,336.6231079,3.98E-04,,342.3780543,0.00E+00
,3.43E+02,6.70E-02,,3.43E+02,6.70E-02,,342.59147,-3.06E-02,,229.83262,0.00E+00,,396.97818,3.45E+00,,343.16782,-7.46E-02,,342.59147,-7.18E-02,,342.59147,0.00E+00,,343.1678162,-8.34E-03,,343.1678162,-1.05E-02,,336.8370972,-3.23E-04,,342.59147,0.00E+00
,3.43E+02,1.49E-01,,3.43E+02,1.49E-01,,342.8049017,8.99E-02,,229.90520,0.00E+00,,397.09101,3.34E+00,,343.38156,5.59E-02,,342.8049017,1.52E-01,,342.8049,0.00E+00,,343.3815613,5.71E-02,,343.3815613,7.17E-02,,337.0511169,6.70E-04,,342.8049017,0.00E+00
,3.44E+02,1.94E-02,,3.44E+02,1.94E-02,,343.0183495,2.52E-02,,229.97778,0.00E+00,,397.20383,3.34E+00,,343.59531,-1.29E-02,,343.0183495,-5.10E-02,,343.01835,0.00E+00,,343.5953064,-5.86E-03,,343.5953064,-7.37E-03,,337.2651367,3.08E-06,,343.0183495,0.00E+00
,3.44E+02,1.48E-01,,3.44E+02,1.48E-01,,343.2318134,1.28E-01,,230.05036,0.00E+00,,397.31665,3.20E+00,,343.80908,8.28E-02,,343.2318134,1.51E-01,,343.23181,0.00E+00,,343.809082,4.08E-02,,343.809082,5.13E-02,,337.4791565,3.39E-04,,343.2318134,0.00E+00
,3.44E+02,5.85E-02,,3.44E+02,5.85E-02,,343.4452932,8.46E-02,,230.12295,0.00E+00,,397.42948,3.11E+00,,344.02286,-3.34E-02,,343.4452932,-3.12E-02,,343.44529,0.00E+00,,344.0228577,-1.82E-02,,344.0228577,-2.29E-02,,337.6932068,-3.96E-04,,343.4452932,0.00E+00
,3.44E+02,1.09E-01,,3.44E+02,1.09E-01,,343.6587892,1.41E-01,,230.19555,0.00E+00,,397.5423,2.99E+00,,344.23666,7.25E-02,,343.6587892,1.75E-01,,343.65879,0.00E+00,,344.2366638,6.80E-02,,344.2366638,8.55E-02,,337.9072876,3.58E-04,,343.6587892,0.00E+00
,3.44E+02,6.60E-02,,3.44E+02,6.60E-02,,343.8723012,3.29E-02,,230.26815,0.00E+00,,397.65512,3.04E+00,,344.45047,-1.11E-02,,343.8723012,-6.51E-02,,343.8723,0.00E+00,,344.45047,2.91E-02,,344.45047,3.66E-02,,338.1213684,-2.67E-04,,343.8723012,0.00E+00
,3.45E+02,1.41E-01,,3.45E+02,1.41E-01,,344.0858292,7.80E-02,,230.34075,0.00E+00,,397.76794,2.91E+00,,344.66431,7.32E-02,,344.0858292,7.31E-02,,344.08583,0.00E+00,,344.6643066,7.26E-02,,344.6643066,9.13E-02,,338.3354492,1.57E-04,,344.0858292,0.00E+00
,3.45E+02,7.59E-02,,3.45E+02,7.59E-02,,344.2993732,5.55E-02,,230.41336,0.00E+00,,397.88076,2.86E+00,,344.87814,-4.98E-02,,344.2993732,-1.92E-02,,344.29937,0.00E+00,,344.8781433,1.00E-02,,344.8781433,1.26E-02,,338.5495605,-2.76E-04,,344.2993732,0.00E+00
,3.45E+02,1.29E-01,,3.45E+02,1.29E-01,,344.5129333,1.14E-01,,230.48597,0.00E+00,,397.99358,2.83E+00,,345.09201,6.40E-03,,344.5129333,7.41E-02,,344.51293,0.00E+00,,345.0920105,6.63E-02,,345.0920105,8.33E-02,,338.7636719,2.24E-04,,344.5129333,0.00E+00
,3.45E+02,6.80E-02,,3.45E+02,6.80E-02,,344.7265094,8.28E-04,,230.55859,0.00E+00,,398.1064,2.73E+00,,345.30588,-5.21E-02,,344.7265094,-6.32E-02,,344.72651,0.00E+00,,345.3058777,4.15E-02,,345.3058777,5.22E-02,,338.9777832,-2.92E-04,,344.7265094,0.00E+00
,3.46E+02,1.82E-01,,3.46E+02,1.82E-01,,344.9401015,1.09E-01,,230.63121,0.00E+00,,398.21922,2.61E+00,,345.51978,4.81E-02,,344.9401015,1.04E-01,,344.9401,0.00E+00,,345.5197754,3.55E-02,,345.5197754,4.46E-02,,339.191925,3.10E-04,,344.9401015,0.00E+00
,3.46E+02,1.10E-01,,3.46E+02,1.10E-01,,345.1537097,1.90E-01,,230.70384,0.00E+00,,398.33203,2.67E+00,,345.73367,5.24E-02,,345.1537097,7.46E-02,,345.15371,0.00E+00,,345.7336731,1.22E-02,,345.7336731,1.53E-02,,339.4060974,-2.56E-04,,345.1537097,0.00E+00
,3.46E+02,9.25E-02,,3.46E+02,9.25E-02,,345.3673338,2.11E-01,,230.77647,0.00E+00,,398.44485,2.55E+00,,345.94760,7.07E-02,,345.3673338,1.94E-01,,345.36733,0.00E+00,,345.9476013,7.94E-02,,345.9476013,9.97E-02,,339.6202393,5.10E-04,,345.3673338,0.00E+00
,3.46E+02,5.58E-02,,3.46E+02,5.58E-02,,345.580974,6.80E-02,,230.84910,0.00E+00,,398.55767,2.55E+00,,346.16153,-3.04E-02,,345.580974,-6.84E-02,,345.58097,0.00E+00,,346.1615295,3.27E-02,,346.1615295,4.11E-02,,339.8344421,-1.23E-04,,345.580974,0.00E+00
,3.46E+02,1.20E-01,,3.46E+02,1.20E-01,,345.7946302,1.60E-01,,230.92174,0.00E+00,,398.67048,2.46E+00,,346.37549,-2.31E-02,,345.7946302,8.65E-02,,345.79463,0.00E+00,,346.3754883,1.68E-02,,346.3754883,2.11E-02,,340.0486145,3.25E-04,,345.7946302,0.00E+00
,3.47E+02,1.46E-01,,3.47E+02,1.46E-01,,346.0083024,-1.22E-02,,230.99439,0.00E+00,,398.7833,2.47E+00,,346.58945,-6.70E-02,,346.0083024,-1.14E-01,,346.0083,0.00E+00,,346.589447,5.14E-02,,346.589447,6.46E-02,,340.2628174,-1.66E-04,,346.0083024,0.00E+00
,3.47E+02,1.76E-01,,3.47E+02,1.76E-01,,346.2219905,1.36E-01,,231.06703,0.00E+00,,398.89611,2.37E+00,,346.80344,5.23E-02,,346.2219905,1.17E-01,,346.22199,0.00E+00,,346.8034363,4.33E-02,,346.8034363,5.44E-02,,340.4770508,3.69E-04,,346.2219905,0.00E+00
,3.47E+02,1.04E-01,,3.47E+02,1.04E-01,,346.4356947,1.27E-01,,231.13969,0.00E+00,,399.00892,2.37E+00,,347.01743,4.86E-02,,346.4356947,-2.27E-02,,346.43569,0.00E+00,,347.0174255,2.45E-02,,347.0174255,3.08E-02,,340.6912842,-3.42E-04,,346.4356947,0.00E+00
,3.47E+02,1.50E-01,,3.47E+02,1.50E-01,,346.6494149,1.63E-01,,231.21234,0.00E+00,,399.12174,2.28E+00,,347.23145,8.81E-02,,346.6494149,2.38E-01,,346.64941,0.00E+00,,347.2314453,2.49E-02,,347.2314453,3.13E-02,,340.9055176,3.64E-04,,346.6494149,0.00E+00
,3.47E+02,1.46E-01,,3.47E+02,1.46E-01,,346.863151,9.08E-02,,231.28501,0.00E+00,,399.23455,2.31E+00,,347.44547,-4.85E-02,,346.863151,-4.38E-02,,346.86315,0.00E+00,,347.4454651,-3.24E-02,,347.4454651,-4.07E-02,,341.119751,-1.48E-04,,346.863151,0.00E+00
,3.48E+02,1.43E-01,,3.48E+02,1.43E-01,,347.0769031,1.01E-01,,231.35767,0.00E+00,,399.34736,2.26E+00,,347.65948,8.72E-02,,347.0769031,1.64E-01,,347.0769,0.00E+00,,347.6594849,2.49E-02,,347.6594849,3.13E-02,,341.3340454,5.43E-04,,347.0769031,0.00E+00
,3.48E+02,1.75E-01,,3.48E+02,1.75E-01,,347.2906712,-1.48E-02,,231.43034,0.00E+00,,399.46017,2.30E+00,,347.87357,-3.82E-02,,347.2906712,-1.55E-02,,347.29067,0.00E+00,,347.8735657,7.76E-02,,347.8735657,9.75E-02,,341.5483093,-3.17E-04,,347.2906712,0.00E+00
,3.48E+02,1.90E-01,,3.48E+02,1.90E-01,,347.5044553,1.92E-01,,231.50302,0.00E+00,,399.57298,2.19E+00,,348.08762,9.24E-02,,347.5044553,1.98E-01,,347.50446,0.00E+00,,348.087616,7.12E-02,,348.087616,8.95E-02,,341.7626038,3.17E-04,,347.5044553,0.00E+00
,3.48E+02,5.65E-02,,3.48E+02,5.65E-02,,347.7182553,9.91E-02,,231.57569,0.00E+00,,399.68579,2.19E+00,,348.30170,-2.47E-02,,347.7182553,-5.52E-02,,347.71826,0.00E+00,,348.3016968,2.35E-02,,348.3016968,2.95E-02,,341.9768982,-2.25E-04,,347.7182553,0.00E+00
,3.49E+02,1.58E-01,,3.49E+02,1.58E-01,,347.9320714,-3.58E-02,,231.64838,0.00E+00,,399.7986,2.13E+00,,348.51581,2.00E-02,,347.9320714,6.58E-02,,347.93207,0.00E+00,,348.5158081,4.58E-02,,348.5158081,5.75E-02,,342.1912231,2.52E-04,,347.9320714,0.00E+00
,3.49E+02,1.17E-01,,3.49E+02,1.17E-01,,348.1459033,7.78E-02,,231.72107,0.00E+00,,399.91141,2.08E+00,,348.72992,1.51E-02,,348.1459033,-2.80E-02,,348.1459,0.00E+00,,348.7299194,6.24E-02,,348.7299194,7.84E-02,,342.4055481,-3.43E-04,,348.1459033,0.00E+00
,3.49E+02,1.81E-01,,3.49E+02,1.81E-01,,348.3597513,1.80E-01,,231.79376,0.00E+00,,400.02421,2.09E+00,,348.94406,1.00E-01,,348.3597513,1.64E-01,,348.35975,0.00E+00,,348.9440613,8.64E-02,,348.9440613,1.09E-01,,342.6199036,5.76E-04,,348.3597513,0.00E+00
,3.49E+02,1.31E-01,,3.49E+02,1.31E-01,,348.5736152,2.12E-01,,231.86645,0.00E+00,,400.13702,2.04E+00,,349.15820,-3.97E-02,,348.5736152,-7.56E-02,,348.57362,0.00E+00,,349.1582031,4.99E-04,,349.1582031,6.27E-04,,342.834259,-8.05E-05,,348.5736152,0.00E+00
,3.49E+02,1.55E-01,,3.49E+02,1.55E-01,,348.787495,1.46E-01,,231.93916,0.00E+00,,400.24983,1.93E+00,,349.37235,8.44E-02,,348.787495,1.65E-01,,348.78749,0.00E+00,,349.372345,4.86E-02,,349.372345,6.11E-02,,343.0486145,3.37E-04,,348.787495,0.00E+00
,3.50E+02,1.28E-01,,3.50E+02,1.28E-01,,349.0013908,1.46E-01,,232.01186,0.00E+00,,400.36263,1.94E+00,,349.58652,-3.24E-02,,349.0013908,-5.10E-02,,349.00139,0.00E+00,,349.5865173,6.42E-02,,349.5865173,8.06E-02,,343.2630005,1.06E-05,,349.0013908,0.00E+00
,3.50E+02,1.86E-01,,3.50E+02,1.86E-01,,349.2153025,1.77E-01,,232.08457,0.00E+00,,400.47544,1.90E+00,,349.80072,9.58E-02,,349.2153025,1.10E-01,,349.2153,0.00E+00,,349.8007202,2.53E-02,,349.8007202,3.17E-02,,343.4773865,3.73E-04,,349.2153025,0.00E+00
,3.50E+02,1.49E-01,,3.50E+02,1.49E-01,,349.4292302,6.34E-02,,232.15729,0.00E+00,,400.58824,1.91E+00,,350.01492,-2.06E-02,,349.4292302,1.03E-02,,349.42923,0.00E+00,,350.0149231,2.27E-03,,350.0149231,2.86E-03,,343.691803,5.57E-05,,349.4292302,0.00E+00
,3.50E+02,1.96E-01,,3.50E+02,1.96E-01,,349.6431738,1.06E-01,,232.23000,0.00E+00,,400.70105,1.82E+00,,350.22913,6.33E-02,,349.6431738,1.55E-01,,349.64317,0.00E+00,,350.229126,6.17E-02,,350.229126,7.75E-02,,343.9062195,5.54E-04,,349.6431738,0.00E+00
,3.50E+02,1.43E-01,,3.50E+02,1.43E-01,,349.8571333,2.30E-01,,232.30273,0.00E+00,,400.81385,1.79E+00,,350.44336,-2.94E-03,,349.8571333,1.86E-02,,349.85713,0.00E+00,,350.4433594,3.37E-02,,350.4433594,4.24E-02,,344.120636,-5.43E-04,,349.8571333,0.00E+00
,3.51E+02,2.34E-01,,3.51E+02,2.34E-01,,350.0711087,1.08E-01,,232.37545,0.00E+00,,400.92666,1.74E+00,,350.65762,7.53E-02,,350.0711087,1.50E-01,,350.07111,0.00E+00,,350.6576233,7.94E-02,,350.6576233,9.97E-02,,344.335083,4.80E-04,,350.0711087,0.00E+00
,3.51E+02,2.15E-01,,3.51E+02,2.15E-01,,350.2851001,1.70E-01,,232.44819,0.00E+00,,401.03946,1.72E+00,,350.87189,2.92E-02,,350.2851001,-4.12E-02,,350.2851,0.00E+00,,350.8718872,1.25E-02,,350.8718872,1.57E-02,,344.5495605,4.62E-05,,350.2851001,0.00E+00
,3.51E+02,2.20E-01,,3.51E+02,2.20E-01,,350.4991074,2.77E-01,,232.52092,0.00E+00,,401.15226,1.62E+00,,351.08615,8.13E-02,,350.4991074,1.08E-01,,350.49911,0.00E+00,,351.0861511,6.59E-02,,351.0861511,8.28E-02,,344.7640076,4.68E-04,,350.4991074,0.00E+00
,3.51E+02,2.15E-01,,3.51E+02,2.15E-01,,350.7131306,2.02E-01,,232.59366,0.00E+00,,401.26506,1.60E+00,,351.30045,3.20E-02,,350.7131306,-6.50E-02,,350.71313,0.00E+00,,351.3004456,8.57E-04,,351.3004456,1.08E-03,,344.9784851,-1.18E-04,,350.7131306,0.00E+00
,3.52E+02,2.41E-01,,3.52E+02,2.41E-01,,350.9271697,4.24E-01,,232.66641,0.00E+00,,401.37786,1.53E+00,,351.51477,4.27E-02,,350.9271697,1.03E-01,,350.92717,0.00E+00,,351.5147705,3.69E-02,,351.5147705,4.64E-02,,345.1929932,4.13E-04,,350.9271697,0.00E+00
,3.52E+02,2.12E-01,,3.52E+02,2.12E-01,,351.1412247,3.95E-01,,232.73916,0.00E+00,,401.49066,1.49E+00,,351.72910,-6.57E-02,,351.1412247,3.72E-02,,351.14122,0.00E+00,,351.7290955,1.91E-03,,351.7290955,2.40E-03,,345.4075012,-1.59E-04,,351.1412247,0.00E+00
,3.52E+02,2.81E-01,,3.52E+02,2.81E-01,,351.3552957,5.13E-01,,232.81191,0.00E+00,,401.60346,1.44E+00,,351.94342,5.10E-02,,351.3552957,1.28E-01,,351.3553,0.00E+00,,351.9434204,3.90E-02,,351.9434204,4.91E-02,,345.6220093,4.91E-04,,351.3552957,0.00E+00
,3.52E+02,2.23E-01,,3.52E+02,2.23E-01,,351.5693825,4.44E-01,,232.88467,0.00E+00,,401.71626,1.45E+00,,352.15778,3.36E-02,,351.5693825,-1.25E-02,,351.56938,0.00E+00,,352.1577759,-2.53E-02,,352.1577759,-3.18E-02,,345.8365479,-2.12E-04,,351.5693825,0.00E+00
,3.52E+02,3.10E-01,,3.52E+02,3.10E-01,,351.7834852,6.19E-01,,232.95743,0.00E+00,,401.82906,1.37E+00,,352.37213,5.77E-02,,351.7834852,8.50E-02,,351.78349,0.00E+00,,352.3721313,7.40E-02,,352.3721313,9.31E-02,,346.0510864,2.06E-04,,351.7834852,0.00E+00
,3.53E+02,2.90E-01,,3.53E+02,2.90E-01,,351.9976038,6.43E-01,,233.03020,0.00E+00,,401.94186,1.35E+00,,352.58652,1.38E-02,,351.9976038,-3.21E-02,,351.9976,0.00E+00,,352.5865173,3.80E-02,,352.5865173,4.77E-02,,346.2656555,-3.57E-05,,351.9976038,0.00E+00
,3.53E+02,3.42E-01,,3.53E+02,3.42E-01,,352.2117383,8.44E-01,,233.10297,0.00E+00,,402.05466,1.26E+00,,352.80090,6.21E-02,,352.2117383,1.35E-01,,352.21174,0.00E+00,,352.8009033,6.13E-02,,352.8009033,7.71E-02,,346.4802246,4.53E-04,,352.2117383,0.00E+00
,3.53E+02,3.33E-01,,3.53E+02,3.33E-01,,352.4258887,7.98E-01,,233.17575,0.00E+00,,402.16746,1.23E+00,,353.01532,1.72E-02,,352.4258887,-2.70E-02,,352.42589,0.00E+00,,353.0153198,-1.33E-02,,353.0153198,-1.67E-02,,346.6947937,-2.41E-04,,352.4258887,0.00E+00
,3.53E+02,4.81E-01,,3.53E+02,4.81E-01,,352.6400549,1.03E+00,,233.24853,0.00E+00,,402.28025,1.20E+00,,353.22977,1.35E-02,,352.6400549,1.69E-01,,352.64005,0.00E+00,,353.2297668,8.54E-02,,353.2297668,1.07E-01,,346.9093933,4.30E-04,,352.6400549,0.00E+00
,3.53E+02,3.60E-01,,3.53E+02,3.60E-01,,352.854237,1.03E+00,,233.32131,0.00E+00,,402.39305,1.14E+00,,353.44418,2.63E-02,,352.854237,6.27E-02,,352.85424,0.00E+00,,353.4441833,3.34E-02,,353.4441833,4.19E-02,,347.1239929,-6.15E-05,,352.854237,0.00E+00
