LED Item #,M365L3,,,M365L3,,,M365LP1,,,M375L4,,,M385L2,,,M385L3,,,M385LP1,,,M395L4,,,M395L5,,,M395LP1,,,M405L4,,,M405LP1,
Min Output Power (mW),880,,,880,,,1350,,,1270,,,270,,,1240,,,1650,,,400,,,1130,,,1420,,,1000,,,1200,
Scaling Constant,7.31E+01,,,7.31E+01,,,1.01E+02,,,1.61E+02,,,2.15E+01,,,9.84E+01,,,1.23E+02,,,2.42E+01,,,7.15E+01,,,8.98E+01,,,6.24E+01,,,7.33E+01,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,2.03E+02,-1.73E-02,,2.03E+02,-1.73E-02,,202.9992808,-4.48E-02,,182.12177,0.00E+00,,320.77615,7.08E-03,,203.08005,3.85E-03,,202.9992808,0.00E+00,,202.99928,0.00E+00,,203.0800476,2.74E-02,,203.0800476,3.44E-02,,195.9985657,0.00E+00,,202.9992808,0.00E+00
,2.03E+02,5.22E-02,,2.03E+02,5.22E-02,,203.2010189,4.54E-03,,182.19110,0.00E+00,,320.89045,0.00E+00,,203.28302,2.77E-02,,203.2010189,0.00E+00,,203.20102,0.00E+00,,203.28302,5.45E-03,,203.28302,6.85E-03,,196.2035675,0.00E+00,,203.2010189,0.00E+00
,2.03E+02,4.84E-02,,2.03E+02,4.84E-02,,203.4027758,-7.30E-02,,182.26045,0.00E+00,,321.00474,4.85E-03,,203.48601,-3.11E-02,,203.4027758,0.00E+00,,203.40278,0.00E+00,,203.4860077,-5.18E-02,,203.4860077,-6.51E-02,,196.4085846,0.00E+00,,203.4027758,0.00E+00
,2.04E+02,7.53E-02,,2.04E+02,7.53E-02,,203.6045514,2.67E-02,,182.32980,0.00E+00,,321.11903,0.00E+00,,203.68901,3.11E-02,,203.6045514,0.00E+00,,203.60455,0.00E+00,,203.6890106,5.35E-02,,203.6890106,6.73E-02,,196.6136169,0.00E+00,,203.6045514,0.00E+00
,2.04E+02,-2.80E-02,,2.04E+02,-2.80E-02,,203.8063457,1.07E-02,,182.39915,0.00E+00,,321.23332,6.71E-03,,203.89203,-7.91E-02,,203.8063457,0.00E+00,,203.80635,0.00E+00,,203.8920288,-5.62E-04,,203.8920288,-7.06E-04,,196.8186646,0.00E+00,,203.8063457,0.00E+00
,2.04E+02,8.46E-02,,2.04E+02,8.46E-02,,204.0081587,4.74E-02,,182.46851,0.00E+00,,321.3476,0.00E+00,,204.09506,3.52E-02,,204.0081587,0.00E+00,,204.00816,0.00E+00,,204.0950623,3.69E-02,,204.0950623,4.64E-02,,197.0237274,0.00E+00,,204.0081587,0.00E+00
,2.04E+02,-2.16E-02,,2.04E+02,-2.16E-02,,204.2099905,-5.65E-02,,182.53788,0.00E+00,,321.46188,2.75E-02,,204.29811,-7.05E-02,,204.2099905,0.00E+00,,204.20999,0.00E+00,,204.298111,-4.45E-03,,204.298111,-5.59E-03,,197.2288055,0.00E+00,,204.2099905,0.00E+00
,2.05E+02,7.87E-02,,2.05E+02,7.87E-02,,204.411841,-9.00E-03,,182.60725,0.00E+00,,321.57616,1.05E-02,,204.50119,6.24E-03,,204.411841,0.00E+00,,204.41184,0.00E+00,,204.5011902,5.78E-02,,204.5011902,7.26E-02,,197.4338989,0.00E+00,,204.411841,0.00E+00
,2.05E+02,6.83E-03,,2.05E+02,6.83E-03,,204.6137102,-2.33E-02,,182.67662,0.00E+00,,321.69043,0.00E+00,,204.70428,-6.51E-02,,204.6137102,0.00E+00,,204.61371,0.00E+00,,204.7042847,-7.99E-03,,204.7042847,-1.00E-02,,197.6389923,0.00E+00,,204.6137102,0.00E+00
,2.05E+02,7.60E-02,,2.05E+02,7.60E-02,,204.8155981,8.64E-02,,182.74600,0.00E+00,,321.8047,1.64E-02,,204.90738,1.01E-01,,204.8155981,0.00E+00,,204.8156,0.00E+00,,204.9073792,4.51E-02,,204.9073792,5.66E-02,,197.8441162,0.00E+00,,204.8155981,0.00E+00
,2.05E+02,-2.59E-02,,2.05E+02,-2.59E-02,,205.0175048,-6.68E-02,,182.81539,0.00E+00,,321.91897,1.12E-02,,205.11050,-7.14E-02,,205.0175048,0.00E+00,,205.0175,0.00E+00,,205.1105042,-1.93E-02,,205.1105042,-2.43E-02,,198.0492554,0.00E+00,,205.0175048,0.00E+00
,2.05E+02,2.21E-02,,2.05E+02,2.21E-02,,205.2194301,6.05E-02,,182.88478,0.00E+00,,322.03323,0.00E+00,,205.31364,1.92E-02,,205.2194301,0.00E+00,,205.21943,0.00E+00,,205.3136444,5.92E-02,,205.3136444,7.44E-02,,198.2543945,0.00E+00,,205.2194301,0.00E+00
,2.06E+02,2.63E-02,,2.06E+02,2.63E-02,,205.4213742,-1.91E-02,,182.95417,0.00E+00,,322.14748,8.94E-03,,205.51680,2.95E-02,,205.4213742,0.00E+00,,205.42137,0.00E+00,,205.5167999,-1.26E-02,,205.5167999,-1.58E-02,,198.459549,0.00E+00,,205.4213742,0.00E+00
,2.06E+02,6.37E-02,,2.06E+02,6.37E-02,,205.6233369,-4.47E-02,,183.02358,0.00E+00,,322.26174,0.00E+00,,205.71997,1.77E-02,,205.6233369,0.00E+00,,205.62334,0.00E+00,,205.7199707,4.89E-02,,205.7199707,6.15E-02,,198.6647339,0.00E+00,,205.6233369,0.00E+00
,2.06E+02,1.28E-03,,2.06E+02,1.28E-03,,205.8253183,-9.51E-03,,183.09298,0.00E+00,,322.37599,0.00E+00,,205.92316,-2.89E-02,,205.8253183,0.00E+00,,205.82532,0.00E+00,,205.9231567,1.61E-02,,205.9231567,2.02E-02,,198.8699188,0.00E+00,,205.8253183,0.00E+00
,2.06E+02,4.85E-02,,2.06E+02,4.85E-02,,206.0273184,1.48E-01,,183.16239,0.00E+00,,322.49024,0.00E+00,,206.12637,2.63E-02,,206.0273184,0.00E+00,,206.02732,0.00E+00,,206.1263733,7.55E-02,,206.1263733,9.48E-02,,199.075119,0.00E+00,,206.0273184,0.00E+00
,2.06E+02,-2.68E-03,,2.06E+02,-2.68E-03,,206.2293372,1.96E-02,,183.23181,0.00E+00,,322.60448,3.01E-02,,206.32959,1.34E-02,,206.2293372,0.00E+00,,206.22934,0.00E+00,,206.3295898,1.56E-03,,206.3295898,1.96E-03,,199.2803345,0.00E+00,,206.2293372,0.00E+00
,2.07E+02,8.30E-02,,2.07E+02,8.30E-02,,206.4313747,3.92E-02,,183.30123,0.00E+00,,322.71872,7.10E-03,,206.53284,1.76E-02,,206.4313747,0.00E+00,,206.43137,0.00E+00,,206.5328369,2.67E-02,,206.5328369,3.35E-02,,199.4855652,0.00E+00,,206.4313747,0.00E+00
,2.07E+02,-6.60E-02,,2.07E+02,-6.60E-02,,206.6334309,7.78E-03,,183.37066,0.00E+00,,322.83296,8.57E-03,,206.73610,2.25E-02,,206.6334309,0.00E+00,,206.63343,0.00E+00,,206.7360992,-4.55E-02,,206.7360992,-5.71E-02,,199.6908112,0.00E+00,,206.6334309,0.00E+00
,2.07E+02,5.48E-02,,2.07E+02,5.48E-02,,206.8355057,9.88E-02,,183.44009,0.00E+00,,322.94719,0.00E+00,,206.93938,1.89E-02,,206.8355057,0.00E+00,,206.83551,0.00E+00,,206.9393768,4.36E-02,,206.9393768,5.48E-02,,199.8960724,0.00E+00,,206.8355057,0.00E+00
,2.07E+02,-1.25E-02,,2.07E+02,-1.25E-02,,207.0375992,5.62E-04,,183.50953,0.00E+00,,323.06142,9.32E-03,,207.14267,1.67E-02,,207.0375992,0.00E+00,,207.0376,0.00E+00,,207.1426697,1.85E-02,,207.1426697,2.33E-02,,200.1013336,0.00E+00,,207.0375992,0.00E+00
,2.07E+02,9.43E-02,,2.07E+02,9.43E-02,,207.2397114,4.29E-02,,183.57897,0.00E+00,,323.17564,0.00E+00,,207.34598,4.27E-02,,207.2397114,0.00E+00,,207.23971,0.00E+00,,207.3459778,6.66E-02,,207.3459778,8.37E-02,,200.3066254,0.00E+00,,207.2397114,0.00E+00
,2.08E+02,-2.09E-02,,2.08E+02,-2.09E-02,,207.4418422,-8.06E-02,,183.64842,0.00E+00,,323.28986,2.43E-02,,207.54930,3.58E-03,,207.4418422,0.00E+00,,207.44184,0.00E+00,,207.5493011,2.63E-03,,207.5493011,3.30E-03,,200.5119324,0.00E+00,,207.4418422,0.00E+00
